"sample.depths","sample.ages","upland.sum","Abies","Betula","Carya","Caryophyllaceae","Cephalanthus","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.undiff.","Impatiens","Larix","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Ambrosia","Pinus","Amaranthaceae","Poaceae","Acer.saccharum","Fraxinus.nigra","Ostrya","Asteraceae.subf..Cichorioideae","Picea","Tilia","Rumex","Thalictrum","Juglans.cinerea","Artemisia","Populus"
0,0,257,2,24,3,3,4,1,5,11,4,1,5,3,9,6,4,1,2,1,49,31,37,1,27,15,3,5,0,0,0,0,0,0,0,0
10,31,210,0,1,0,0,0,1,9,15,1,0,0,4,3,4,4,5,2,0,0,55,66,13,13,3,5,1,1,3,1,0,0,0,0,0
40,126,420,1,8,0,6,0,0,7,14,6,0,0,3,5,37,6,20,6,0,167,43,35,2,36,3,4,9,0,0,0,1,1,0,0,0
60,836,165,3,13,1,0,0,0,1,3,4,1,0,14,4,3,19,0,2,2,10,0,71,0,1,3,3,1,0,2,4,0,0,0,0,0
80,1763,134,2,7,1,0,0,0,5,5,3,0,0,20,3,1,10,1,3,2,4,3,50,0,3,3,0,4,0,0,3,0,0,1,0,0
120,3616,133,1,2,1,0,0,2,1,4,4,0,0,48,5,0,5,0,5,0,0,1,45,0,1,2,0,2,0,1,3,0,0,0,0,0
140,5144,118,0,1,1,0,0,0,0,0,1,0,0,6,2,1,37,1,1,0,0,2,58,0,0,2,1,1,0,0,3,0,0,0,0,0
170,6708,109,0,2,1,0,0,1,1,4,1,1,0,11,5,2,26,0,4,0,1,3,39,0,0,2,1,0,0,0,3,0,0,1,0,0
200,7668,155,0,1,0,0,0,1,2,6,2,0,0,15,3,3,42,3,3,0,0,0,62,0,0,2,1,3,0,0,3,0,0,0,2,1
240,8203,118,0,1,0,0,0,0,3,2,1,0,0,11,0,0,19,4,1,1,0,0,68,2,1,0,0,0,0,0,0,0,0,0,4,0
260,8471,130,3,1,1,0,0,0,0,4,0,0,0,0,2,0,4,1,1,0,0,0,107,0,0,1,1,2,0,2,0,0,0,0,0,0
280,8738,118,1,3,0,0,0,0,0,8,0,0,0,2,2,0,4,0,3,0,0,0,81,0,8,2,1,3,0,0,0,0,0,0,0,0
320,9273,136,1,5,0,0,1,1,1,14,1,0,0,7,8,1,8,0,3,0,2,0,74,0,1,0,1,2,0,4,1,0,0,0,0,0
360,9809,190,2,5,0,0,0,2,5,11,2,0,0,6,7,1,10,5,2,0,0,0,122,0,1,2,1,2,0,3,1,0,0,0,0,0
400,NA,128,1,2,0,0,0,1,3,6,0,0,0,7,3,2,9,2,2,0,3,1,75,2,1,2,0,3,0,3,0,0,0,0,0,0
422,NA,137,2,2,1,0,1,0,3,2,0,0,0,5,3,1,3,3,3,0,0,6,99,0,1,0,0,0,0,2,0,0,0,0,0,0
440,NA,130,2,6,1,0,0,0,5,10,2,0,0,13,6,0,2,4,1,0,0,1,68,0,0,0,0,1,0,8,0,0,0,0,0,0
470,NA,189,5,11,1,0,0,1,5,19,0,0,0,10,4,5,0,8,3,0,0,2,90,1,10,0,0,3,0,10,0,0,0,0,0,1
480,NA,126,3,6,0,0,0,0,1,10,0,0,0,7,3,1,2,5,3,0,2,2,65,0,4,0,0,2,0,10,0,0,0,0,0,0
485,NA,32,0,1,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,16,0,1,0,0,0,0,7,0,0,0,0,0,0
