"sample.depths","sample.ages","Acer.negundo","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Poaceae.undiff.","Asteraceae.subf..Cichorioideae","Morus","Quercus","Rumex","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Xanthium","Alnus","Ambrosia","Fraxinus.americana.type","Pinus","Populus","Humulus","Iva.xanthifolia","Corylus","Picea","Ephedra.nevadensis.type","Brassicaceae","Sarcobatus.vermiculatus","Amorpha","Caryophyllaceae","Celtis","Plantago","Platanus","Zea.mays","Ostrya","Apiaceae","Dalea.purpurea","Iva.annua","Urtica","Ericaceae","Ephedra.torreyana.type","Ranunculus.subg..Batrachium","Lamiaceae","Fraxinus.nigra","Juglans.cinerea","Abies","Carya","Vitis","Ranunculus.undiff.","Acer.saccharum","Fagus","Tsuga","Tilia","Juglans.nigra","Rosaceae","Dalea.candida","Shepherdia.argentea","Shepherdia.canadensis","Larix","Onagraceae"
1,-15,0.00223713646532438,0.131991051454139,0.0156599552572707,0.105145413870246,0.00223713646532438,0.0492170022371365,0.0156599552572707,0.194630872483221,0.00447427293064877,0.00223713646532438,0.029082774049217,0.145413870246085,0.00223713646532438,0.00223713646532438,0.00894854586129754,0.0201342281879195,0.00223713646532438,0.00671140939597315,0.154362416107383,0.0156599552572707,0.0715883668903803,0.00671140939597315,0.00447427293064877,0.00671140939597315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0.00815217391304348,0.0978260869565217,0.016304347826087,0.160326086956522,0.00271739130434783,0.0244565217391304,0.0190217391304348,0.206521739130435,0.00543478260869565,0,0.0407608695652174,0.00543478260869565,0.00543478260869565,0,0.0244565217391304,0.0380434782608696,0,0.0353260869565217,0.184782608695652,0.0190217391304348,0.0652173913043478,0.00815217391304348,0,0.016304347826087,0.00271739130434783,0.00271739130434783,0.00271739130434783,0.00815217391304348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,31,0.00564971751412429,0.144067796610169,0.00564971751412429,0.203389830508475,0.00282485875706215,0.019774011299435,0.00564971751412429,0.141242937853107,0,0,0.0395480225988701,0,0.00282485875706215,0,0.0141242937853107,0.0282485875706215,0.00282485875706215,0.0254237288135593,0.265536723163842,0.00564971751412429,0.0480225988700565,0,0,0.019774011299435,0,0.00847457627118644,0,0,0.00847457627118644,0.00282485875706215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,81,0,0.118055555555556,0,0.177083333333333,0,0.0451388888888889,0.0208333333333333,0.135416666666667,0.00694444444444444,0,0.0243055555555556,0,0.0138888888888889,0,0.0138888888888889,0.0486111111111111,0,0,0.222222222222222,0.0208333333333333,0.0555555555555556,0,0,0,0,0,0,0,0.0555555555555556,0,0.03125,0.00347222222222222,0.00694444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,132,0.00301204819277108,0.204819277108434,0.00602409638554217,0.177710843373494,0.00602409638554217,0.0301204819277108,0.00602409638554217,0.141566265060241,0,0,0.0391566265060241,0,0.00903614457831325,0.00301204819277108,0.0331325301204819,0.0180722891566265,0,0.0271084337349398,0.183734939759036,0.00602409638554217,0.072289156626506,0.00301204819277108,0,0,0.00301204819277108,0.00602409638554217,0,0.00903614457831325,0.00301204819277108,0,0,0.00301204819277108,0,0.00301204819277108,0.00301204819277108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,183,0.00377358490566038,0.20377358490566,0.0264150943396226,0.113207547169811,0,0.0452830188679245,0.0113207547169811,0.181132075471698,0,0,0.0452830188679245,0,0.00754716981132075,0,0.030188679245283,0.0113207547169811,0,0.00754716981132075,0.150943396226415,0.0113207547169811,0.143396226415094,0,0,0,0,0.00754716981132075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,208,0,0.202898550724638,0.0144927536231884,0.0666666666666667,0.00289855072463768,0.0840579710144927,0.00579710144927536,0.28695652173913,0,0,0.0492753623188406,0.00289855072463768,0,0,0.0521739130434783,0.0231884057971014,0.00289855072463768,0.0144927536231884,0.0579710144927536,0.00579710144927536,0.0985507246376812,0.00289855072463768,0.00289855072463768,0.00579710144927536,0,0.00579710144927536,0,0,0.00579710144927536,0.00289855072463768,0,0,0,0,0,0.00289855072463768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,234,0.00581395348837209,0.325581395348837,0.0203488372093023,0.0377906976744186,0,0.0726744186046512,0.0174418604651163,0.177325581395349,0,0,0.0348837209302326,0,0.00290697674418605,0.00290697674418605,0.0261627906976744,0.0232558139534884,0.00290697674418605,0.00872093023255814,0.119186046511628,0.0174418604651163,0.0755813953488372,0,0,0,0,0,0,0.0116279069767442,0.00290697674418605,0.00581395348837209,0,0.00290697674418605,0,0,0,0,0.00290697674418605,0.00290697674418605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,284,0.00354609929078014,0.294326241134752,0.0106382978723404,0.0283687943262411,0,0.0460992907801418,0.0141843971631206,0.124113475177305,0,0,0.0460992907801418,0,0.00709219858156028,0.00354609929078014,0.0602836879432624,0.024822695035461,0,0.00709219858156028,0.145390070921986,0.0141843971631206,0.166666666666667,0,0,0,0,0.00354609929078014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,386,0,0.154761904761905,0.0208333333333333,0.0505952380952381,0.00297619047619048,0.0892857142857143,0.0446428571428571,0.157738095238095,0,0.00297619047619048,0.0595238095238095,0.00297619047619048,0.0148809523809524,0.00297619047619048,0.0535714285714286,0.0297619047619048,0,0.0208333333333333,0.101190476190476,0.0446428571428571,0.113095238095238,0,0.00297619047619048,0.00297619047619048,0.00297619047619048,0.00297619047619048,0,0,0.00892857142857143,0.00297619047619048,0,0,0,0,0,0.00297619047619048,0,0,0.00297619047619048,0.00297619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,487,0.0183823529411765,0.150735294117647,0.0367647058823529,0.0330882352941176,0,0.0698529411764706,0.0257352941176471,0.180147058823529,0,0,0.0661764705882353,0,0.00735294117647059,0,0.0183823529411765,0.0477941176470588,0,0.0183823529411765,0.125,0.0257352941176471,0.161764705882353,0,0,0,0,0,0,0,0.00367647058823529,0,0,0.00367647058823529,0,0,0,0.00367647058823529,0,0,0,0,0.00367647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
