"sample.depths","sample.ages","Artemisia","Betula","Asteraceae.undiff.","Cyperaceae","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Humulus.type","Larix","Picea","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Thalictrum","Tilia","Ulmus","Ambrosia","Ostrya.type","Avena.type","Pinus.strobus","Acer.negundo.type","Chenopodium.type","Pinus.banksiana.P..resinosa","Alnus.cf..A..viridis","Alnus.cf..A..incana","Abies","Iva.annua.type","Corylus","Fraxinus.nigra.type","Hypericum","Iva.xanthifolia.type","Salsola","Thuja.type","Acer.rubrum","Morus","Rosaceae","Platanus","Rhus","Tsuga","Urtica.type","Acer.saccharum","Galium","Populus.balsamifera.type","Apiaceae","Viburnum.lentago","Amorpha","Dalea.candida.type","Vitis","Sarcobatus.vermiculatus","Acer.saccharinum.type","Nyssa","Myrica","Zigadenus","Anemone.type","Xanthium","Carya","Juglans.cinerea.type"
0,-29,0.0238095238095238,0.0523809523809524,0.0238095238095238,0.0404761904761905,0.00476190476190476,0.0142857142857143,0.00476190476190476,0.00476190476190476,0.0404761904761905,0.302380952380952,0.00476190476190476,0.142857142857143,0.0142857142857143,0.00476190476190476,0.00476190476190476,0.0285714285714286,0.0476190476190476,0.0380952380952381,0.00476190476190476,0.0319047619047619,0.0142857142857143,0.019047619047619,0.103809523809524,0.00476190476190476,0.0238095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,87,0.0333988212180747,0.0884086444007859,0.0157170923379175,0.0176817288801572,0,0.037328094302554,0,0.00589390962671906,0.0255402750491159,0.218074656188605,0.0275049115913556,0.0884086444007859,0.0176817288801572,0.00196463654223969,0,0.0255402750491159,0.0343811394891945,0.0117878192534381,0.00392927308447937,0.0776031434184676,0,0.00589390962671906,0.174852652259332,0.00196463654223969,0.0333988212180747,0.00196463654223969,0.00196463654223969,0.00785854616895874,0.00589390962671906,0.00392927308447937,0.00392927308447937,0.00589390962671906,0.0216110019646365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,189,0.0377358490566038,0.0997304582210243,0.0269541778975741,0.0188679245283019,0.00269541778975741,0.032345013477089,0,0.00404312668463612,0.032345013477089,0.384097035040431,0.00539083557951483,0.0485175202156334,0.00808625336927224,0.00269541778975741,0,0.0134770889487871,0.0296495956873315,0.0242587601078167,0,0.055256064690027,0.00269541778975741,0.00269541778975741,0.121293800539084,0.00808625336927224,0.0161725067385445,0.00134770889487871,0,0.00808625336927224,0.00539083557951483,0,0.00269541778975741,0,0.00539083557951483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,276,0.0337922403003755,0.0700876095118899,0.0250312891113892,0.0237797246558198,0.0175219023779725,0.0300375469336671,0,0.00250312891113892,0.0200250312891114,0.272841051314143,0.00500625782227785,0.108886107634543,0.00625782227784731,0.00250312891113892,0.00250312891113892,0.0225281602002503,0.0125156445556946,0.0250312891113892,0,0.113892365456821,0,0.0100125156445557,0.141426783479349,0.00500625782227785,0.0125156445556946,0.00625782227784731,0,0.00500625782227785,0.00750938673341677,0,0.00250312891113892,0,0.00500625782227785,0.00250312891113892,0.00250312891113892,0.00500625782227785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,450,0.0241935483870968,0.109677419354839,0.0129032258064516,0.0419354838709677,0.0064516129032258,0.0516129032258065,0,0.00967741935483871,0.0274193548387097,0.229032258064516,0.0225806451612903,0.175806451612903,0.0064516129032258,0,0,0.0225806451612903,0.0290322580645161,0.0161290322580645,0,0.0580645161290323,0,0.0032258064516129,0.0387096774193548,0.0032258064516129,0.0258064516129032,0.0112903225806452,0,0.0419354838709677,0,0,0.0032258064516129,0,0.0064516129032258,0.0032258064516129,0,0,0.0032258064516129,0.0032258064516129,0.0032258064516129,0.0032258064516129,0.0064516129032258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,624,0.066411238825032,0.0715197956577267,0.0102171136653895,0.0229885057471264,0.00510855683269476,0.0255427841634738,0,0.00766283524904215,0.0140485312899106,0.293742017879949,0,0.11749680715198,0,0.00255427841634738,0.00255427841634738,0.0229885057471264,0.00255427841634738,0.0255427841634738,0,0.174968071519796,0,0.00255427841634738,0.090676883780332,0,0.0178799489144317,0,0,0.00255427841634738,0.00510855683269476,0,0.00510855683269476,0,0.00255427841634738,0,0,0,0,0,0,0,0,0.00255427841634738,0.00255427841634738,0.00255427841634738,0,0,0,0,0,0,0,0,0,0,0,0,0
120,798,0.016750418760469,0.0871021775544389,0.0033500837520938,0.0234505862646566,0.0100502512562814,0.0536013400335008,0,0.0067001675041876,0.0251256281407035,0.25963149078727,0.016750418760469,0.164154103852596,0.0100502512562814,0,0.0100502512562814,0.016750418760469,0.0033500837520938,0.0301507537688442,0,0.102177554438861,0.0033500837520938,0.0067001675041876,0.0988274706867672,0.0033500837520938,0.0268006700167504,0.0050251256281407,0,0.0067001675041876,0,0,0,0,0,0,0,0,0,0.0033500837520938,0,0,0,0,0,0,0.0033500837520938,0.0033500837520938,0,0,0,0,0,0,0,0,0,0,0
150,1059,0.0246433203631647,0.0674448767833982,0.0337224383916991,0.0415045395590143,0,0.0518806744487678,0,0.0116731517509728,0.0272373540856031,0.195849546044099,0.00778210116731518,0.142671854734112,0,0.00518806744487678,0,0.0207522697795071,0.012970168612192,0.0259403372243839,0,0.154345006485084,0.00259403372243839,0.00518806744487678,0.0881971465629053,0.00518806744487678,0.0285343709468223,0.00259403372243839,0,0.0155642023346304,0.012970168612192,0,0,0,0.00259403372243839,0,0,0.00259403372243839,0,0,0,0,0.00259403372243839,0,0.00259403372243839,0,0,0,0.00259403372243839,0.00259403372243839,0,0,0,0,0,0,0,0,0
200,1494,0.0689655172413793,0.134646962233169,0.0164203612479475,0.0361247947454844,0.00985221674876847,0.0361247947454844,0,0.00328407224958949,0.0459770114942529,0.226600985221675,0.00985221674876847,0.175697865353038,0.00656814449917898,0,0.00656814449917898,0.013136288998358,0.0689655172413793,0.0361247947454844,0,0.019376026272578,0,0,0.0233169129720854,0.00328407224958949,0.0361247947454844,0,0,0.013136288998358,0.00328407224958949,0,0,0,0.00328407224958949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00328407224958949,0,0,0,0,0,0,0,0
250,1929,0.076581576026637,0.133185349611543,0.0221975582685905,0.0244173140954495,0.0110987791342952,0.0643729189789123,0,0.00443951165371809,0.0177580466148724,0.140954495005549,0.0177580466148724,0.174250832408435,0.00665926748057714,0,0.00221975582685905,0.0199778024417314,0.0288568257491676,0.0577136514983352,0,0.0665926748057714,0.00221975582685905,0.00443951165371809,0.0110987791342952,0.00443951165371809,0.04661487236404,0,0.00221975582685905,0.0310765815760266,0.0110987791342952,0,0.00221975582685905,0,0.00665926748057714,0,0,0.00221975582685905,0,0,0,0,0,0,0,0,0,0.00443951165371809,0,0,0,0.00221975582685905,0,0,0,0,0,0,0
