"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Betula","Carya","Castanea","Fagus","Ostrya.Carpinus","Picea","Quercus","Rumex","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ambrosia","Betulaceae.undiff.","Fraxinus","Myrica","Pinus","Poaceae","Humulus","Alnus..tetraporate.","Alnus..pentaporate.","Alnus..triporate.","Acer.spicatum","Acer.undiff.","Artemisia","Pinaceae.undiff.","Ilex","Morus","Platanus","Ulmus","Rosaceae","Acer.saccharum","Cyperaceae","Salix","Juglans","Populus","Nyssa","Rubiaceae","Corylus","Alnus.undiff.","Larix","Tilia","Viburnum","Ranunculaceae.undiff.","Taxus","Plantago","Thalictrum","Chenopodium.type","Asteraceae.subf..Cichorioideae","Liquidambar","Sarcobatus.vermiculatus","Rhus","Alnus..hexaporate.","Cornus","Vitis","Juniperus.Thuja","Ericaceae","Onagraceae.undiff.","Campanulaceae","Alnus.incana.type","Alnus.viridis.type","Urtica","Shepherdia","Caryophyllaceae","Epilobium","Saxifragaceae"
1,13,227.5,1,1,155,1,1,7,1,10,7,2,3,2,5,1,1,1,7.5,1,1,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,314,427,6,4,243,0,0,28,4,42,13,2,11,2,4,0,5,0,19.5,2,0,9,3,1,2,1,1,4.5,1,1,3,5,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,377,375,8.5,4,213,0,1,25,1,28,9,0,12,0,2,2,2,1,29.5,3,0,9,2,0,0,0,1,4,1,0,2,0,5,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,628,407,3.5,3,187,1,0,34,3,45,20,1,22,0,6,2,6,0,33,4,0,13,4,0,0,0,1,2.5,0,0,0,4,2,5,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,943,411.5,5.5,1,190,0,0,29,6,55.5,26,0,19,1,2,3,2,1,28,1,0,13,2,1,0,0,0,5.5,0,0,3,6,2,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1257,364.5,5,3,192,0,0,27,6,28.5,17,0,17,0,0,3,5,0,33.5,0,0,12,3,0,2,0,1,2.5,0,0,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2552,622.5,10,2,294,2,1,67,6,8,37,0,30,2,0,5,6,1,85.5,2,0,27,8,0,0,0,0,1,1,0,0,4,2,13,2,2,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3196,372.5,6,0,201,0,1,46,4,1.5,24,0,9,3,0,4,13,0,34.5,1,1,9,3,0,0,0,0,1.5,2,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3841,413.5,4.5,0,204,1,0,46,6,1,27,0,13,0,0,2,8,0,66.5,1,0,10,1,1,0,0,0,1.5,1,0,0,3,2,6,1,1,1,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,4485,513,3,5,244,2,0,44,3,0,38,0,15,0,1,8,9,3,72.5,5,0,21,4,0,0,0,1,1.5,0,0,1,7,1,15,2,0,1,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
