"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Amorpha","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Castanea","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ephedra.torreyana.type","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Fraxinus.undiff.","Ilex.Nemopanthus","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Nymphaea","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Platanus","Poaceae","Populus","Pteridium","Quercus","Salix","Sphagnum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown"
1,59,3,0,4,5,0,9,0,0,0,30,1,2,0,7,0,0,0,3,4,1,5,1,8,0,0,0,0,0,0,0,1,5,10,79,1,3,1,1,11,0,0,0,15,0,4,1
20,758,0,0,2,3,0,1,0,0,0,38,0,0,1,2,1,0,0,10,2,1,3,0,5,0,0,0,1,0,0,0,1,5,12,80,0,0,0,1,16,0,0,0,21,0,3,0
30,1125,2,0,6,0,0,1,2,0,0,36,0,0,0,7,0,1,0,9,1,1,2,1,9,0,0,0,2,0,0,0,5,3,6,86,1,0,2,2,7,0,0,0,20,0,2,0
40,1493,0,0,4,1,0,0,0,0,1,29,0,0,0,2,2,0,0,14,1,1,2,0,6,0,0,0,0,0,0,1,2,1,8,93,2,0,1,0,10,0,1,0,26,0,2,0
50,1861,0,0,4,3,0,0,0,0,0,24,0,0,0,6,0,0,0,11,1,3,4,0,3,0,1,0,2,0,1,0,2,4,11,97,1,0,0,0,7,0,1,0,16,0,6,1
60,2229,0,0,3,4,0,0,0,3,0,28,1,1,0,3,1,0,0,11,0,3,3,0,5,0,0,0,0,0,0,0,1,1,3,95,0,0,1,1,8,0,0,0,27,0,6,0
70,2597,1,0,4,2,0,0,0,0,0,26,0,0,0,6,2,0,0,8,0,1,1,0,3,0,0,0,0,0,0,0,4,3,11,98,1,0,1,0,7,0,0,1,23,0,1,0
80,2964,1,0,1,1,0,0,0,0,0,22,1,0,0,11,1,1,0,12,1,0,1,0,3,0,0,0,2,0,0,0,0,1,9,104,1,0,0,0,7,0,0,0,22,0,3,0
90,3332,1,0,3,1,0,0,0,1,0,26,0,0,0,2,0,0,0,10,2,2,4,0,2,0,0,0,0,0,0,0,3,3,11,103,1,0,1,0,6,1,0,0,18,0,5,0
100,3642,2,0,1,2,0,0,0,1,0,26,0,0,0,11,1,1,0,9,2,1,1,0,4,0,1,0,0,0,0,0,1,0,16,99,2,0,0,0,9,0,0,0,14,0,2,0
110,3894,0,0,3,1,0,0,0,0,0,18,0,0,0,8,0,0,0,9,0,5,5,0,3,1,0,0,0,0,0,0,3,2,21,110,1,0,0,1,9,0,0,0,6,0,4,0
120,4146,0,0,5,3,0,0,0,0,0,19,0,0,0,6,0,0,0,6,1,1,2,0,4,0,0,0,0,0,0,0,6,2,6,127,0,0,1,0,10,1,0,0,5,0,1,0
130,4398,0,0,4,4,0,0,0,0,0,18,0,0,0,5,0,0,1,7,0,1,2,0,7,0,1,0,0,0,0,0,4,2,4,126,0,0,1,1,15,0,0,0,5,0,2,0
140,4650,1,0,5,2,1,1,0,0,0,22,0,0,0,4,1,0,0,1,3,3,6,0,4,0,0,0,0,0,0,0,1,0,9,117,1,0,0,1,14,0,0,0,4,0,8,0
150,4902,0,0,1,3,0,1,0,0,0,13,1,0,0,8,0,0,0,2,2,4,6,0,2,0,0,0,0,0,0,0,2,1,3,133,0,1,1,6,10,2,0,1,5,0,7,0
160,5154,0,0,2,4,0,0,0,1,1,13,0,0,0,4,0,0,0,2,0,1,1,0,4,0,0,0,0,0,0,0,4,2,5,143,0,1,0,3,12,0,0,0,4,0,1,0
170,5406,0,0,3,1,0,0,0,0,0,24,1,0,0,4,0,0,0,5,0,1,1,0,1,0,0,0,0,0,0,0,3,1,11,123,1,1,0,2,13,0,0,0,7,0,1,0
180,5627,0,0,4,6,1,0,0,1,0,23,0,0,0,2,1,0,0,4,1,1,2,0,4,0,1,0,1,1,0,0,1,2,10,109,1,1,0,1,14,0,0,0,12,0,4,0
190,5817,0,0,0,2,0,0,0,0,0,17,0,0,0,3,1,0,0,4,1,0,1,0,1,0,0,0,1,0,0,2,0,2,21,113,0,0,0,1,7,0,0,0,25,0,3,0
200,6007,0,1,6,1,0,1,0,0,0,18,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,2,0,18,120,0,0,1,2,8,0,0,0,15,1,4,0
210,6197,0,0,3,2,1,0,0,0,0,18,0,0,0,6,0,1,0,3,0,4,4,0,0,0,0,0,1,0,0,0,0,2,11,112,0,0,0,0,13,0,0,1,22,0,3,0
220,6386,0,0,2,1,0,1,0,0,0,9,0,0,0,4,3,0,0,3,0,1,1,0,2,0,0,0,0,0,0,0,0,2,16,128,2,0,0,0,6,0,0,0,20,0,2,0
230,6576,1,0,2,2,0,0,0,0,0,10,0,0,0,7,0,0,0,7,2,0,2,0,1,0,0,0,1,0,0,0,1,0,17,123,1,0,2,1,8,0,0,0,14,0,2,0
240,6766,0,0,3,0,0,0,0,0,0,11,1,0,0,1,0,1,0,2,0,3,3,1,3,0,1,0,0,0,0,0,2,4,22,126,0,0,1,0,9,0,0,1,11,0,1,0
250,6956,1,0,5,3,0,3,0,0,0,17,1,0,0,3,0,1,0,3,3,1,4,0,2,0,0,0,0,0,0,0,2,2,14,120,2,1,1,2,5,0,0,2,9,0,2,0
260,7146,0,0,5,5,1,0,0,0,2,11,1,0,0,2,0,0,0,5,0,2,2,1,0,0,0,0,0,0,0,0,2,2,10,120,3,1,0,1,11,0,0,1,11,0,4,0
270,7336,1,0,4,3,0,0,0,0,0,6,1,0,0,1,1,1,0,4,1,0,1,0,1,0,0,0,1,0,0,0,6,0,15,140,0,0,1,2,8,0,0,0,6,0,1,1
280,7526,3,0,3,0,0,0,0,0,0,13,1,0,0,1,0,1,0,3,0,2,2,0,2,0,1,0,0,0,0,0,10,0,9,135,2,0,0,2,11,1,1,0,2,0,3,0
290,NA,0,0,1,0,0,0,0,0,0,8,0,0,1,1,1,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,4,1,18,143,2,0,1,0,11,0,0,0,2,0,4,0
300,NA,0,0,1,2,1,3,0,1,0,5,0,0,0,4,0,1,0,1,5,0,5,0,1,0,0,1,2,0,1,0,2,0,20,135,0,0,0,5,14,0,0,0,0,0,2,0
310,NA,0,0,1,1,0,0,0,1,0,13,3,0,0,0,0,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,3,2,44,116,0,0,1,0,6,0,0,0,0,0,4,0
