"sample.depths","sample.ages","upland.sum","Acer.negundo","Ambrosia.type","Artemisia","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Ephedra.trifurca.type","Euphorbia","Iva.xanthifolia.type","Fabaceae.undiff.","Lycopus.type","Dalea.candida.type","Dalea.purpurea.type","Picea","Pinus.undiff.","Populus.tremuloides.type","Quercus","Rhus","Rumex","Salix","Sarcobatus.vermiculatus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Xanthium","Alnus","Fraxinus","Poaceae","Brassicaceae","Rosaceae","Ephedra.viridis.type","Pinus.subg..Strobus","Thalictrum","Abies","Corylus","Ostrya.Carpinus","Pseudotsuga","Scrophulariaceae","Plantago.major","Allium","Amorpha.type","Phacelia","Apiaceae","Caryophyllaceae","Iva.annua.type","Geranium","Urtica.type","Cannabaceae","Eriogonum","Polygonum.amphibium","Liliaceae","Impatiens","Polygonum.bistortoides.type","Ranunculaceae.undiff.","Comandra","Pinus.subg..Pinus","Asteraceae.subf..Cichorioideae","Epilobium","Lysimachia"
168,33,563,2,64,109,93,16,46,1,1,9,4,1,3,10,1,55,5,15,1,1,4,5,29,1,3,2,1,79,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,359,326,0,34,67,27,8,43,0,0,3,0,0,0,0,0,82,3,0,0,0,1,2,12,0,0,0,2,37,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,538,577,0,47,100,0,17,69,2,0,11,0,0,2,1,2,101,0,11,0,0,40,1,21,0,2,1,0,140,0,1,1,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,1052,436,0,27,102,40,12,72,0,0,2,0,0,0,3,8,69,6,5,0,0,0,1,3,0,0,2,1,79,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,1181,572,0,12,118,39,19,73,0,1,0,1,0,2,2,4,74,1,3,0,0,1,4,18,1,7,1,0,177,0,0,0,0,0,5,0,0,0,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448,1695,367,0,14,74,41,13,59,0,0,1,0,0,0,1,1,60,2,4,0,0,1,2,11,0,0,0,0,80,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,1824,591,1,27,91,46,27,93,1,2,2,0,0,0,2,4,73,2,7,0,3,3,2,28,0,3,2,0,161,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
548,2338,287,0,22,84,25,20,24,0,0,0,0,0,0,2,2,43,0,6,0,0,1,2,9,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,2466,585,2,21,127,51,22,72,2,1,5,1,0,3,0,8,93,4,8,0,0,1,2,26,1,5,1,0,123,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
645,2961,414,0,49,121,18,20,40,0,0,0,0,0,0,1,7,65,0,9,0,0,1,1,8,0,0,0,0,71,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
