"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Adiantum","Alisma","Allium","Alnus.incana.type","Alnus.undiff.","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Amelanchier.type","Amorpha.type","Anemone.canadensis.type","Anemone.quinquefolia.type","Apiaceae","Aquilapollenites","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Avena.type","Betula","Botrychium","Brasenia.schreberi","Brassica","Brassicaceae.undiff.","Campanula.aparinoides.type","Campanula.rotundifolia.type","Cannabis.sativa.type","Carya","Caryophyllaceae","Castanea","Ceanothus","Celtis","Comandra","Cornus.sericea.type","Corylus","Cupressaceae","Cyperaceae","Dalea.candida.type","Dalea.purpurea.type","Diphasiastrum.complanatum.type","Dryopteris.type.undiff.","Dryopteris.carthusiana.type","Ephedra.trifurca.type","Ephedra.viridis.type","Epilobium","Equisetum","Ericaceae","Eriogonum","Euphorbia","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Galium","Humulus.type","Huperzia.lucidula","Hydrophyllum","Hypoxis","Impatiens","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Laportea.type","Larix","Lemna","Lilium.philadelphicum.type","Liquidambar","Lycopodium.annotinum","Lycopodium.clavatum","Lycopus.type","Lysimachia.quadriflora.type","Lysimachia.thyrsiflora","Lythrum","Maclura.pomifera.type","Matteuccia","Medicago","Melilotus.type","Morus","Myricaceae","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onoclea.sensibilis","Osmunda","Ostrya.Carpinus","Parietaria","Pedicularis","Phlox","Picea","Pilea.type","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polygonum.amphibium","Polygonum.lapathifolium.type","Populus.balsamifera.type","Populus.tremuloides.type","Populus.undiff.","Potamogeton","Pteridium.type","Quercus","Ranunculaceae..tricolpate..undiff.","Ranunculaceae.undiff.","Rhus","Ribes","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Salsola","Sambucus","Sarcobatus.vermiculatus","Secale.type","Selaginella.densa.type","Shepherdia.argentea","Shepherdia.canadensis","Sisyrinchium","Solanum.rostratum","Sparganium.type","Sphagnum","Stachys.type","Stuckenia","Thalictrum","Thelypteris.palustris.type","Tidestromia.type","Tilia","Trifolium.pratense","Trifolium.repens.type","Triticum.type","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Unknown.undiff.","Urtica.type","Utricularia","Viburnum.opulus.type","Viburnum.rafinesquianum.type","Vitis","Xanthium","Zanthoxylum.type","Zea.mays","Zigadenus"
650,-26,0,18,0,6,52,0,0,0,12,2,4,24,166,0,0,0,0,0,0,24,18,0,0,4,20,0,0,2,0,0,0,4,4,0,0,0,0,0,0,2,32,50,0,0,0,2,0,0,0,0,0,0,0,2,0,0,20,30,2,0,0,0,0,0,0,32,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,4,2,0,0,0,56,0,0,0,15,0,26,6,22,4,4,212,0,0,10,28,0,10,0,452,0,0,0,0,2,2,0,32,4,0,0,0,0,0,0,0,0,12,0,0,0,0,6,0,30,0,6,2,0,2,154,4,0,0,12,0,0,0,6,0,0,0,0
662,-6,1,12,2,6,32,0,0,0,14,0,0,30,224,0,0,0,0,0,0,24,36,0,0,0,30,0,0,4,0,0,0,2,8,0,0,0,0,0,0,4,36,82,0,0,0,2,10,0,0,0,0,0,0,0,0,0,10,10,8,0,0,0,0,0,2,40,0,2,2,0,0,2,0,0,0,0,0,0,0,0,6,0,0,2,2,4,0,0,2,0,0,0,0,50,0,0,0,7,0,4,13,36,2,4,376,0,0,0,16,0,18,0,356,0,0,0,0,4,0,2,42,4,0,0,0,0,0,0,0,0,10,4,0,0,0,2,0,20,2,18,6,0,6,138,4,0,0,12,0,0,0,6,0,0,8,0
670,8,0,8,0,6,16,0,0,0,8,0,0,34,218,0,0,0,0,0,0,12,26,2,0,4,8,0,0,6,4,0,2,12,2,0,0,0,0,0,0,4,20,48,0,0,0,4,10,0,0,0,4,0,0,0,0,0,12,8,2,0,0,0,0,0,0,40,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,6,2,0,0,0,38,0,0,0,7,0,7,19,12,2,2,218,0,0,0,12,0,16,0,240,0,0,0,0,2,2,4,4,4,2,0,0,0,0,0,0,0,4,0,0,0,2,6,0,20,0,2,0,0,4,76,6,0,0,10,0,0,0,2,2,0,6,0
680,27,0,18,2,0,61,0,0,0,6,0,0,12,200,0,0,0,0,2,0,34,16,0,2,4,28,0,0,0,4,0,0,8,8,0,0,0,2,0,0,2,32,86,0,0,0,6,2,0,2,0,2,0,0,0,0,0,8,32,10,0,2,0,0,0,2,28,0,6,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,10,0,2,2,6,0,0,0,82,0,0,0,5,0,8,16,28,0,0,346,0,2,4,10,0,24,6,528,0,0,0,0,2,6,8,10,14,0,0,2,0,0,0,0,0,4,0,0,0,2,6,0,8,0,8,0,1,0,64,2,0,0,10,0,0,0,0,0,0,0,0
690,49,3,2,0,4,32,0,0,0,18,0,0,38,206,0,2,0,0,2,0,26,20,2,4,0,22,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,12,112,0,0,0,2,0,0,0,0,4,0,0,0,0,0,6,22,6,0,0,0,0,0,0,30,4,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,2,48,0,0,0,9,0,22,19,30,0,0,330,0,0,0,18,0,52,2,346,0,0,0,0,6,6,10,10,6,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,30,0,8,4,2,8,60,2,0,0,8,0,0,0,2,0,2,2,0
702,79,0,2,0,0,30,0,0,0,10,0,0,24,158,0,0,0,0,4,0,14,26,2,0,2,20,0,0,0,2,0,0,0,6,0,2,0,0,0,0,8,6,48,0,0,0,2,6,0,0,0,0,0,0,0,0,0,12,14,8,0,0,0,0,0,4,42,2,2,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,2,0,0,0,78,0,0,0,2,0,11,12,18,2,2,192,0,0,0,10,0,36,6,278,0,0,2,0,4,2,2,38,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,8,4,20,10,0,6,72,6,0,0,10,0,0,0,4,0,0,4,0
710,103,0,4,6,0,36,0,0,0,16,0,4,24,58,0,0,0,0,2,0,26,36,2,6,2,32,0,0,0,0,0,0,0,8,0,0,0,2,0,0,8,24,106,0,0,0,2,8,0,0,0,2,0,0,0,0,2,18,12,8,0,4,0,0,0,0,50,4,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,4,0,0,2,0,132,0,0,0,13,0,11,13,19,0,2,254,0,0,0,42,0,44,2,344,0,0,0,0,4,0,6,36,0,0,2,0,0,0,0,0,0,4,2,0,0,4,2,0,20,0,0,6,0,2,82,2,0,0,4,0,0,0,0,0,0,8,0
714,116,0,10,2,0,59,0,0,0,12,0,4,18,50,0,6,0,0,2,0,38,26,0,4,2,60,0,0,0,0,0,0,0,8,0,0,0,0,0,0,22,20,130,0,0,0,2,2,0,0,0,2,0,0,0,0,0,10,8,0,0,0,0,0,0,2,28,0,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,2,0,0,4,0,4,6,0,0,0,4,176,0,0,0,3,0,16,26,26,2,2,256,0,2,0,20,0,46,8,456,0,0,0,0,4,0,4,32,0,0,4,2,0,0,0,0,0,0,0,0,0,2,12,0,22,0,0,2,0,4,66,4,0,0,6,0,0,0,0,0,0,0,0
722,145,0,2,8,2,70,2,0,0,8,0,0,18,30,0,0,0,0,0,0,28,20,0,18,0,22,0,0,0,0,0,0,0,10,0,0,4,0,0,0,8,42,88,0,0,0,4,14,0,0,0,0,0,0,0,0,0,12,10,4,0,2,0,2,0,0,20,0,0,2,0,0,12,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4,274,0,0,0,4,0,10,32,40,0,8,172,0,0,0,26,0,50,0,508,0,0,0,0,2,2,2,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,40,0,0,0,2,10,138,6,0,0,22,0,0,0,2,2,0,0,0
730,176,0,4,2,0,14,0,0,0,18,0,2,14,22,0,2,0,0,0,0,42,24,0,6,0,44,0,0,0,0,0,0,0,4,0,0,0,0,0,0,18,12,130,0,0,0,6,10,0,0,0,2,0,0,0,0,0,8,20,0,2,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,268,0,0,0,13,0,28,28,46,0,0,156,0,4,18,34,0,30,0,530,0,0,0,0,0,0,10,6,0,0,4,0,0,0,0,0,0,2,2,0,0,2,4,0,54,0,0,0,2,8,98,2,0,0,2,0,0,0,0,0,0,0,0
