"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Asteraceae.subf..Cichorioideae","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Ranunculaceae.undiff.","Salix","Saxifragaceae","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Amaranthaceae","Rosaceae","Abies.balsamea","Acer.saccharum","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Larix","Quercus","Fabaceae","Tsuga.canadensis","Ericaceae","Thalictrum","Viburnum.lentago","Acer.saccharinum","Carya.ovata","Acer.pensylvanicum","Myrica.gale","Viburnum.edule","Juglans.cinerea","Cornus.undiff.","Taxus","Ostrya.Carpinus","Corylus.cornuta","Rubiaceae","Populus.balsamifera.type","Cornus.alternifolia","Shepherdia.canadensis","Onagraceae","Asteraceae.undiff.","Cerealia","Brassicaceae","Aralia.hispida","Plantago","Lamiaceae","Polygonaceae.undiff."
15,523,492,1,3,4,3,1,3,154,1,117,1,35,1,52,1,31,4,1,1,4,1,2,4,6,1,5,25,8,3,7,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,697,474,0,2,6,15,2,2,101,0,144,1,2,0,133,0,22,2,0,0,6,0,2,3,3,0,1,9,6,2,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1394,550,0,5,6,7,1,0,221,0,110,1,8,1,37,0,47,7,0,0,1,1,0,3,2,0,0,40,7,6,12,6,1,15,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2090,640,0,2,6,4,0,1,322,0,126,2,19,0,15,0,29,4,0,0,0,0,0,6,3,0,1,43,15,4,24,0,1,8,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2787,663,0,1,9,4,0,0,312,0,91,0,28,1,11,0,36,10,1,0,0,0,0,16,2,0,0,55,14,10,44,0,1,12,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3431,732,0,3,14,2,0,0,406,0,54,1,37,4,12,0,42,12,0,0,1,0,1,15,0,0,0,45,26,8,30,0,2,11,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3915,818,0,1,16,1,1,2,481,0,5,2,22,1,20,0,49,13,0,0,6,0,0,16,0,1,0,48,26,6,75,0,0,10,1,8,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4398,581,0,0,3,0,0,2,304,0,4,2,19,1,3,0,39,15,0,0,1,0,0,8,0,0,2,62,18,10,59,0,0,14,1,7,2,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,4882,710,2,0,4,1,0,1,423,0,14,0,37,0,38,0,35,8,0,0,12,0,0,15,0,0,1,41,12,10,39,0,1,7,1,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,5366,689,2,3,5,1,0,1,306,0,17,2,40,0,22,0,45,10,0,0,80,0,1,4,0,0,1,84,5,7,34,0,2,10,0,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
