"sample.depths","sample.ages","Abies.balsamea","Acer.nigrum","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Arceuthobium.pusillum","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Carya.ovata","Caryophyllaceae","Castanea.dentata","Celtis.occidentalis","cf..Callitriche","cf..Oxyria.digyna","cf..Sarcobatus.vermiculatus","Cornus.sericea","Corylus.cornuta","Cyperaceae","Diervilla.lonicera","Dryopteris.type","Elaeagnus.commutata","Epilobium","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Glaux.maritima","Hippuris.vulgaris","Huperzia.selago.type","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Lycopodium.annotinum.type","Lycopodium.clavatum","Morus.rubra.type","Myrica.gale","Myriophyllum.sibiricum.type","Myriophyllum.undiff.","Nuphar","Osmunda.cinnamomea","Osmunda.regalis.type","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonaceae.undiff.","Populus.balsamifera.type","Populus.grandidentata.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Prunus.pensylvanica","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex.type","Salix.herbacea.type","Salix.undiff.","Sambucus","Selaginella","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule"
5,132,7,0,0,0,1,1,47,10,0,3,0,2,3,1,305,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,12,0,0,0,0,1,15,32,8,0,17,23,10,1,0,0,7,0,10,0,0,9,1,0,0,0,4,0,0,0,1,1,0,0,0,0,1,3,2,0,0,0
25,659,9,0,0,0,0,1,29,4,0,2,0,2,1,0,390,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,11,1,2,0,0,1,0,1,1,2,0,0,1,1,0,0,1,0,1,0,0,10,0,0,0,1,0,31,29,2,0,24,29,13,0,0,0,0,1,10,0,0,8,1,1,0,0,0,0,0,0,1,2,0,0,2,0,0,2,1,1,0,0
50,1318,3,0,0,1,1,0,14,5,1,0,0,0,1,0,339,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,11,6,0,0,50,11,10,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,1,0,0,2,0,1,3,0,1,2,0
75,1977,9,0,0,0,4,0,23,8,0,1,0,0,0,0,395,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,28,18,2,0,29,24,12,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0,1,0,1,2,1,2,1,0
100,2637,12,0,1,0,1,1,20,9,0,0,0,0,1,0,337,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,4,2,1,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,14,15,2,0,34,30,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,4,0,0,0,0
125,3184,3,0,0,0,2,1,24,2,0,0,0,0,1,0,458,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,5,5,1,0,0,1,0,1,1,0,0,0,0,3,0,0,1,0,1,0,1,5,0,0,0,1,0,8,6,0,0,37,11,5,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,2,0,0
150,3684,2,0,0,0,0,1,11,7,0,1,0,1,1,0,467,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,2,1,0,0,0,0,1,1,2,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,10,10,0,0,32,34,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,2,1,0,0,0
175,4184,5,0,0,0,2,3,31,2,2,1,0,1,1,0,505,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,8,13,3,0,61,48,9,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,2,0,0
200,4683,3,0,0,0,1,0,25,3,0,0,0,0,0,0,310,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,6,2,0,0,83,23,3,0,0,0,2,3,3,0,0,2,0,1,0,0,2,0,0,0,2,3,0,0,2,1,0,2,1,2,0,0
225,5183,0,0,0,1,6,0,22,10,0,0,1,2,2,0,345,0,0,0,1,1,2,0,0,0,1,3,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,8,4,0,0,56,17,3,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,3,0,0,3,1,1,2,0
