"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Larix","Ostrya.Carpinus","Picea","Platanus","Quercus","Sarcobatus.vermiculatus","Tsuga","Alnus","Ambrosia","Fraxinus.americana.type","Populus","Poaceae","Acer.saccharum","Pinus.strobus","Pinus.banksiana.P..resinosa","Fraxinus.nigra","Asteraceae.subf..Asteroideae.undiff.","Salix","Ulmus","Pinus.undiff.","Ephedra.nevadensis.type","Myrica","Thalictrum","Corylus","Acer.rubrum","Tilia","Amorpha","Iva.annua","Shepherdia.canadensis","Acer.negundo","Ericaceae","Rosaceae","Iva.xanthifolia","Carya","Apiaceae","Shepherdia.argentea","Elaeagnus","Juglans.cinerea","Xanthium","Rumex","Impatiens","Vitis","Humulus","Urtica","Liquidambar"
1,2,360,14,5,58,6,24,3,2,5,2,68,1,7,1,1,22,13,1,3,3,2,24,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,265,308,15,2,41,0,34,0,2,6,1,72,0,7,0,2,13,0,0,1,2,1,50,55,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,557,348,14,2,59,3,47,0,2,10,0,66,0,4,0,3,15,2,0,0,4,0,53,58,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,849,313,12,3,60,0,38,5,0,8,0,49,1,4,0,3,19,1,0,1,4,1,42,56,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1141,388,9,3,55,1,82,2,2,9,0,56,0,5,0,3,21,2,1,5,5,1,73,45,1,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1433,312,4,2,34,1,77,0,2,8,3,38,0,1,0,1,8,3,1,1,3,2,48,71,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1725,325,12,5,32,0,80,1,0,4,0,34,0,3,0,4,8,1,0,0,3,3,84,47,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2017,335,6,2,46,2,67,2,0,6,0,24,1,5,0,1,14,3,0,3,4,0,53,94,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2309,317,8,2,36,0,46,0,0,4,2,19,0,5,0,1,15,2,0,5,1,1,67,100,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2601,312,5,5,24,0,73,1,1,1,1,13,0,2,0,1,17,5,0,0,0,2,58,95,1,0,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2893,333,4,1,42,4,36,0,2,1,0,12,0,2,0,1,14,4,0,8,1,0,102,91,2,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,3185,310,9,3,39,2,39,1,0,2,0,10,0,2,0,0,17,0,0,0,4,1,119,57,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3477,351,6,3,44,2,13,0,3,2,1,9,0,7,0,0,12,3,1,2,2,0,157,76,2,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,3769,318,4,4,61,0,10,1,2,1,2,12,0,4,1,0,19,2,0,3,5,0,109,67,2,1,1,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4061,325,3,3,70,0,4,0,2,1,4,12,0,3,0,0,13,1,1,1,2,0,160,36,1,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,4353,356,3,5,86,5,3,0,0,2,5,8,0,8,0,0,25,7,2,2,3,3,129,43,4,2,1,7,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,4645,348,5,8,89,1,7,0,1,2,5,12,0,4,0,0,16,5,0,8,5,0,119,51,1,2,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,4937,328,8,6,59,2,4,1,5,4,1,17,0,4,1,0,17,4,0,1,1,1,117,64,5,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,5229,368,7,2,109,4,10,1,7,0,6,7,0,7,0,0,24,8,0,6,5,2,39,99,7,2,6,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,5521,371,5,8,89,6,13,0,3,2,1,7,1,12,0,0,43,13,1,9,5,1,11,127,2,2,3,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,5667,355,6,5,58,8,15,2,4,2,2,14,1,9,0,0,32,10,3,7,3,0,19,140,1,1,2,5,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,5812,339,10,13,66,1,4,2,1,3,1,31,0,3,0,0,24,4,1,4,6,0,22,133,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
205,6614,361,13,7,81,5,8,1,5,3,2,27,0,5,2,0,55,6,2,19,4,0,16,84,3,2,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,7416,352,9,5,103,5,6,1,1,2,1,38,0,6,0,0,37,5,0,8,4,0,11,100,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,8218,321,2,11,43,8,9,2,4,2,2,51,0,5,1,0,49,3,3,2,5,0,6,97,1,0,5,7,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,8471,359,3,10,38,5,20,0,3,7,2,51,0,8,0,0,38,17,1,10,4,1,5,120,2,1,5,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
225,8723,343,1,6,26,7,32,6,2,8,0,69,0,10,1,0,11,7,0,17,1,1,7,99,2,2,7,6,10,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
230,8976,355,1,4,7,5,13,5,5,3,6,86,0,7,0,0,6,7,0,1,7,0,0,170,5,1,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
235,9229,344,0,8,3,9,14,11,3,5,6,77,0,8,1,0,2,5,0,3,11,4,11,137,3,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,9777,346,0,9,6,1,12,5,2,1,5,67,3,12,0,0,6,4,1,3,9,4,8,151,1,2,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,10325,329,1,10,2,7,16,12,5,4,3,73,0,15,0,0,1,6,0,1,3,0,3,119,5,1,4,31,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
