"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ephedra.nevadensis.type","Ephedra.torreyana.type","Equisetum","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Morus","Myrica","Myriophyllum","Osmunda","Ostrya","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Symphoricarpos","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis","Xanthium"
195,3184,10,2,7,2,0,0,0,0,0,32,5,0,0,1,17,1,0,0,0,0,3,0,2,1,0,0,1,0,5,0,0,1,0,0,11,9,143,0,0,1,1,0,0,23,1,0,0,0,0,0,1,0,0,0,0,9,0,13,0,0,0
200,3309,4,0,6,7,0,0,4,2,0,37,1,0,0,0,21,2,1,0,0,0,12,0,1,0,0,0,1,0,0,1,0,0,0,0,8,7,135,0,0,0,0,0,1,32,0,0,0,1,0,0,0,0,0,0,2,5,1,12,0,0,0
210,3567,4,0,7,8,0,1,1,0,0,53,1,0,0,0,61,0,0,0,0,0,6,1,2,4,1,0,1,0,2,1,0,1,0,0,1,2,100,0,4,2,1,0,1,28,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0
220,3835,6,0,9,7,0,1,4,1,0,36,0,0,0,1,73,1,0,0,0,0,12,3,7,4,0,0,0,0,5,0,0,0,0,0,5,5,72,0,1,0,1,0,2,34,0,0,2,0,0,0,0,1,0,0,0,1,0,12,1,0,0
230,4113,5,0,6,5,0,3,2,0,0,67,0,0,0,0,42,0,0,0,0,1,5,2,1,2,0,0,2,0,10,0,0,0,0,0,6,9,90,0,0,2,1,0,1,33,0,0,0,0,0,0,0,0,0,1,0,2,0,6,0,0,0
240,4400,4,1,13,3,0,1,0,0,0,67,2,0,0,0,15,0,0,0,0,0,11,1,3,2,0,0,3,0,7,1,0,0,0,0,9,9,105,0,0,0,0,0,3,24,0,0,0,0,0,0,0,0,0,0,1,6,0,15,0,0,0
250,4698,4,0,6,4,0,4,0,1,0,39,1,0,0,0,27,1,1,0,0,0,6,0,5,3,0,0,0,0,3,1,0,0,0,0,7,7,125,0,4,1,1,0,3,23,0,0,2,0,1,0,0,0,0,0,1,13,0,14,1,0,0
260,5005,1,0,8,6,0,2,5,2,0,48,2,0,0,1,38,0,1,0,0,0,5,7,8,7,0,0,1,0,1,0,0,0,0,0,4,3,94,0,2,0,0,0,8,34,0,0,2,0,0,0,0,0,0,0,1,8,0,17,0,0,0
263,5099,8,0,3,0,0,4,4,0,0,50,0,0,0,0,35,0,0,0,0,0,15,0,1,12,0,0,0,1,2,1,0,0,0,0,4,4,110,0,0,0,0,0,0,33,0,0,2,0,0,1,0,0,3,0,1,8,0,12,0,0,0
270,5323,3,0,8,7,2,5,1,0,0,32,1,0,0,0,60,0,1,0,0,0,7,4,3,11,0,0,0,0,2,0,0,0,0,0,1,2,100,1,0,2,1,0,1,37,0,0,1,0,0,0,0,0,0,0,1,12,0,7,0,0,0
