"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Amaranthaceae","Ambrosia.type","Anacardiaceae","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ericaceae","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Herbs.undiff.","Ilex","Iva.annua.type","Juglans.cinerea","Juglans.nigra","Lamiaceae","Liquidambar","Lycopodium.type","Menyanthes.trifoliata","Myrica","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Polygonum","Pteridium.type","Quercus","Ranunculus","Rhamnaceae","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sanguisorba","Selaginella","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Ulmus","Unknown","Urtica.type"
4,57,0,2,1,4,0,13,0,0,1,2,0,46,0,9,9,0,0,0,0,2,0,7,15,0,2,2,0,0,1,0,2,0,0,0,0,1,1,0,6,5,20,38,2,1,6,0,0,108,0,1,5,2,0,0,0,0,0,0,0,0,7,5,1,0
12,133,0,0,2,10,1,23,0,0,0,0,2,65,0,4,14,0,7,2,0,4,3,10,10,0,0,3,0,0,0,3,1,0,1,0,0,0,0,0,1,5,14,9,0,2,3,0,0,112,0,1,1,0,0,0,0,0,0,11,0,0,17,2,0,0
22,255,0,0,2,4,0,2,0,0,0,1,0,50,0,1,18,0,0,0,0,2,1,1,17,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,3,24,29,0,3,1,0,1,113,0,0,0,0,0,0,0,0,0,8,2,0,24,5,1,0
42,722,0,0,4,9,2,4,0,0,0,0,0,63,0,0,16,0,10,0,0,4,0,1,20,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,2,27,23,0,5,0,0,2,101,0,0,0,0,0,0,0,0,0,9,1,0,15,2,0,0
64,1236,0,0,4,17,0,2,0,0,0,0,0,40,0,0,26,0,10,0,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,21,39,0,2,1,0,2,114,0,0,4,0,0,0,0,0,0,22,0,0,11,2,0,0
86,1749,0,0,3,14,0,0,0,0,0,2,0,57,0,0,24,0,3,1,0,1,0,1,19,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,20,22,0,3,0,0,0,118,0,0,0,0,0,0,0,0,0,5,0,2,17,2,0,0
102,2123,0,0,5,14,0,0,0,0,0,1,0,48,0,0,29,0,6,0,0,6,3,6,17,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,4,4,17,39,0,4,0,0,1,110,0,0,1,0,0,0,0,0,0,5,1,1,8,3,1,0
122,2589,0,0,3,7,0,1,0,1,0,0,0,71,0,1,20,0,1,1,0,2,1,4,12,1,0,2,0,0,0,3,2,0,0,0,2,0,0,0,1,2,26,30,0,3,0,0,0,105,0,0,0,0,0,0,0,0,0,12,1,0,11,1,0,0
142,3056,0,0,4,27,0,0,0,3,0,1,0,63,0,1,12,0,5,0,0,5,1,0,11,0,1,5,0,0,0,0,1,0,0,0,5,1,0,0,3,2,26,35,0,4,0,0,1,114,0,0,0,0,2,0,0,0,0,141,2,1,5,1,1,1
162,3523,0,0,2,75,1,1,0,0,1,1,0,52,1,0,27,0,2,0,0,1,81,0,18,0,0,1,0,4,0,0,0,0,0,0,3,0,0,0,30,2,32,30,0,1,0,0,2,106,0,0,3,0,0,0,0,0,0,33,1,1,3,1,0,0
182,3990,0,0,3,12,0,2,0,5,1,1,0,81,0,0,11,0,4,0,0,3,0,0,29,0,0,4,0,0,0,1,0,0,0,0,3,0,1,0,5,2,18,22,0,2,1,0,0,101,0,0,0,0,0,0,0,0,0,48,1,0,6,3,0,0
202,4457,0,0,4,12,0,2,0,4,0,0,0,75,0,0,18,0,2,1,0,9,1,2,17,0,0,7,0,0,1,0,1,0,1,0,5,0,0,0,2,1,19,37,0,1,2,0,1,97,0,0,0,0,1,0,0,0,0,20,3,1,1,1,0,0
222,4924,0,0,4,22,1,1,0,2,0,0,0,82,0,0,21,0,8,0,0,11,2,11,18,0,0,2,0,0,0,2,0,0,0,0,5,0,0,0,1,2,13,25,0,1,0,0,1,109,0,1,0,0,0,1,0,0,0,102,1,2,1,1,1,0
227,5040,0,0,0,17,0,2,0,0,3,0,0,86,0,0,20,0,4,1,0,3,3,20,27,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,13,21,0,0,0,0,1,103,0,1,0,0,0,0,0,0,0,35,1,0,9,6,0,0
232,5157,0,0,3,12,0,4,0,0,0,0,0,77,0,1,18,0,6,0,0,3,4,59,21,0,0,0,0,0,0,1,0,0,2,0,0,1,3,0,3,0,15,25,0,0,0,0,0,97,0,0,0,0,0,0,0,0,2,21,1,0,24,1,1,0
242,5391,0,0,5,9,0,0,0,0,0,0,0,51,0,2,15,0,9,0,0,3,3,11,23,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,8,2,9,29,0,5,0,0,1,95,0,0,0,0,1,1,0,0,0,34,1,1,40,3,0,0
252,5624,0,2,3,36,0,2,0,1,1,1,0,53,0,15,12,0,10,0,0,8,30,10,18,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,10,2,4,26,0,2,2,0,1,91,0,0,0,0,14,1,0,0,0,114,0,1,50,3,0,0
262,5951,1,0,1,88,1,4,2,0,0,1,0,46,0,38,13,0,8,0,0,7,72,17,29,0,2,5,0,0,1,2,1,0,2,0,0,0,1,0,16,1,4,13,0,1,1,1,1,114,0,0,12,0,3,0,0,0,0,28,3,1,37,2,0,1
282,6625,0,0,1,31,1,0,0,0,0,1,0,53,0,4,12,0,17,0,0,3,51,141,32,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,10,1,5,9,0,2,1,0,3,110,0,0,0,0,4,0,0,0,0,10,0,0,39,6,0,0
302,7300,0,0,1,59,1,1,1,1,0,1,0,30,0,1,11,0,15,1,0,30,147,0,15,1,0,3,2,1,1,2,0,0,0,1,0,0,0,0,60,1,2,12,0,1,0,0,0,109,0,0,1,0,0,1,0,0,0,11,6,1,77,4,0,0
322,7974,0,4,2,180,0,1,0,0,0,0,0,57,0,0,3,0,21,0,0,63,72,4,14,0,0,5,0,0,0,3,2,0,0,0,0,0,0,0,2,7,7,9,0,1,5,0,0,111,0,0,0,0,0,0,0,0,0,189,2,4,34,2,1,1
332,9006,0,0,1,120,0,0,0,0,0,2,0,52,0,0,9,0,24,2,0,36,145,0,13,0,0,1,2,0,0,3,1,1,1,1,0,0,0,1,0,5,4,9,0,5,1,0,1,113,0,0,0,0,0,3,0,0,4,0,1,0,48,2,0,0
337,9869,1,1,1,282,1,3,0,0,2,3,0,30,0,0,6,0,22,1,0,108,96,0,6,0,1,0,4,0,1,4,0,1,0,0,0,0,0,0,3,6,9,13,0,2,3,1,1,96,1,0,0,0,0,24,0,0,12,0,1,1,76,1,0,0
342,10733,1,0,0,120,2,1,0,0,0,1,0,32,0,0,5,0,32,4,0,22,99,0,3,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,2,4,24,20,0,1,1,0,0,58,1,0,0,0,0,10,0,0,4,5,1,0,103,0,0,0
347,11596,10,0,1,123,0,2,0,0,0,7,0,34,1,0,11,1,0,1,0,42,141,0,1,0,0,0,3,0,0,3,0,0,0,1,0,0,1,1,1,5,42,23,0,0,2,0,2,39,1,0,0,0,0,12,0,0,8,7,0,3,107,0,0,0
352,12459,19,0,0,90,0,1,0,0,0,4,0,34,0,0,5,0,0,0,0,24,90,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,2,15,40,23,0,0,3,0,8,27,0,0,0,0,0,3,0,1,17,45,1,3,108,0,2,0
362,14185,14,0,1,33,0,0,0,2,0,3,0,26,0,0,5,1,0,0,0,21,23,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,11,75,44,0,0,3,0,4,21,0,0,0,0,0,5,0,0,1,13,3,0,81,2,0,0
363,NA,24,0,0,24,0,0,0,0,1,1,0,8,0,0,2,0,0,0,0,27,19,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,4,91,67,0,0,8,0,2,25,0,0,1,0,0,5,0,0,1,6,5,0,25,2,0,0
364,NA,3,0,0,5,0,0,0,0,2,0,0,5,0,0,0,1,0,0,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,107,0,0,17,0,0,8,0,0,0,0,0,2,1,0,0,0,5,0,0,1,0,0
368,NA,15,0,0,7,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,126,0,0,9,0,0,3,0,0,0,0,0,2,1,0,0,0,1,0,0,0,2,0
372,NA,8,0,0,1,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,39,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119,106,0,0,3,0,0,2,0,0,0,0,0,2,1,4,0,0,5,0,0,0,0,0
382,NA,3,0,0,0,2,0,0,2,2,5,1,1,0,0,0,14,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,46,48,0,0,45,0,0,1,0,0,0,0,0,1,3,1,0,0,4,0,0,0,0,0
392,NA,3,0,0,0,2,1,0,0,1,6,1,2,0,0,0,20,0,0,0,68,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,29,0,0,15,0,0,3,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0
412,NA,3,0,0,0,0,1,0,0,3,0,0,4,0,0,0,0,0,0,0,150,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,79,0,0,11,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
432,NA,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,2,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,67,71,0,0,29,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
452,NA,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,37,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
472,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,84,0,0,4,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
492,NA,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53,80,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,133,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
506,NA,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,81,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,69,125,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
512,NA,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,92,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,121,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
562,NA,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,43,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,44,54,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,NA,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,38,9,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,44,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
