"sample.depths","sample.ages","Alnus.viridis.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Ericaceae","Picea","Salix","Pinus","Poaceae","Rosaceae","Ranunculaceae","Oxyria.digyna"
250,45,0.177966101694915,0.0112994350282486,0.305084745762712,0.00282485875706215,0.248587570621469,0.019774011299435,0.146892655367232,0.00564971751412429,0.019774011299435,0.00847457627118644,0.0536723163841808,0,0
260,793,0.153061224489796,0.0102040816326531,0.346938775510204,0,0.142857142857143,0,0.224489795918367,0.0102040816326531,0.0102040816326531,0,0.0816326530612245,0.0204081632653061,0
270,1541,0.186475409836066,0.00614754098360656,0.338114754098361,0,0.135245901639344,0.0225409836065574,0.215163934426229,0.0204918032786885,0.0184426229508197,0.0102459016393443,0.040983606557377,0.00409836065573771,0.00204918032786885
280,2289,0.223880597014925,0.00895522388059702,0.340298507462687,0,0.125373134328358,0.0208955223880597,0.17910447761194,0.00298507462686567,0.0149253731343284,0.017910447761194,0.0537313432835821,0.0119402985074627,0
290,3038,0.232273838630807,0,0.356968215158924,0,0.114914425427873,0.0146699266503667,0.183374083129584,0.0097799511002445,0.0122249388753056,0.0171149144254279,0.0513447432762836,0.00733496332518337,0
300,3786,0.31981981981982,0.00225225225225225,0.373873873873874,0,0.0765765765765766,0.0157657657657658,0.132882882882883,0.00225225225225225,0.018018018018018,0.0112612612612613,0.0382882882882883,0.009009009009009,0
310,4534,0.363636363636364,0.00454545454545455,0.354545454545455,0,0.0704545454545455,0.0113636363636364,0.1,0.00909090909090909,0.00227272727272727,0.0159090909090909,0.0477272727272727,0.0204545454545455,0
320,5283,0.389400921658986,0.00691244239631336,0.359447004608295,0,0.0599078341013825,0.0230414746543779,0.0552995391705069,0.00460829493087558,0.00460829493087558,0.00691244239631336,0.0737327188940092,0.0138248847926267,0.00230414746543779
330,6031,0.443935926773455,0.0045766590389016,0.368421052631579,0,0.0640732265446224,0.0045766590389016,0.022883295194508,0.011441647597254,0.011441647597254,0.0183066361556064,0.0274599542334096,0.022883295194508,0
335,6405,0.406685236768802,0,0.440111420612813,0,0.0473537604456825,0.00278551532033426,0.00557103064066852,0.0278551532033426,0.0222841225626741,0.0139275766016713,0.0167130919220056,0.0167130919220056,0
340,6748,0.145118733509235,0.00263852242744063,0.54089709762533,0.00263852242744063,0.108179419525066,0.00527704485488127,0.0184696569920844,0.0633245382585752,0.0158311345646438,0.0659630606860158,0.0131926121372032,0.0184696569920844,0
345,7090,0.0719178082191781,0,0.616438356164384,0.00684931506849315,0.0684931506849315,0.00342465753424658,0,0.13013698630137,0.00342465753424658,0.0513698630136986,0.0445205479452055,0.00342465753424658,0
350,7433,0.139318885448916,0.00619195046439629,0.588235294117647,0,0.0619195046439628,0.00928792569659443,0.00619195046439629,0.0464396284829721,0.00928792569659443,0.0804953560371517,0.043343653250774,0.00928792569659443,0
355,7775,0.086687306501548,0.00619195046439629,0.591331269349845,0,0.0897832817337461,0.0123839009287926,0.00309597523219814,0.111455108359133,0.00928792569659443,0.0154798761609907,0.043343653250774,0.021671826625387,0.00928792569659443
360,8118,0.139784946236559,0.0537634408602151,0.161290322580645,0,0.301075268817204,0.032258064516129,0.010752688172043,0.10752688172043,0.010752688172043,0.064516129032258,0.043010752688172,0.064516129032258,0.010752688172043
365,8339,0,0.0714285714285714,0.0357142857142857,0,0.553571428571429,0,0,0.214285714285714,0,0.0535714285714286,0,0.0178571428571429,0.0535714285714286
380,9003,0,0.04,0.0266666666666667,0.0266666666666667,0.133333333333333,0,0,0,0,0.08,0.0666666666666667,0.626666666666667,0
400,NA,0,0,0,0.0333333333333333,0.366666666666667,0,0,0,0,0.266666666666667,0,0.3,0.0333333333333333
