"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Prunus","Quercus","Salix","Sarcobatus.vermiculatus","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae.undiff.","Cyperaceae","Iva.annua.type","Iva.xanthifolia","Plantago","Poaceae.undiff.","Polygonum.lapathifolium","Rosaceae.undiff.","Rumex","Thalictrum","Urtica","Xanthium","Zea","Botrychium","Diphasiastrum.tristachyum","Huperzia.lucidula","Lycopodium.annotinum","Osmunda","Pteridium","Woodsia","Isoëtes","Myriophyllum","Nymphaea","Typha","Spore..monolete.","Spore..trilete.","Indeterminable","Unknown"
1,-31,0,0,0,2,7,2,1,0,2,0,106,6,4,28,0,0,4,0,1,14,1,6,3,17,0,0,0,0,0,0,7,0,2,2,12,10,54,0,1,0,111,0,0,0,23,3,42,0,0,2,0,0,0,0,2,27,0,0,10,0,0,0,0,0,0,0,1,0,2,0,5,0,0,0,1,0,0,0
3,-6,0,0,2,1,10,0,6,0,0,7,120,1,6,39,0,0,1,0,1,14,1,0,4,6,0,0,1,0,0,0,4,0,7,6,14,6,74,0,0,0,153,0,0,0,17,9,59,0,0,0,0,2,0,0,1,44,0,0,17,0,0,0,0,0,0,0,1,20,3,0,4,0,0,0,0,2,0,0
5,20,0,0,2,0,8,1,3,0,2,0,118,1,10,40,0,0,0,1,0,28,3,0,1,4,0,2,0,0,0,0,8,0,4,6,16,12,82,2,1,0,138,1,0,0,25,3,44,0,1,0,0,1,0,0,0,30,0,0,34,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,2,3,11,0
7,45,0,0,2,0,9,0,2,0,4,1,74,1,4,44,1,0,2,0,0,12,0,0,1,1,0,0,0,0,0,0,5,0,0,7,22,8,59,4,8,0,93,0,0,0,21,5,48,0,1,0,0,1,0,0,0,36,0,0,20,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,9,5
9,70,0,0,2,3,17,1,5,0,0,0,82,0,6,49,0,0,2,1,0,25,2,1,0,0,0,2,0,0,0,0,6,1,2,12,24,8,81,1,4,0,142,0,0,0,30,4,43,0,2,0,0,5,0,0,0,31,0,0,37,0,0,0,1,0,0,1,1,2,0,0,1,0,0,1,1,8,8,0
11,95,0,0,0,0,4,0,4,0,1,0,112,2,5,30,0,0,1,0,0,22,2,0,0,2,0,1,0,0,0,0,1,1,4,7,16,11,107,0,4,0,141,0,0,0,32,5,25,0,4,0,0,4,0,0,0,35,0,0,33,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,3,3,5,0
13,120,0,0,0,1,6,0,1,0,4,0,96,0,9,39,0,1,0,0,0,32,3,0,0,2,0,2,0,0,0,0,2,0,2,10,30,8,115,0,3,0,143,2,0,0,26,3,24,2,2,0,0,1,0,0,0,37,0,0,24,0,0,1,0,0,0,0,0,0,3,0,10,0,0,0,4,5,11,0
15,145,1,0,0,1,6,0,2,0,3,0,114,1,6,34,0,0,0,0,0,46,0,0,1,3,0,2,0,0,0,0,5,0,4,6,24,7,97,2,0,0,136,0,0,1,34,6,17,0,1,0,0,1,0,0,0,32,0,0,11,0,0,0,0,2,0,0,0,1,2,0,8,0,0,0,3,4,6,0
17,170,0,0,1,1,6,1,2,0,0,1,102,2,14,23,0,0,3,1,0,19,0,11,2,1,0,2,0,0,0,0,5,0,1,14,16,6,100,4,1,0,124,0,0,0,35,6,9,1,3,0,0,0,0,0,0,19,0,0,11,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,2,0,5,0
19,195,0,0,2,1,2,0,6,0,0,0,95,0,9,26,0,0,0,0,1,32,6,0,4,2,0,0,0,0,0,0,9,0,5,6,31,16,93,4,0,0,137,1,0,1,25,4,14,0,1,0,0,0,0,0,0,17,0,0,15,1,0,0,0,0,0,0,0,1,2,0,5,0,1,0,1,8,5,0
21,219,0,0,0,0,10,0,0,0,1,0,90,1,4,31,0,0,1,0,0,33,2,0,0,0,0,1,0,0,0,0,2,0,2,7,19,3,105,0,0,0,149,1,0,1,40,7,8,0,0,0,0,0,0,0,0,13,0,0,4,1,0,0,0,0,0,0,1,1,6,0,7,0,0,0,1,4,9,0
23,240,0,0,0,0,9,0,5,0,0,0,93,0,9,34,0,0,1,0,0,26,1,2,0,1,0,2,0,0,0,1,4,0,5,5,13,11,106,1,0,0,146,1,0,2,27,10,8,0,0,0,0,0,0,0,0,10,0,0,7,0,0,0,0,0,0,0,2,2,6,0,3,0,0,1,0,8,10,0
25,261,1,0,0,0,5,1,4,0,5,0,98,0,8,29,0,0,1,0,0,39,6,2,1,0,0,2,0,0,0,0,5,0,4,5,16,4,103,1,3,0,146,0,0,0,30,7,9,1,0,0,0,1,1,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,5,6,1
27,282,1,0,0,1,5,0,9,0,3,0,83,2,6,37,0,0,1,1,0,28,0,9,1,5,0,2,1,0,0,0,3,0,4,4,22,12,82,3,2,0,139,0,0,1,30,6,6,0,0,1,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,2,0,8,0
29,304,2,0,0,0,8,0,4,0,1,0,85,2,8,35,0,0,0,0,0,33,1,0,4,2,0,0,0,0,0,0,5,0,1,6,12,5,76,3,0,0,167,0,0,1,37,4,8,0,1,2,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,4,0,0
31,325,0,0,0,1,12,0,8,0,3,0,104,0,4,29,0,0,2,0,0,29,2,4,1,2,0,0,0,0,0,0,3,0,5,2,28,11,88,0,0,0,156,0,0,0,30,10,0,0,1,0,0,0,0,0,0,14,0,0,1,1,0,0,0,0,0,0,0,0,6,0,11,0,0,0,1,1,3,0
33,346,0,0,1,0,13,2,2,0,1,0,82,3,9,24,0,0,1,1,0,20,4,6,1,8,0,4,0,0,0,0,2,0,4,5,30,19,87,4,1,0,113,2,0,0,33,5,1,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,3,0,10,0,0,0,0,2,6,0
35,368,2,1,1,0,7,3,6,0,1,0,99,0,18,20,0,1,2,0,0,34,1,2,1,1,0,1,0,0,0,0,14,0,5,5,37,12,66,1,0,0,154,1,0,1,37,6,6,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,2,0,6,0,0,0,1,5,12,0
37,389,1,0,1,0,11,1,4,0,1,0,95,0,12,24,0,0,2,0,0,27,2,5,2,1,0,0,0,0,0,0,5,0,4,8,33,8,102,2,0,0,123,0,0,1,27,5,2,1,3,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,3,0,15,0,0,0,2,4,0,4
39,410,0,0,0,2,3,0,4,0,0,0,114,2,9,28,0,1,0,0,0,30,1,4,1,0,0,0,0,0,1,0,9,0,4,8,27,7,100,1,1,0,150,0,0,0,37,3,2,1,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,2,0,6,0,0,1,1,2,6,0
41,431,0,0,0,2,4,0,3,0,0,0,97,1,3,25,0,0,0,0,0,27,0,2,7,4,0,2,0,0,0,0,5,0,3,4,48,13,94,2,1,1,139,0,0,1,29,5,3,0,1,0,1,3,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,1,1,0,7,0,0,0,0,4,8,0
43,453,0,0,0,0,6,1,3,0,2,0,78,1,5,29,0,0,0,0,0,26,0,2,4,3,0,0,0,0,0,0,8,0,6,12,44,6,118,1,0,0,125,0,0,1,36,2,3,0,1,0,0,2,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,7,0,6,0,0,0,3,3,15,0
45,474,0,0,0,0,9,2,8,0,0,0,82,1,14,27,0,0,1,0,1,42,2,5,3,1,0,1,0,0,0,0,11,0,3,8,48,7,101,1,1,0,123,0,0,0,35,3,0,1,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,1,0,2,7,0,10,0,0,0,0,4,6,0
47,495,0,1,0,0,7,2,3,1,1,0,76,2,8,34,0,0,0,0,0,40,0,3,1,4,0,1,0,0,0,0,3,0,3,6,49,10,72,1,1,0,135,0,0,1,38,4,5,1,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,4,0,8,0,0,0,0,2,3,0
49,517,0,0,0,1,8,0,4,0,1,0,93,0,15,41,0,0,0,0,0,0,1,5,4,0,0,1,0,0,0,0,4,1,11,6,33,4,76,0,0,0,126,0,0,0,38,4,1,1,5,0,0,1,0,0,0,6,0,2,3,0,0,0,0,0,0,0,0,1,8,0,9,0,0,0,1,5,9,0
51,538,0,0,1,0,5,0,5,0,1,0,87,0,12,36,0,0,0,0,0,35,2,0,2,0,0,4,0,0,0,0,6,0,2,6,34,8,99,2,1,0,156,0,0,0,24,6,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,12,0,0,0,1,4,10,0
53,559,0,0,0,0,9,3,1,1,0,0,84,4,9,22,0,0,1,0,0,39,2,1,1,2,0,1,0,0,1,0,1,0,3,4,31,18,86,1,0,0,129,0,0,0,39,7,1,0,1,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,7,0,6,0,0,0,1,2,7,0
55,580,0,2,0,2,9,0,1,0,0,0,92,2,16,17,0,0,0,0,1,49,2,3,0,1,0,0,0,0,1,0,5,0,3,4,38,15,96,1,0,0,141,1,0,0,30,4,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,2,4,0,15,0,0,0,2,0,4,0
57,602,0,0,0,0,9,0,4,0,0,0,91,0,10,18,0,1,0,0,0,37,3,1,2,3,0,0,0,0,0,0,9,0,2,6,30,9,93,0,0,0,154,0,0,0,39,3,2,1,0,0,0,2,0,0,0,10,0,2,1,0,0,0,0,0,0,1,1,2,6,0,6,0,0,0,1,1,6,0
59,623,1,0,2,1,8,0,2,0,3,0,96,3,11,27,0,1,0,0,1,45,3,0,0,3,0,3,0,0,0,0,7,0,4,7,22,7,100,0,0,0,129,0,0,0,34,3,1,0,3,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,2,9,0,10,0,0,0,0,1,2,0
61,644,0,0,0,1,10,0,3,0,1,0,103,0,12,20,0,0,1,0,0,27,1,1,0,0,0,1,0,0,1,0,4,0,5,6,40,8,84,1,0,0,133,0,0,1,51,5,3,0,1,0,0,1,0,0,0,12,0,1,0,3,0,0,0,0,0,1,0,3,7,0,15,0,0,0,0,11,4,0
63,666,0,0,0,1,11,1,3,0,0,0,86,0,12,25,0,0,1,0,0,40,0,1,1,2,0,2,0,0,0,0,8,3,6,5,49,10,80,4,0,0,102,1,0,0,52,4,1,0,2,0,0,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1,4,0,10,0,0,0,1,2,2,0
65,687,0,0,0,0,6,0,4,0,1,0,91,0,6,26,0,0,0,1,0,35,3,1,1,4,0,0,0,0,0,0,7,1,2,4,43,10,100,2,0,0,120,1,0,2,36,5,0,0,0,0,0,1,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,2,3,0,8,0,0,0,1,3,13,0
67,745,0,0,0,0,8,1,0,0,0,3,104,1,8,19,0,0,1,2,0,41,1,5,2,2,1,1,0,0,0,0,5,0,6,6,46,15,86,3,1,0,98,0,0,0,48,8,3,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,5,0,9,0,0,0,0,1,7,0
69,804,0,0,0,0,15,0,5,0,1,0,84,0,12,37,0,0,0,0,0,52,4,2,1,0,0,3,0,0,0,0,6,0,1,6,37,9,97,2,0,0,119,0,0,0,34,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0,12,0,0,0,1,7,6,0
