"sample.depths","sample.ages","Sample.quantity","Microsphere.suspension","Microsphere.suspension.1","Microspheres","Lycopodium.tablets","Lycopodium.tablets.1","Lycopodium.spike","Acer.rubrum","Alnus","Betula","Carya","Celtis","Cephalanthus","Ericales","Fagus","Fraxinus.cf..F..caroliniana","Gordonia","Ilex","Juglans.nigra","Liquidambar","Magnolia.virginiana.type","Morus","Myrica","Ostrya.Carpinus","Parthenocissus","Pinus","Quercus","Sabal","Salix","Schrankia","Serenoa","Taxodium.type","Ulmus","Vitis","Agalinis.type","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chamaecrista.type","Chenopodium.type","Cyperaceae.undiff.","Dalea.feayi.type","Diodia.teres","Helianthemum","Iva.annua.type","Lechea","Poaceae","Polygonella.fimbriata.type","Polygonella.polygama.type","Polygonum.lapathifolium.type","Rhexia","Rumex","Vicia.type","Dryopteris.type","Lycopodiella.inundata.type","Osmunda.cinnamomea","Osmunda.regalis","Pteridium","Selaginella.arenicola","Sphagnum","Cladium","Hydrocotyle","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Sagittaria","Typha.angustifolia.type","Typha.latifolia","Utricularia","Unknown"
2050,221,0,0,113500,210,NA,NA,0,0,0,0,2,1,0,4,0,0,4,6,0,0,0,0,23,0,0,175,28,1,0,0,2,16,1,0,0,1,0,0,2,1,1,26,4,0,0,0,7,0,4,0,0,1,0,0,0,1,1,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,4
2058,246,0,0,113500,169,NA,NA,0,1,0,0,4,0,0,2,0,2,4,6,0,0,0,0,35,0,0,209,34,1,0,1,0,12,0,0,0,0,0,0,1,0,0,19,7,0,0,0,3,0,10,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5
2102,380,0,0,113500,146,NA,NA,0,0,0,0,3,1,0,1,0,0,1,7,0,0,0,0,29,0,0,218,24,0,0,0,1,13,2,0,0,1,0,0,4,0,1,32,6,0,0,0,2,0,10,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
2134,478,0,0,113500,147,NA,NA,0,0,0,0,1,2,0,3,0,0,3,6,0,0,0,0,16,0,0,215,15,1,1,0,1,9,1,1,0,0,0,0,2,0,1,15,3,0,0,0,1,0,14,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,3
2166,576,0,0,113500,208,NA,NA,0,0,0,0,1,0,0,10,0,2,7,10,0,1,0,0,48,1,0,174,35,2,3,0,0,10,2,0,0,0,1,0,3,0,0,12,8,0,0,0,6,0,15,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1
2210,711,0,0,113500,223,NA,NA,0,0,0,0,2,0,0,1,0,0,6,2,0,0,1,0,23,0,1,207,38,1,0,0,0,4,3,2,0,2,0,0,1,0,0,30,5,0,0,0,5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2262,870,0,0,113500,123,NA,NA,0,0,0,0,5,0,0,2,0,2,2,5,0,0,0,0,28,0,0,224,28,1,1,0,0,5,1,1,0,4,1,0,3,0,1,19,5,0,0,0,3,0,17,0,1,0,0,0,0,3,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,2
2294,968,0,0,113500,132,NA,NA,0,0,0,0,1,0,0,4,0,1,9,3,1,3,1,0,36,0,0,160,35,0,1,0,1,14,1,0,0,0,0,0,4,0,1,11,11,0,0,0,1,0,19,0,0,0,0,0,0,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2
2326,1065,0,0,113500,223,NA,NA,0,0,1,0,2,0,1,2,0,1,4,3,0,0,0,0,27,0,0,160,44,0,0,0,2,5,1,0,0,1,0,0,3,0,0,26,6,0,0,0,3,0,20,0,0,0,0,0,0,5,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1
2358,1163,0,0,113500,174,NA,NA,0,0,1,0,0,0,0,3,0,2,5,4,0,0,0,0,22,0,1,168,46,1,0,0,0,4,1,0,0,1,0,0,5,0,0,37,5,0,0,0,1,0,7,0,0,0,0,0,0,4,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2
