"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium","Betula","Betula.undiff.","Betulaceae.undiff.","Coniferophyta.undiff.","Corylus","Cupressaceae","Cyperaceae","Dryopteris","Epilobium","Equisetum","Ericaceae","Fagus","Fraxinus","Huperzia.lucidula","Huperzia.selago.H..lucidula","Indeterminable","Isoëtes","Juglans.cinerea","Larix","Liliaceae","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum.Diphasiastrum.complanatum","Lycopodium.undiff.","Myrica","Myriophyllum","Nuphar","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Poaceae","Populus","Potamogeton","Pteridium","Quercus","Ranunculaceae.undiff.","Rosaceae","Salix","Selaginella.selaginoides","Shepherdia.canadensis","Sphagnum","Symphoricarpos.albus","Thalictrum","Tilia","Tsuga","Typha","Ulmus","Unknown"
547,-5,6,0,0,0,14,54,0,4,2,4,0,22,80,22,10,0,0,16,2,0,0,0,0,0,2,0,16,40,0,2,0,0,0,0,0,6,0,0,0,88,248,0,8,2,34,4,0,0,0,2,0,0,0,0,0,34,4,0,0,2,0,2,0
555,97,14,0,0,2,10,86,0,6,4,0,0,12,68,20,32,0,0,8,6,0,0,4,0,0,0,0,12,12,0,6,0,0,4,2,0,2,0,0,0,0,0,540,8,2,42,10,0,0,0,2,0,0,0,2,0,14,0,2,0,0,0,0,2
605,737,14,0,0,2,12,54,0,2,2,0,0,6,42,22,24,2,0,8,2,0,0,2,2,0,0,0,22,34,0,2,0,0,2,0,2,0,0,2,0,24,414,0,10,0,26,8,2,0,0,2,0,0,2,2,0,16,0,0,0,0,0,0,8
629,1044,18,0,0,2,20,66,0,0,0,2,0,18,90,26,20,2,4,8,2,0,0,0,0,0,0,0,8,34,0,4,0,0,2,0,2,0,0,0,0,0,0,604,10,8,38,8,0,0,0,0,0,0,4,0,0,28,2,0,0,0,0,0,4
630,1057,2,0,0,4,6,40,2,0,2,6,0,6,42,14,20,0,0,12,2,0,2,0,0,0,0,0,22,14,0,2,0,0,0,0,0,4,0,0,0,0,0,398,8,8,36,6,0,0,0,0,0,0,6,0,0,22,0,0,0,0,0,0,8
650,1313,16,0,2,10,4,54,0,0,0,0,0,10,98,34,26,4,0,16,12,0,0,4,0,0,0,2,24,32,0,10,0,0,4,2,0,2,0,0,2,0,756,0,8,0,44,0,0,0,0,2,0,0,6,4,0,34,4,0,0,0,0,0,4
690,1825,18,0,0,0,6,40,0,0,2,2,0,0,82,32,22,0,2,2,2,0,0,2,0,0,0,0,16,22,0,4,0,0,0,2,2,2,0,0,0,0,0,398,10,2,40,2,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,14
730,2337,40,0,0,10,12,90,0,0,2,2,0,34,130,24,18,4,0,14,12,0,0,4,0,0,0,0,22,78,0,12,0,0,2,2,0,4,0,0,0,0,820,0,12,18,50,4,0,0,0,2,0,0,6,2,0,20,2,4,0,2,2,0,2
780,2876,26,0,0,18,16,54,2,0,0,0,0,26,84,30,22,0,2,10,8,0,0,0,0,0,0,0,6,38,0,0,0,0,0,2,0,6,0,0,6,0,0,562,14,8,20,2,4,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,4
800,3074,24,0,2,4,8,18,0,2,0,0,0,24,90,4,10,0,0,6,2,0,0,2,0,0,2,0,10,16,0,4,0,0,0,4,0,0,0,0,0,42,366,20,8,4,2,2,2,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,2
