"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Amorpha.canescens","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium.cf..B..dissectum","Botrychium.cf..B..multifidum","Brasenia.schreberi","Brassicaceae","Carya","Celtis","cf..Ceanothus","cf..Lysimachia.thyrsiflora","Chenopodium.type","Corylus","Cupressaceae","Cyperaceae","Dalea.purpurea","Dryopteris.type","Ephedra","Equisetum","Ericaceae","Euphorbia","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Humulus.Cannabis.sativa","Hydrophyllum","Indeterminable","Isoëtes","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodiaceae.cf..Lycopodium.clavatum","Lycopus.type","Morus","Myriophyllum.sibiricum.type","Myriophyllum.verticillatum.type","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.type","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sparganium.type","Thalictrum","Tidestromia","Tilia","Typha.latifolia","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Vitis","Woodsia","Xanthium"
885,6384,0,1,0,4,40,18,2,0,19,5,21,0,0,10,0,1,0,0,0,5,2,1,15,0,3,0,1,0,0,5,4,0,0,4,0,0,0,0,0,1,0,0,1,1,0,0,0,9,0,42,28,154,0,0,39,0,11,2,0,2,48,0,0,0,1,4,0,0,0,0,2,12,0,0,0,0,0,0
887,6431,0,0,0,0,11,8,0,0,18,4,7,0,0,2,0,0,0,0,0,6,1,0,17,0,1,0,0,0,0,1,2,0,0,6,0,0,0,0,1,1,0,0,0,2,0,1,0,12,1,31,20,113,0,0,21,0,7,0,0,2,15,0,1,0,0,3,0,1,0,1,1,12,1,0,0,0,0,0
890,6502,0,0,0,1,13,9,0,0,10,3,10,0,0,7,0,1,0,0,0,6,0,1,17,0,4,0,0,0,0,4,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,32,30,113,0,0,21,0,8,0,0,1,29,0,1,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0
892,6549,0,0,0,1,11,7,1,0,18,2,11,0,0,11,0,0,0,0,0,4,1,0,9,0,1,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,53,26,119,0,0,24,0,7,0,0,0,26,0,0,0,0,2,0,1,0,1,0,8,0,0,0,0,0,0
895,6620,0,0,0,3,25,20,0,0,45,6,23,0,0,5,0,1,1,0,0,4,4,0,11,0,0,0,0,0,0,2,0,2,0,8,0,0,1,0,1,1,0,1,0,0,0,0,0,21,0,70,36,160,0,0,36,0,10,1,0,7,40,0,0,0,0,7,1,0,0,0,0,18,0,2,1,2,0,0
898,6691,0,0,0,1,6,4,0,0,10,1,5,0,0,1,1,0,0,0,0,4,2,0,7,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,16,12,81,0,0,26,0,8,0,0,0,25,0,0,0,0,2,1,0,0,1,0,8,0,1,1,1,0,0
902,6786,0,0,0,3,17,9,0,0,8,3,7,0,0,0,0,0,0,0,0,7,2,1,4,0,0,0,0,0,0,6,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,15,76,0,0,8,0,0,1,0,2,27,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
906,6881,0,0,0,2,7,4,1,0,7,1,9,0,0,0,0,1,0,0,0,5,2,1,3,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,12,1,16,13,73,0,0,15,0,9,1,0,2,21,0,0,0,0,1,0,0,0,1,0,5,1,0,0,0,1,0
910,6976,0,0,0,0,11,8,1,0,8,3,9,0,0,0,1,1,0,0,0,8,5,0,14,0,6,0,2,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,19,6,80,0,0,13,0,3,0,0,2,34,0,1,0,0,3,0,0,0,0,0,4,2,2,0,0,0,0
912,7023,0,0,0,2,14,8,0,0,6,0,9,0,0,0,1,0,0,0,0,4,1,0,8,0,2,0,0,0,0,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,16,15,63,0,0,11,0,9,0,0,2,29,0,0,0,0,3,0,0,0,1,0,6,0,0,1,0,0,0
