"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Acer.spicatum","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Campanulaceae","Carya","Caryophyllaceae","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Myriophyllum","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Rosaceae","Rubiaceae","Rumex","Salix","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Urtica.type","Viburnum"
0,0,29,2,5,1,3,0,14,1,2,186,0,0,0,0,0,2,0,7,1,12,0,5,0,12,0,2,0,0,0,0,0,0,6,4,0,7,36,1,0,9,0,1,0,0,15,0,0,2,0,1,0,0,0,7,0,1,8,0,0
25,55,19,0,1,2,5,0,25,0,0,95,0,0,1,2,0,5,2,2,0,10,0,2,0,1,0,0,0,0,0,1,0,1,1,20,0,4,6,0,0,7,4,6,0,2,8,0,0,5,0,7,0,0,0,6,0,0,2,0,0
50,109,31,0,5,0,2,1,9,0,1,83,0,1,0,2,0,0,0,8,0,11,2,4,0,8,0,0,0,0,1,1,0,0,0,11,0,1,13,1,1,12,7,2,0,0,9,1,0,2,3,5,0,0,0,10,0,3,2,0,0
60,289,24,0,6,0,2,0,0,0,1,100,0,0,0,3,0,3,0,7,1,47,0,3,0,7,0,0,0,0,0,1,0,1,2,39,1,15,18,0,0,0,2,0,0,1,17,0,0,0,2,5,0,0,0,35,0,4,0,0,0
75,795,15,0,6,0,14,0,0,1,1,123,0,2,1,0,0,3,0,5,2,19,2,2,0,8,8,0,0,0,6,0,0,0,4,26,0,13,56,0,2,3,5,4,0,7,43,0,0,0,2,8,0,0,0,17,0,6,0,0,0
90,1302,20,0,11,0,1,2,1,0,0,96,0,0,0,3,0,3,0,15,1,49,4,3,0,13,1,0,0,0,1,1,0,0,6,22,0,10,17,0,1,0,5,0,0,2,16,0,0,0,0,11,0,0,0,46,0,7,3,0,0
100,1337,10,0,9,0,2,0,0,1,4,160,0,0,0,2,0,5,0,28,0,59,0,7,0,8,19,2,0,0,0,0,0,0,5,4,0,7,11,0,0,1,13,3,4,0,15,0,0,0,0,10,0,1,1,36,0,2,2,0,0
125,1446,6,0,10,0,3,0,0,1,0,161,0,2,0,0,0,4,0,66,0,51,2,6,0,8,2,0,0,0,0,0,0,0,3,4,0,9,14,0,1,0,17,5,0,1,15,0,0,0,0,6,0,0,0,48,0,0,0,0,0
150,2067,11,0,8,0,3,0,0,0,0,140,0,0,0,1,1,7,0,1,0,81,1,6,0,13,22,1,0,0,1,2,0,0,12,6,0,4,12,0,0,0,4,4,4,1,13,0,0,0,0,13,0,0,2,37,2,6,1,0,0
175,2687,10,0,11,0,1,0,0,1,0,125,0,2,0,0,0,7,0,8,0,62,3,3,0,17,29,1,0,0,2,0,0,0,7,6,0,6,22,0,0,0,14,0,4,0,20,0,0,0,0,6,0,0,2,24,2,6,3,0,0
190,3449,12,0,8,0,9,0,0,4,2,177,0,0,0,0,0,5,0,1,0,43,1,7,0,35,39,3,0,0,3,2,0,0,8,2,0,20,24,0,1,1,23,0,5,0,35,0,0,0,1,12,0,0,2,13,1,8,7,0,0
200,4563,3,3,7,1,3,0,0,0,1,164,0,0,0,1,0,6,0,1,0,56,2,2,0,9,72,0,0,0,0,2,0,0,7,0,0,13,12,0,0,1,9,2,2,0,20,0,0,0,0,1,0,3,0,7,2,4,4,0,0
210,5008,7,0,4,0,3,0,0,0,3,176,0,0,0,0,0,3,0,3,0,41,2,3,1,14,135,3,0,0,3,0,0,1,0,2,1,14,36,0,3,1,28,1,17,0,28,2,0,0,1,5,0,0,0,64,3,6,6,0,0
225,5674,10,0,4,0,9,0,3,4,3,217,0,2,1,0,0,12,0,6,0,45,2,3,1,16,104,3,0,0,6,3,0,0,24,4,0,15,31,0,0,3,36,2,8,0,34,0,0,0,2,6,0,1,2,64,1,8,6,0,2
