"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.undiff.","Alnus.incana","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Caprifoliaceae","Carya","Caryophyllaceae","Castanea","Cephalanthus","cf..Hypericum","Corylus","Cupressaceae.Taxaceae","Cyperaceae","Ericaceae","Eriocaulon","Fabaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Huperzia.lucidula","Ilex","Indeterminable","Isoëtes","Iva","Juglans.cinerea","Lamiaceae","Menyanthes.trifoliata","Myrica.Comptonia.peregrina","Myriophyllum","Nuphar","Nymphaea","Nymphoides","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Pteridium","Quercus","Ranunculaceae.undiff.","Rhamnus","Rhus","Rosaceae","Rumex","Salix","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Zea.mays"
0,-34,0,0,1,7,2,72,0,0,25,0,31,0,2,2,0,0,0,1,5,0,4,3,0,4,1,1,4,0,0,8,0,0,1,0,0,46,0,0,0,0,4,0,1,2,1,14,27,0,90,0,52,1,0,0,2,26,0,1,0,0,4,0,1,1,7,5,0,1
10,18,0,0,3,4,1,76,0,0,9,0,15,0,1,2,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,16,1,0,0,0,0,16,1,0,0,0,2,0,0,0,2,8.5,34,0,112,0,36,0,0,0,2,45,0,0,0,0,0,0,0,0,9,2,2,1
20,70,0,0,0,8,0,82,2,0,9,0,18,2,3,1,0,0,0,0,3,0,1,0,0,0,4,0,0,0,0,12,0,0,0,0,0,2,4,0,0,0,6,0,0.5,0,2,14,30,3,83,0,40,0,0,0,2,57,0,1,0,0,5,0,0,0,12,0,2,1
30,123,0,1,0,3,0,43,0,0,6,0,16,0,0,1,0,0,0,0,2,0,3,0,0,0,6,0,1,0,2,34,0,0,1,0,0,10,4,0,0,0,5,0,1,0,2,13.5,9,0,83,0,38,0,0,0,1,81,0,2,0,0,1,0,0,3,9,0,2,1
40,178,0,0,8,10,0,45,0,0,5,0,23,0,0,4,0,2,0,0,0,1,1,6,0,0,4,0,0,0,9,12,4,0,0,0,0,23,3,0,0,0,18,0,0,0,3,25.5,4,0,72,0,83,0,0,0,8,47,0,5,0,0,6,0,0,2,8,0,6,0
50,235,0,3,0,7,0,19,0,0,6,0,22,0,0,8,0,2,2,0,5,1,7,7,0,1,5,0,1,0,5,12,3,0,1,0,0,30,2,0,0,0,12,1,0,4,3,22,0,0,39,0,138,0,2,0,8,28,0,2,0,0,5,0,0,0,6,2,3,0
60,296,0,3,3,14,0,2,0,1,5,0,36,0,0,24,0,0,0,0,3,1,1,4,0,0,15,1,6,0,1,11,9,0,0,0,1,38,0,0,1,0,8,3,2.5,1,3,26,0,0,9,0,147,0,0,0,10,4,0,1,0,1,7,0,2,2,6,3,4,0
70,361,0,0,5,8,0,2,0,0,6,0,42,0,0,14,0,1,0,0,3,0,2,3,0,0,6,0,1,0,2,6,10,0,0,0,0,43,0,0,0,0,8,0,0.5,0,2,24.5,0,0,1,0,173,0,0,0,4,0,0,1,0,0,5,0,1,5,7,0,2,0
80,433,0,2,0,2,0,0,0,0,2,0,27,1,0,19,1,0,0,0,3,0,0,3,0,0,16,0,1,0,2,21,4,0,0,0,0,37,1,0,0,0,5,0,1.5,0,0,15,0,0,0,0,177,0,0,1,8,0,0,0,0,0,1,0,0,1,5,0,2,0
85,473,1,1,4,2,0,1,2,1,2,0,31,0,0,24,0,1,0,0,2,1,0,2,0,1,16,2,3,0,2,10,1,0,0,0,0,54,0,0,0,0,4,0,1,1,4,15.5,0,0,2,1,165,1,0,0,2,0,0,1,0,0,6,0,0,1,14,0,0,0
