"sample.depths","sample.ages","Ambrosia.type","Asteraceae.undiff.","Cupressaceae","Cyperaceae","Nyssa","Pinus.subg..Pinus","Quercus","Apiaceae","Fraxinus","Poaceae","Artemisia","Ulmus","Populus","Amaranthaceae","Plantago","Alnus","Celtis","Salix","Herbs.undiff.","Corylus","Asteraceae.subf..Cichorioideae","Ericaceae","Cornus","Ephedra","Betula","Rhus","Ilex","Juglans","Castanea","Liliaceae","Onagraceae","Pinus.subg..Strobus","Malvaceae","Acer","Myrica","Picea","Ostrya.Carpinus","Tilia"
5,11,0.0151515151515152,0.0505050505050505,0.0101010101010101,0.0606060606060606,0.0555555555555556,0.0303030303030303,0.151515151515152,0.00505050505050505,0.0252525252525253,0.595959595959596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1022,0.102409638554217,0.210843373493976,0.0240963855421687,0.114457831325301,0.0481927710843374,0.00602409638554217,0.0180722891566265,0,0,0.397590361445783,0.0120481927710843,0.0120481927710843,0.0542168674698795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2032,0.0155440414507772,0.0984455958549223,0.0103626943005181,0.077720207253886,0.0103626943005181,0.00518134715025907,0.145077720207254,0.00518134715025907,0.0310880829015544,0.601036269430052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3043,0.0473684210526316,0.0736842105263158,0,0.0947368421052632,0.0105263157894737,0.00526315789473684,0.194736842105263,0,0.0157894736842105,0.552631578947368,0.00526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4053,0.0372340425531915,0.159574468085106,0,0.0691489361702128,0.0159574468085106,0.00531914893617021,0.148936170212766,0,0.0159574468085106,0.531914893617021,0.0106382978723404,0,0.00531914893617021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,4396,0.0561224489795918,0.168367346938776,0,0.147959183673469,0,0.0255102040816327,0.163265306122449,0,0.0102040816326531,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,4738,0.0568181818181818,0.113636363636364,0,0.096590909090909,0,0.0227272727272727,0.113636363636364,0.0113636363636364,0.0340909090909091,0.539772727272727,0.0113636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,5081,0.0315789473684211,0.115789473684211,0,0.0263157894736842,0,0.00526315789473684,0.105263157894737,0.0263157894736842,0,0.668421052631579,0.00526315789473684,0,0,0.0105263157894737,0.00526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,5423,0.046875,0.151041666666667,0,0.0572916666666667,0.00520833333333333,0.015625,0.0520833333333333,0.0208333333333333,0,0.651041666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,5766,0.0726256983240224,0.206703910614525,0,0.0837988826815642,0.00558659217877095,0.00558659217877095,0.0949720670391061,0.0167597765363128,0.0167597765363128,0.463687150837989,0.0167597765363128,0,0.0111731843575419,0,0,0.00558659217877095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,6108,0.0423280423280423,0.132275132275132,0,0.0793650793650794,0.00529100529100529,0,0.0846560846560847,0.0687830687830688,0.0211640211640212,0.529100529100529,0.0158730158730159,0,0.0158730158730159,0,0,0,0.00529100529100529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,6451,0.0793650793650794,0.142857142857143,0,0.0793650793650794,0,0.0264550264550265,0.185185185185185,0.037037037037037,0,0.380952380952381,0.0317460317460317,0,0.0158730158730159,0,0,0.0105820105820106,0,0.0105820105820106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,6793,0.0673575129533679,0.139896373056995,0,0,0.00518134715025907,0.0103626943005181,0.264248704663212,0.0259067357512953,0.0103626943005181,0.316062176165803,0.0466321243523316,0,0.0155440414507772,0.0103626943005181,0,0.0155440414507772,0,0,0.072538860103627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,7136,0.0621761658031088,0.145077720207254,0,0.0569948186528497,0,0.0155440414507772,0.191709844559585,0.0310880829015544,0.0362694300518135,0.424870466321244,0.00518134715025907,0,0.0155440414507772,0.00518134715025907,0,0,0,0,0,0.00518134715025907,0.00518134715025907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,7478,0.0972972972972973,0.243243243243243,0,0.0486486486486487,0,0,0.108108108108108,0.0864864864864865,0.0216216216216216,0.351351351351351,0.00540540540540541,0.00540540540540541,0.00540540540540541,0.00540540540540541,0,0,0,0,0,0,0,0.0216216216216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,7821,0.104166666666667,0.119791666666667,0,0.0729166666666667,0,0.015625,0.104166666666667,0.0520833333333333,0,0.46875,0.015625,0,0.015625,0,0,0,0,0,0,0,0,0.0208333333333333,0.00520833333333333,0.00520833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
