"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Caryophyllaceae","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Indeterminable","Isoëtes","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis"
1,-29,3,0,0,9,6,0,20,0,2,74,2,0,0,5,1,3,0,0,2,1,0,3,0,0,0,0,0,0,2,5,1,0,1,5,15,123,0,0,2,0,0,1,30,0,0,0,0,0,0,0,0,1,0,31,0,11,1,0
20,56,5,0,0,10,28,1,26,0,1,43,0,0,0,1,4,4,2,0,5,2,0,2,0,0,0,1,0,0,0,7,0,0,0,5,8,125,0,0,10,2,0,8,19,0,0,1,2,0,0,0,0,0,2,24,0,9,0,0
40,178,0,0,0,4,8,0,5,0,1,59,0,0,0,0,5,0,2,0,6,1,1,0,0,0,0,0,0,1,0,1,0,0,0,5,8,154,0,0,3,0,0,1,13,0,0,0,2,1,0,0,0,0,1,34,0,9,0,0
60,332,8,0,0,2,26,0,1,1,0,73,4,0,0,2,3,0,1,0,3,1,0,0,0,0,0,0,0,1,2,2,0,0,0,9,5,116,0,0,0,3,0,1,20,0,2,0,2,0,0,0,0,0,0,42,0,7,0,0
80,486,0,0,0,13,0,0,0,0,0,95,1,0,0,0,1,0,5,0,17,1,0,0,0,0,0,1,0,1,0,0,0,0,0,7,2,64,0,0,2,0,0,0,20,0,0,0,0,0,0,0,0,0,2,91,2,4,0,0
100,640,2,0,0,17,12,0,0,0,0,77,1,0,0,0,4,0,7,0,28,1,2,0,0,0,0,1,0,1,1,0,0,1,0,5,5,70,0,1,0,1,0,0,17,0,1,0,0,0,0,0,0,0,2,135,0,9,0,1
120,795,1,0,0,5,1,0,0,1,0,91,3,0,0,0,1,0,3,0,33,2,0,0,0,0,0,1,0,2,0,0,0,0,0,8,3,58,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,1,108,0,7,0,0
140,949,1,0,0,10,6,0,1,1,0,73,1,0,0,1,3,0,2,0,27,3,2,0,0,0,0,0,0,1,0,0,0,1,0,7,2,74,0,2,0,6,0,0,14,0,0,0,0,0,0,0,1,0,2,128,0,8,0,0
160,1103,0,0,0,13,3,1,0,0,1,51,3,0,0,0,1,0,1,0,18,2,2,0,0,0,0,0,1,3,0,0,0,0,0,5,1,84,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,1,4,88,0,11,0,0
180,1258,1,0,0,13,15,0,0,1,0,73,3,0,0,1,1,0,0,0,19,2,6,0,0,0,0,0,1,1,0,1,0,1,0,13,2,65,0,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,1,87,0,12,0,0
200,1412,0,0,0,10,9,0,2,1,0,59,0,0,0,0,4,0,1,0,32,5,1,0,0,0,0,0,1,1,0,0,0,0,0,7,0,63,0,0,1,1,0,0,34,0,0,0,0,0,0,0,0,0,2,68,0,10,2,0
220,1566,0,0,0,11,7,0,1,0,0,57,0,0,0,1,0,1,0,0,21,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,79,0,11,0,0,0,0,27,0,0,0,1,0,0,0,0,0,5,91,0,12,0,0
240,1721,0,0,0,16,0,0,0,1,0,57,2,0,0,0,2,0,1,0,39,1,3,0,0,0,0,0,0,2,0,1,0,0,0,10,1,62,0,1,1,0,0,0,14,0,0,0,0,0,0,0,2,0,3,82,0,12,0,0
260,1875,1,0,0,9,10,0,0,0,1,52,1,0,0,0,1,0,0,0,26,2,3,0,0,0,0,0,1,0,0,0,0,0,0,7,2,105,0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,2,102,0,13,0,0
280,2029,3,0,0,18,5,0,0,0,0,53,1,0,0,1,5,1,0,0,19,3,4,0,0,0,0,0,0,4,0,0,0,0,0,10,1,74,0,0,1,2,0,0,9,0,0,0,2,0,0,0,0,0,0,94,0,13,0,0
300,2184,0,0,0,11,0,0,0,0,0,47,0,0,0,0,0,0,2,0,25,2,2,0,0,0,0,0,0,3,1,0,0,0,0,6,0,121,0,0,0,1,0,0,16,0,1,0,0,0,0,0,0,0,6,87,0,9,0,0
320,2338,0,0,0,12,0,0,0,2,1,51,4,0,0,0,2,0,1,0,33,3,1,0,0,0,0,0,1,1,0,0,0,0,0,9,2,73,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,99,1,6,0,0
340,2492,1,0,1,9,6,0,0,2,0,45,1,0,0,0,8,0,3,0,20,4,3,5,0,0,0,0,0,0,0,0,0,0,0,9,1,64,0,1,0,0,0,0,23,0,0,0,1,0,0,0,0,0,2,110,0,9,0,0
360,2647,0,0,0,7,0,0,0,1,0,41,1,0,0,1,5,0,1,0,18,2,1,1,0,0,0,0,0,0,0,0,0,0,0,10,3,77,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,1,139,0,7,0,0
380,2801,2,0,0,15,2,1,0,0,0,60,2,0,0,0,6,2,2,0,39,2,3,0,0,0,0,0,0,0,0,0,0,0,0,13,1,74,0,1,1,0,0,0,19,0,0,0,0,0,0,0,1,0,1,80,0,13,0,0
400,2955,0,0,0,7,0,0,0,0,0,53,2,0,0,2,8,0,2,0,19,2,4,0,0,0,0,0,1,1,0,0,0,0,0,11,3,95,0,0,2,5,0,0,19,0,0,0,0,0,0,0,2,0,2,82,0,10,0,0
420,3109,1,0,0,10,4,0,1,0,0,54,1,0,0,0,10,0,0,0,28,5,1,0,0,0,0,0,0,1,0,0,0,0,0,5,2,99,0,1,0,2,0,0,18,0,0,0,0,0,0,0,0,1,2,53,1,5,0,0
440,3264,1,0,0,19,2,0,1,0,0,48,0,0,0,1,3,0,4,0,23,2,5,0,0,0,0,1,0,2,0,0,0,0,0,9,2,128,0,2,1,1,0,0,24,0,0,0,0,0,0,0,1,0,3,69,0,10,0,0
460,3418,0,0,0,10,9,0,1,0,0,39,0,0,0,1,4,0,0,0,20,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,6,133,0,0,1,2,0,0,12,0,0,0,0,0,0,0,0,0,1,51,0,5,1,0
480,3572,0,0,0,10,5,0,0,0,1,43,2,0,0,1,8,0,0,0,19,3,2,0,0,0,0,0,0,1,0,0,0,0,1,7,7,168,0,1,1,0,0,0,23,0,0,0,0,0,0,0,0,1,2,48,0,10,0,0
500,3727,0,0,0,11,3,0,0,2,0,38,1,0,0,0,4,0,2,0,13,4,6,1,0,0,0,0,0,1,0,0,0,0,0,8,2,176,0,3,2,0,0,0,23,0,0,0,0,0,0,0,0,0,1,20,0,14,1,0
520,3881,1,0,0,7,6,0,1,1,0,34,8,0,0,0,6,1,0,0,19,1,7,4,0,0,0,1,0,1,1,0,0,0,0,5,1,146,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,16,0,7,1,0
540,4035,1,0,0,11,10,0,0,1,0,47,0,0,0,0,11,1,2,0,10,2,4,2,0,0,0,1,0,2,0,0,0,0,0,12,0,167,0,1,1,0,0,2,30,0,0,0,0,0,0,0,0,0,1,6,0,10,0,0
560,4190,2,0,0,13,1,0,0,0,0,42,3,0,0,2,8,1,2,0,16,6,2,4,0,0,0,0,0,0,0,0,0,0,0,4,1,168,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,15,0,8,1,0
580,4344,0,0,0,10,13,0,0,0,0,25,0,0,0,1,15,1,1,0,7,6,5,5,0,0,0,0,0,0,0,0,0,0,0,11,1,162,0,0,1,0,1,4,41,0,0,0,1,0,0,0,0,1,0,5,0,7,1,0
600,4498,3,0,0,9,8,0,1,3,0,40,0,0,0,0,9,0,1,0,16,0,6,0,0,0,0,0,0,1,0,0,0,0,0,8,1,146,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,8,13,0,6,1,0
620,4653,0,0,0,16,12,0,0,0,0,46,1,0,1,1,8,1,2,0,13,2,4,0,0,0,0,0,0,0,2,0,0,0,0,7,1,157,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,1,18,1,8,1,0
640,4807,0,0,0,8,0,0,0,0,0,69,0,0,0,0,12,0,0,0,19,5,2,0,0,0,0,0,1,1,0,0,1,0,0,4,2,121,0,1,1,0,0,0,22,0,0,0,0,0,0,0,1,0,3,16,0,9,0,0
660,4961,0,0,0,12,7,0,1,0,0,67,2,0,0,1,11,0,2,0,29,2,7,0,0,0,0,0,1,2,0,0,0,0,0,6,0,81,0,0,1,0,0,1,20,0,0,0,2,0,0,0,1,0,3,32,0,15,0,0
680,5394,0,0,0,10,0,0,0,0,1,40,1,0,0,0,4,0,0,0,12,1,2,0,0,0,0,0,1,0,0,1,0,0,0,4,0,103,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,2,88,0,10,0,0
700,5827,1,0,0,9,5,1,0,0,0,27,0,0,0,0,1,0,0,1,28,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,146,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,1,2,83,0,10,0,0
720,6261,0,0,0,8,4,0,0,0,1,20,1,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,123,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,67,1,13,0,0
740,6694,0,0,0,8,4,0,1,0,0,4,1,0,0,0,4,1,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,150,0,0,0,0,0,0,55,0,0,0,2,0,0,0,0,0,2,38,0,7,0,0
