"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum.type","Alnus","Betula","Carya","Castanea","Celtis","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Juglans.nigra","Larix","Morus","Ostrya.Carpinus","Picea","Pinus","Platanus","Populus","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiineae.undiff.","Cyperaceae","Humulus","Iva.annua.type","Iva.xanthifolia","Plantago","Poaceae.undiff.","Ranunculus.subg..Batrachium","Rosaceae.undiff.","Rumex","Sanguisorba","Thalictrum","Urtica","Xanthium","Zea.mays"
0,-21,0.00107874865156419,0,0,0.0129449838187702,0.00215749730312837,0.0431499460625674,0.0215749730312837,0,0,0,0.00647249190938511,0,0.00647249190938511,0.00862998921251348,0.00323624595469256,0,0.0075512405609493,0,0.0151024811218986,0.00215749730312837,0.0517799352750809,0.00107874865156419,0.00107874865156419,0.04638619201726,0.503775620280475,0,0,0,0,0.0075512405609493,0.0237324703344121,0.0075512405609493,0.120819848975189,0,0.00323624595469256,0.011866235167206,0.00107874865156419,0,0.00647249190938511,0.0377562028047465,0,0,0,0.00323624595469256,0.0355987055016181,0.00107874865156419,0.00323624595469256,0.00107874865156419,0,0,0,0,0.00107874865156419
25,66,0.00158982511923688,0,0.00158982511923688,0.027027027027027,0.00317965023847377,0.041335453100159,0.00794912559618442,0,0,0.00158982511923688,0.014308426073132,0,0.0095389507154213,0.00317965023847377,0.00158982511923688,0,0.0174880763116057,0,0.0127186009538951,0.00476947535771065,0.0937996820349762,0,0.00317965023847377,0.0524642289348172,0.0190779014308426,0.00158982511923688,0,0,0.00794912559618442,0.0127186009538951,0.0524642289348172,0,0.340222575516693,0,0.00476947535771065,0.00476947535771065,0,0.00158982511923688,0.0158982511923688,0.149443561208267,0,0,0,0.00158982511923688,0.0858505564387917,0,0,0.00317965023847377,0,0,0.00158982511923688,0,0
45,135,0.00258397932816537,0,0,0.0335917312661499,0.00516795865633075,0.0232558139534884,0.00258397932816537,0,0,0,0.0516795865633075,0,0.0103359173126615,0.00258397932816537,0.00258397932816537,0,0.0645994832041344,0,0.00516795865633075,0.0129198966408269,0.266149870801034,0,0,0.062015503875969,0.0129198966408269,0,0,0,0.0258397932816537,0.0180878552971576,0.0232558139534884,0,0.0723514211886305,0,0,0.00516795865633075,0.00516795865633075,0,0.00258397932816537,0.255813953488372,0,0,0,0,0.0310077519379845,0,0,0.00258397932816537,0,0,0,0,0
65,205,0,0,0,0.0258732212160414,0.00129366106080207,0.0491591203104787,0.00646830530401035,0,0,0,0.0297542043984476,0,0.018111254851229,0.00388098318240621,0.00129366106080207,0,0.0129366106080207,0,0.0206985769728331,0,0.148771021992238,0.00129366106080207,0,0.0426908150064683,0,0,0,0,0.00517464424320828,0.0297542043984476,0.0206985769728331,0,0.00388098318240621,0,0.00129366106080207,0.00129366106080207,0,0,0,0.575679172056921,0,0,0,0,0,0,0,0,0,0,0,0,0
85,274,0,0,0,0.00914634146341463,0.00304878048780488,0.0442073170731707,0.00457317073170732,0,0,0,0.00914634146341463,0,0.0152439024390244,0.00457317073170732,0.0076219512195122,0,0.00609756097560976,0,0.0076219512195122,0,0.251524390243902,0,0,0.076219512195122,0.00152439024390244,0,0,0,0.0121951219512195,0.0228658536585366,0.0152439024390244,0,0.0121951219512195,0,0,0.00152439024390244,0,0,0.00304878048780488,0.489329268292683,0,0,0,0.00152439024390244,0.00152439024390244,0,0,0,0,0,0,0,0
105,343,0.00374531835205993,0,0.00187265917602996,0.0355805243445693,0.00374531835205993,0.0861423220973783,0.00374531835205993,0,0,0,0.0131086142322097,0,0.0187265917602996,0.0112359550561798,0.00187265917602996,0,0.0149812734082397,0,0.048689138576779,0.00187265917602996,0.202247191011236,0,0,0.116104868913858,0,0,0,0,0.00561797752808989,0.0205992509363296,0.0280898876404494,0,0.00187265917602996,0,0.00187265917602996,0.00561797752808989,0,0,0,0.368913857677903,0,0,0,0,0.00374531835205993,0,0,0,0,0,0,0,0
120,395,0,0,0.00204918032786885,0.0348360655737705,0.00204918032786885,0.0758196721311475,0.014344262295082,0,0.00204918032786885,0,0.040983606557377,0,0.0163934426229508,0.00819672131147541,0.00614754098360656,0,0.0122950819672131,0,0.0266393442622951,0,0.229508196721311,0.00819672131147541,0,0.131147540983607,0,0,0,0,0.00409836065573771,0.0184426229508197,0.0225409836065574,0,0.00819672131147541,0,0,0,0,0,0,0.334016393442623,0,0,0,0,0,0.00204918032786885,0,0,0,0,0,0,0
125,413,0,0,0,0.0397727272727273,0.00568181818181818,0.090909090909091,0.00946969696969697,0.00189393939393939,0,0,0.162878787878788,0,0.0549242424242424,0,0.00568181818181818,0.00189393939393939,0.00378787878787879,0,0.0321969696969697,0.00378787878787879,0.293560606060606,0.00946969696969697,0.00946969696969697,0.100378787878788,0,0,0,0,0.00946969696969697,0.0606060606060606,0.0643939393939394,0,0.0113636363636364,0,0.00189393939393939,0,0,0,0.00189393939393939,0,0.00189393939393939,0,0,0,0.0189393939393939,0,0,0.00378787878787879,0,0,0,0,0
145,482,0.00213219616204691,0,0,0.0319829424307036,0.00213219616204691,0.127931769722815,0.0106609808102345,0,0,0,0.0426439232409382,0,0.0127931769722814,0.023454157782516,0.00639658848614072,0,0.00852878464818763,0,0.0383795309168444,0.00426439232409382,0.164179104477612,0.00426439232409382,0.00213219616204691,0.130063965884861,0,0,0,0,0.00426439232409382,0.0341151385927505,0.0383795309168444,0,0.00426439232409382,0,0.00213219616204691,0.00426439232409382,0,0,0,0.292110874200426,0,0,0,0,0.00852878464818763,0,0,0,0,0,0,0,0
165,552,0.00209205020920502,0,0,0.0271966527196653,0.00209205020920502,0.0669456066945607,0.00418410041841004,0,0,0.00209205020920502,0.0460251046025105,0,0.0271966527196653,0.0209205020920502,0.00836820083682008,0,0.0209205020920502,0,0.0271966527196653,0.00209205020920502,0.150627615062762,0.00209205020920502,0,0.152719665271967,0.00418410041841004,0,0,0,0.0104602510460251,0.0292887029288703,0.0439330543933054,0,0.0188284518828452,0,0.00418410041841004,0.0104602510460251,0,0,0,0.305439330543933,0,0,0,0,0.00418410041841004,0,0.00209205020920502,0,0,0.00418410041841004,0,0,0
