"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Artemisia","Betula","Carya","Asteraceae.undiff.","Corylus","Cyperaceae","Larix","Ostrya.Carpinus","Quercus","Salix","Tilia","Ulmus","Alnus","Acer","Fraxinus","Juglans","Pinus","Amaranthaceae","Poaceae","Picea","Cupressaceae"
1,11,606,3,110,1,33,13,20,3,97,27,6,161,5,1,11,13,6,3,7,47,22,17,0,0
7,77,278,1,75,1,5,3,6,1,25,77,1,33,0,1,2,4,1,2,1,16,14,8,1,0
13,153,319,1,5,1,1,2,3,1,89,85,0,26,1,0,1,2,1,0,1,90,0,8,1,0
19,239,317,0,3,0,8,3,3,3,101,43,0,40,1,0,2,2,1,1,1,95,1,8,1,0
25,326,287,2,3,0,13,1,3,1,94,61,1,20,0,0,1,3,0,1,0,67,0,9,7,0
31,412,221,0,4,0,13,1,4,2,34,51,0,19,1,0,0,4,1,0,1,73,1,8,4,0
37,499,250,0,3,1,6,0,2,0,54,56,0,18,1,0,0,3,0,0,0,94,2,6,4,0
43,585,250,0,4,0,6,3,2,0,56,60,1,14,0,1,1,2,1,0,0,86,2,7,4,0
49,671,321,1,4,2,4,1,1,1,91,33,0,31,3,0,0,2,4,2,0,121,3,11,6,0
62,859,184,0,5,0,1,1,2,0,47,9,0,22,1,0,1,0,1,1,0,82,2,6,3,0
72,1003,253,1,3,0,1,2,2,0,50,33,0,25,0,0,1,0,1,0,1,118,2,8,5,0
79,1103,394,1,9,2,5,1,3,0,160,4,1,48,1,2,1,3,2,0,1,137,2,9,2,0
88,1289,317,1,4,1,5,1,4,0,115,1,0,45,1,1,1,5,6,0,1,114,1,7,3,0
98,1502,505,1,5,1,3,2,0,1,230,3,0,48,2,0,0,0,1,1,0,186,5,13,3,0
105,1652,446,0,2,1,4,1,2,0,202,0,1,38,3,1,0,1,2,0,2,167,2,10,7,0
111,1780,244,1,5,2,2,2,4,0,120,0,0,22,0,0,1,1,1,0,0,70,3,9,1,0
116,1887,552,0,4,3,2,0,1,0,316,1,0,52,3,0,5,0,3,0,1,145,1,9,6,0
121,1994,375,1,3,1,2,0,2,0,180,2,0,43,0,1,1,1,3,0,1,119,3,7,5,0
126,2101,470,0,7,1,1,0,1,1,250,3,0,62,4,2,1,1,2,0,1,118,2,8,5,0
131,2207,301,0,5,1,3,1,1,0,160,3,1,38,0,0,2,1,1,0,0,73,1,8,2,0
136,2314,337,1,5,0,2,0,1,1,150,2,1,55,1,1,1,2,2,2,1,89,4,13,2,1
144,2485,570,0,8,2,1,0,5,0,310,3,1,61,1,0,1,1,0,1,1,143,7,22,2,0
154,2699,338,0,2,0,6,1,3,0,151,0,1,59,2,0,3,1,2,0,1,91,3,9,3,0
161,2851,470,4,4,0,0,2,3,1,253,2,0,54,2,0,1,2,1,2,1,120,6,8,4,0
171,3091,390,0,4,0,1,1,2,0,194,0,0,51,2,0,3,0,1,0,1,113,4,11,2,0
181,3330,740,4,6,3,5,4,8,1,390,1,6,104,2,1,7,3,2,3,3,164,3,15,5,0
191,3570,676,2,2,0,7,2,0,0,393,1,2,147,1,0,11,2,4,1,2,83,6,10,0,0
197,3673,370,2,3,2,3,2,1,1,191,3,1,90,2,0,6,2,3,1,0,43,1,10,3,0
202,3751,419,2,3,3,3,3,5,1,217,2,1,68,3,1,5,1,2,1,0,77,2,15,4,0
230,4192,414,2,5,0,3,5,11,0,219,4,0,43,2,0,2,3,3,3,1,75,9,19,5,0
246,4444,541,3,15,0,3,0,15,1,317,3,0,37,2,0,0,3,2,4,3,108,6,16,3,0
260,4665,496,4,16,3,2,4,11,1,274,4,1,50,4,1,2,4,3,1,3,76,11,17,4,0
268,4791,449,4,13,2,2,3,4,0,241,2,0,22,3,1,2,1,1,0,0,114,8,21,5,0
276,4917,481,2,14,4,3,3,21,1,251,0,0,49,6,0,2,2,0,5,2,78,7,28,3,0
286,NA,483,3,21,7,3,1,17,2,209,0,0,40,6,0,4,5,1,2,1,123,9,27,2,0
