"sample.depths","sample.ages","Acer.negundo","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.spicatum","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Bidens.type","Brasenia.schreberi","Brassicaceae","Cannabaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae.undiff.","Cyperaceae","Dryopteris.type","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Herbs.undiff.","Ilex","Indeterminable","Isoëtes","Iva.annua.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Lamiaceae","Liquidambar","Liriodendron","Lonicera","Lycopodium.clavatum","Magnolia","Morus","Nuphar","Nymphaea","Nymphaeaceae.undiff.","Nyssa","Onagraceae","Osmunda","Ostrya.Carpinus","Parthenocissus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum","Populus","Potamogeton","Potamogetonaceae.undiff.","Prunus.Sorbus","Pteridium.type","Quercus","Rhamnaceae","Rhus","Rubus","Sagittaria","Salix","Sambucus","Sarcobatus.vermiculatus","Saxifragaceae","Shrubs.undiff.","Sparganium.type","Sphagnum","Taxodium","Thalictrum","Tilia","Trees.undiff.","Tsuga","Ulmus","Unknown","Unknown..trilete.","Urtica.type","Utricularia","Viburnum","Vitis"
260,9892,0,0,2,0,1,0,0,0,1,0,5,0,6,0,0,0,20,0,1,0,9,0,0,0,2,0,0,0,1,0,9,2,0,25,0,0,0,0,2,1,2,0,0,0,0,0,2,0,0,2,0,10,0,0,0,5,0,24,1,0,13,2,0,0,0,0,1,222,0,1,101,0,2,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,2
270,10019,0,0,2,0,0,0,0,0,2,0,2,0,3,0,0,0,20,0,2,2,17,0,0,0,13,2,0,3,1,2,5,9,0,12,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,4,0,103,3,0,0,3,0,14,0,0,8,0,1,1,0,0,1,234,3,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,3
280,10145,0,0,2,2,1,0,0,0,2,0,1,1,0,0,0,0,12,0,6,1,11,1,0,0,1,0,0,5,0,1,9,6,0,12,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,0,32,1,0,0,1,0,11,0,0,7,0,0,0,0,19,3,203,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
290,10272,1,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,32,0,0,0,28,5,0,2,9,0,0,11,5,3,6,5,0,17,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,11,0,47,3,0,0,5,0,13,0,0,4,0,1,0,0,0,0,184,0,0,28,0,0,0,0,0,0,0,1,0,0,0,0,1,7,1,0,0,0,0,0
300,10399,0,4,6,0,0,2,3,0,1,0,0,0,0,0,0,0,16,0,1,2,23,0,5,0,1,0,0,8,5,4,21,0,0,4,0,0,0,0,0,0,6,1,0,0,0,3,3,0,0,3,0,11,3,0,0,6,0,8,0,0,9,0,0,0,0,0,0,196,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0
320,10652,0,0,3,1,3,0,1,0,2,0,5,3,0,1,0,0,19,0,3,1,24,0,0,2,4,0,0,8,0,2,8,5,0,16,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,22,0,3,3,0,0,5,0,16,0,2,6,0,0,1,0,1,0,174,5,0,19,0,2,0,0,0,0,0,0,0,0,0,0,2,6,0,1,0,0,0,0
330,10778,1,0,2,0,1,0,1,0,0,0,2,0,2,0,0,0,14,0,3,1,55,0,0,2,19,0,0,4,19,1,16,0,0,12,0,0,1,0,0,0,2,0,0,0,0,0,6,0,0,0,0,12,3,0,0,2,0,10,0,0,3,0,0,0,0,0,0,230,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
340,10905,11,0,12,0,0,0,1,0,2,0,2,2,1,0,0,0,24,0,0,0,25,0,1,3,1,1,0,3,5,1,11,0,0,4,0,1,0,0,0,0,2,0,0,0,0,0,13,0,0,2,0,6,4,0,0,3,0,9,0,0,2,0,0,0,0,0,0,218,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1
350,11015,0,0,9,0,0,0,2,0,2,0,0,1,0,0,0,0,30,0,10,0,1,1,0,1,1,1,0,1,5,1,8,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,1,0,5,2,0,1,0,0,9,0,1,8,0,0,0,0,0,0,220,0,0,0,10,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
360,11061,1,0,2,1,0,0,0,0,1,0,2,1,0,0,0,0,35,0,1,0,7,0,0,0,8,0,0,1,1,1,8,0,0,16,0,0,1,0,0,0,1,0,0,1,0,0,3,1,0,0,0,3,4,0,0,5,1,16,0,0,8,0,0,2,0,0,1,215,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
370,11106,0,0,18,2,0,0,2,0,4,0,2,7,0,0,0,0,23,0,16,0,4,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,2,0,1,0,1,0,0,0,0,0,10,0,0,1,0,7,2,0,0,3,1,14,0,0,7,0,0,0,0,0,0,210,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
380,11152,1,0,15,0,1,0,6,0,0,0,1,1,0,0,0,0,20,0,14,2,3,0,1,0,6,0,0,2,3,0,8,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,14,2,0,0,0,6,1,0,3,1,0,8,2,0,6,0,0,0,0,0,0,213,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0
390,11197,3,0,14,0,2,0,2,0,2,1,1,2,1,0,0,0,24,0,17,0,15,0,0,4,4,0,0,2,6,3,7,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,10,1,0,0,0,3,2,0,0,10,0,12,1,0,3,0,0,1,1,0,0,185,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0
400,11243,1,0,7,3,1,0,0,0,3,0,1,1,0,0,0,0,19,0,9,2,1,0,0,1,3,0,0,4,0,1,4,0,0,6,0,0,1,0,0,0,2,0,0,0,0,0,13,0,0,4,0,4,4,0,0,0,0,18,0,3,6,0,0,0,0,0,1,212,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1
410,11289,3,0,12,0,0,0,2,0,1,1,3,2,2,0,0,0,24,0,3,0,4,0,1,1,4,1,0,1,6,0,2,0,1,11,0,0,2,0,0,0,1,0,0,0,2,0,5,0,0,2,2,6,6,0,1,5,0,13,0,1,6,0,0,1,0,0,0,211,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0
420,11334,1,0,25,2,0,0,4,0,7,0,2,6,0,0,0,0,30,0,24,0,5,0,0,0,2,0,0,2,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,1,0,2,5,0,0,7,0,10,0,0,4,0,0,0,1,0,0,198,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0
430,11380,2,0,21,0,1,0,3,0,3,1,1,4,3,0,0,0,10,0,17,0,3,0,0,1,4,2,0,4,6,3,7,0,1,5,0,0,0,0,1,0,0,0,0,0,2,0,15,1,0,1,5,10,2,0,0,2,0,13,0,0,8,0,0,2,0,0,0,201,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1
440,11425,6,0,19,0,1,0,2,0,4,0,3,9,0,0,0,0,11,0,16,1,0,0,1,2,4,0,0,3,6,2,13,0,0,6,0,0,1,0,1,0,0,0,0,0,2,0,5,4,0,0,0,4,4,0,0,8,1,19,0,0,6,0,0,0,0,0,0,166,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,4
450,11470,0,0,23,1,2,0,4,0,4,0,1,4,0,0,0,0,21,0,22,0,5,0,0,3,8,1,0,1,2,3,6,0,0,5,0,0,1,0,0,0,0,0,0,0,4,0,13,4,0,0,0,4,4,0,0,3,0,24,0,1,11,0,1,0,0,0,0,175,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
460,11514,1,0,3,0,1,0,5,0,7,0,0,8,0,0,0,0,14,0,15,1,7,0,2,1,1,0,0,1,1,5,6,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,7,5,0,0,3,9,3,0,0,10,1,29,0,0,6,0,0,0,0,0,0,197,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
470,11558,1,0,6,0,2,0,5,0,6,0,1,6,0,0,0,0,17,0,26,0,2,0,0,1,3,0,0,4,3,4,9,0,0,4,0,0,0,1,0,0,0,0,0,0,12,0,11,11,0,0,0,2,5,0,0,19,5,44,0,1,15,0,1,2,0,0,0,120,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,5,7,0,0,0,0,1,0
480,11602,0,0,3,1,0,0,5,1,4,0,4,12,0,0,0,0,30,0,21,1,3,0,1,3,18,0,0,3,1,1,4,0,0,3,0,0,0,1,1,0,0,0,0,0,5,0,3,0,0,0,0,0,4,0,0,15,4,54,0,0,9,0,0,1,1,0,0,129,1,0,0,2,3,0,0,0,0,0,0,4,0,0,0,2,6,1,0,0,1,0,2
520,11777,0,0,1,4,2,0,9,0,7,0,3,9,0,2,0,0,18,1,8,0,6,0,0,2,13,0,0,4,6,1,10,0,0,6,0,0,0,1,1,0,0,0,0,0,11,0,9,15,1,19,0,1,4,0,0,15,6,57,0,0,10,0,0,4,0,0,0,134,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1
