"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Acer.undiff.","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Ephedra","Equisetum","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Herbs.undiff.","Indeterminable","Iva.annua.type","Iva.undiff.","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Liquidambar","Lycopodium.type","Myrica","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonaceae.undiff.","Populus","Pteridium.type","Quercus","Rhamnaceae.Vitaceae","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shrubs.undiff.","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Xanthium"
45.5,72,0,0,0,0,2,0,4,42,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,11,0,2,0,22,0,0,0,1,0,0,1,0,0,0,3,2,0,2,0,0
55.5,88,0,0,1,0,3,0,2,24,1,2,3,0,9,8,0,0,0,0,2,0,0,2,4,1,0,0,6,1,0,2,1,0,0,0,1,1,0,0,0,0,0,7,1,7,3,16,0,4,16,0,0,3,187,1,0,0,2,0,0,0,0,1,2,0,13,0,4,3,1
65.5,200,0,0,2,0,5,0,5,6,0,2,2,0,10,5,0,0,2,0,2,0,0,8,0,5,0,0,2,1,0,2,0,0,0,0,0,1,1,0,0,0,0,5,2,6,3,22,0,1,13,0,3,1,215,0,2,0,0,0,0,0,1,0,3,0,15,0,1,2,0
85.5,500,0,0,0,0,5,0,3,19,2,3,6,0,11,8,0,0,4,2,1,0,0,1,1,2,0,1,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,1,8,4,21,0,4,13,0,0,1,177,0,0,0,0,0,0,0,0,1,4,2,6,1,1,0,1
105.5,800,0,0,8,0,2,0,3,8,0,3,5,0,11,9,0,0,0,1,13,0,0,5,3,0,0,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,11,3,20,0,0,12,2,0,0,159,0,0,2,0,0,0,0,0,4,3,0,9,0,0,0,1
125.5,1100,0,1,1,0,3,0,2,9,0,5,4,0,12,5,0,0,1,3,6,0,0,5,1,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,1,3,0,7,4,21,0,3,15,0,0,0,138,0,0,0,1,0,0,0,0,0,1,1,6,0,2,1,2
185.5,1999,2,0,1,0,5,1,3,3,0,5,0,1,11,1,0,0,0,0,4,0,0,2,1,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,11,0,2,11,0,0,0,122,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,2
205.5,2238,0,0,3,0,3,0,11,5,0,7,2,0,12,5,0,0,0,1,5,0,0,2,2,2,0,0,1,1,0,3,0,1,0,0,0,0,0,0,1,0,0,2,1,5,5,17,0,6,22,0,0,0,158,1,0,0,3,0,0,1,0,0,0,0,8,0,1,0,0
215.5,2349,0,0,2,0,4,0,3,5,0,4,5,0,15,5,0,0,1,1,3,0,0,0,5,1,0,0,1,2,0,7,3,0,0,1,0,0,0,0,0,0,1,5,0,5,7,22,1,4,39,0,0,2,239,1,0,0,2,0,0,0,0,1,2,1,11,0,1,3,1
225.5,2460,1,0,3,0,2,0,16,14,0,8,8,0,14,5,0,0,0,1,3,0,0,1,5,3,2,0,5,0,0,18,1,0,0,0,0,0,0,0,0,0,0,3,2,3,4,21,0,7,46,0,1,5,159,0,0,0,1,0,0,3,1,2,0,0,8,1,2,5,0
245.5,2682,0,1,1,2,6,1,10,12,0,4,8,0,14,7,0,1,3,1,3,0,0,2,1,1,0,1,2,2,0,4,2,0,0,0,1,1,0,1,0,0,1,3,1,6,6,22,0,4,51,0,2,1,159,0,0,0,1,0,1,0,0,1,1,0,14,0,2,2,1
285.5,3125,1,0,3,0,6,0,6,5,0,4,10,0,7,11,0,0,1,2,4,1,0,1,4,1,0,0,2,0,0,2,6,3,0,0,1,0,0,0,0,0,0,6,0,0,0,19,0,7,31,0,0,2,155,0,0,0,1,0,0,0,0,2,0,0,8,0,0,0,0
325.5,3569,0,0,5,0,5,0,5,2,0,0,2,0,2,12,0,0,1,0,1,0,0,3,2,2,0,0,1,0,0,14,0,1,0,0,0,0,1,0,0,0,0,15,1,2,4,20,0,0,35,0,0,2,150,0,0,0,3,0,0,0,1,0,0,2,8,0,1,0,0
