"sample.depths","sample.ages","upland.sum","Ambrosia.type","Betula","Carya","Pinaceae.undiff.","Cyperaceae","Fagus","Poaceae.undiff.","Liquidambar","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Quercus","Combretaceae.Melastomataceae","Rhus","Rumex","Salix","Taxodium","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Fraxinus","Myrica","Populus","Amaranthaceae","Iva.frutescens.type","Secale.type","Cupressaceae.undiff.","Polygonella.polygama.type","Polygonum.amphibium.type","Acer.saccharum.type","Ceanothus","Celtis","Cephalanthus","Platanus","Symplocos","Vitis","Alnus","cf..Menyanthes.trifoliata","Apiaceae.undiff.","Ilex","Magnolia","Moraceae","Sambucus","Thalictrum","Iva.xanthifolia","Castanea","Cyrilla.racemiflora","Tilia","Rosaceae","Pinus.undiff.","Onagraceae","Juglans.nigra","Serenoa","Clethra","Ranunculus","Chamaecrista","Planera.aquatica","Acer.negundo","Artemisia","Pinus.subg..Strobus","Rhamnaceae.undiff.","Caryophyllaceae","Liliaceae","Fabaceae","Lechea","Rutaceae","Geranium"
480,2,770,11,2,7,1,15,1,17,13,8,4,446,169,2,1,2,1,6,30,2,1,21,2,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,43,892,8,2,11,0,14,3,18,0,2,0,630,142,2,0,2,0,10,17,0,1,10,0,2,0,0,5,0,0,1,1,3,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,84,760,11,1,3,0,12,1,25,6,3,3,507,85,1,3,1,3,22,25,2,2,3,1,5,1,1,10,3,0,0,1,1,1,0,0,3,4,1,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,389,456,0,1,7,0,5,0,9,5,2,4,321,65,1,1,0,1,11,7,2,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,1454,318,0,1,4,0,6,1,8,3,0,2,219,54,0,1,0,2,4,7,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,2022,512,0,0,12,0,6,2,14,6,4,7,335,77,0,0,0,0,29,9,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,2590,589,0,0,6,0,18,0,59,5,4,3,372,84,0,0,0,0,3,18,2,0,5,0,1,1,0,2,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,3158,758,10,1,14,0,21,0,82,5,0,2,435,136,0,0,0,0,2,37,2,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,3726,532,0,2,5,0,25,0,64,4,3,2,152,96,0,2,0,0,3,21,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,136,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
650,4720,326,1,1,3,0,6,0,30,1,2,2,193,54,1,0,0,1,3,12,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
