"sample.depths","sample.ages","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cyperaceae","Fagus","Larix","Ostrya.Carpinus","Picea","Quercus","Tsuga","Ulmus","Alnus","Acer","Pinus","Poaceae","Platanus","Salix","Tilia","Fraxinus","Populus","Polygonum","Asteraceae.undiff.","Juglans","Myrica","Abies","Ericaceae","Cornus","Rosaceae","Thalictrum","Lamiaceae","Cephalanthus","Rhamnaceae.Vitaceae","Sarcobatus.vermiculatus","Fabaceae","Saxifragaceae","Caryophyllaceae","Urtica.type","Galium"
1,23,0.039647577092511,0.00440528634361234,0.0176211453744493,0.00881057268722467,0.00440528634361234,0.00440528634361234,0.00440528634361234,0.0352422907488987,0.00440528634361234,0.00440528634361234,0.00440528634361234,0.110132158590308,0.0748898678414097,0.0220264317180617,0.00440528634361234,0.0220264317180617,0.629955947136564,0.00440528634361234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,71,0.0566502463054187,0.00738916256157635,0.0492610837438424,0.00492610837438424,0.00246305418719212,0.00492610837438424,0,0.0197044334975369,0.00246305418719212,0.00246305418719212,0,0.0714285714285714,0.0911330049261084,0.0147783251231527,0.0172413793103448,0.0689655172413793,0.551724137931034,0.00985221674876847,0.00246305418719212,0.00492610837438424,0.00985221674876847,0.00246305418719212,0.00246305418719212,0.00246305418719212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,95,0.038265306122449,0.00510204081632653,0.0739795918367347,0.00255102040816327,0.0076530612244898,0,0,0.0586734693877551,0.00510204081632653,0.00255102040816327,0,0.0637755102040816,0.0841836734693878,0.038265306122449,0.0127551020408163,0.0331632653061225,0.548469387755102,0.00510204081632653,0,0,0.00255102040816327,0.0153061224489796,0,0,0.00255102040816327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,103,0.0129310344827586,0.0129310344827586,0.0732758620689655,0.00431034482758621,0,0.00862068965517241,0.00431034482758621,0.0387931034482759,0,0.00431034482758621,0.00862068965517241,0.0775862068965517,0.0732758620689655,0,0.0258620689655172,0.0474137931034483,0.586206896551724,0.00431034482758621,0,0.00431034482758621,0,0.00431034482758621,0,0,0,0.00431034482758621,0.00431034482758621,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,220,0.00326797385620915,0.0065359477124183,0.042483660130719,0.0065359477124183,0.00326797385620915,0,0.00326797385620915,0.0915032679738562,0.00326797385620915,0.0130718954248366,0,0.0686274509803922,0.107843137254902,0.042483660130719,0.0359477124183007,0.0490196078431373,0.503267973856209,0.0065359477124183,0.0065359477124183,0,0.00326797385620915,0,0,0,0.00326797385620915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,448,0.0029673590504451,0.0207715133531157,0.0771513353115727,0.00890207715133531,0,0.00593471810089021,0,0.0652818991097923,0.00593471810089021,0.00890207715133531,0.00593471810089021,0.0623145400593472,0.160237388724036,0.0415430267062315,0.00890207715133531,0.0801186943620178,0.41839762611276,0.0029673590504451,0,0.0029673590504451,0.0029673590504451,0.0118694362017804,0.0029673590504451,0,0,0,0,0.0029673590504451,0,0,0,0,0,0,0,0,0,0,0,0,0
33,732,0.00754716981132075,0.00377358490566038,0.0679245283018868,0.0113207547169811,0,0.0150943396226415,0.00377358490566038,0.143396226415094,0,0.0113207547169811,0,0.0452830188679245,0.192452830188679,0.0264150943396226,0.0150943396226415,0.0943396226415094,0.343396226415094,0,0.00377358490566038,0,0.00377358490566038,0.00377358490566038,0,0,0.00377358490566038,0.00377358490566038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,740,0.00202429149797571,0.00607287449392713,0.107287449392713,0.00202429149797571,0,0.00809716599190283,0,0.115384615384615,0.00607287449392713,0.0161943319838057,0.00607287449392713,0.0445344129554656,0.263157894736842,0.0384615384615385,0.0202429149797571,0.062753036437247,0.285425101214575,0,0,0.00404858299595142,0,0.00607287449392713,0,0,0.00202429149797571,0.00202429149797571,0,0,0.00202429149797571,0,0,0,0,0,0,0,0,0,0,0,0
44,775,0.00305810397553517,0,0.0886850152905199,0.0091743119266055,0.00611620795107034,0.0091743119266055,0.00611620795107034,0.119266055045872,0.00611620795107034,0.0091743119266055,0.00305810397553517,0.0703363914373089,0.262996941896024,0.0275229357798165,0.0214067278287462,0.0703363914373089,0.2782874617737,0,0,0,0,0.00305810397553517,0,0,0.00305810397553517,0,0.00305810397553517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,807,0.00452488687782805,0.00452488687782805,0.0678733031674208,0,0.00226244343891403,0.00678733031674208,0,0.0995475113122172,0,0.0158371040723982,0,0.0384615384615385,0.235294117647059,0.0203619909502262,0.00678733031674208,0.0497737556561086,0.420814479638009,0,0,0.00226244343891403,0.00678733031674208,0.00904977375565611,0,0,0,0,0,0.00452488687782805,0,0.00226244343891403,0.00226244343891403,0,0,0,0,0,0,0,0,0,0
