"sample.depths","sample.ages","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Larix","Asteraceae.subf..Cichorioideae","Picea","Quercus","Ranunculaceae.undiff.","Salix","Sarcobatus.vermiculatus","Asteraceae.subf..Asteroideae.undiff.","Alnus","Ambrosia","Rosaceae.undiff.","Fraxinus","Myrica","Pinus","Populus","Amorpha","Poaceae","Saxifragaceae.undiff.","Abies","Corylus","Fabaceae.undiff.","Apiaceae","Sedum","Ulmus","Juglans","Thalictrum","Carpinus","Ericaceae","Epilobium","Acer","Rubiaceae","Carya","Brassicaceae","Elaeagnus","Shepherdia.canadensis","Urticaceae","Lamiaceae","Rumex","Campanulaceae","Caryophyllaceae","Parnassia","Shepherdia.argentea","Menispermum","Plantago","Solanaceae","Rubus","Caprifoliaceae"
0,-25,0.0180965147453083,0.200402144772118,0.0167560321715818,0.00134048257372654,0.014745308310992,0.00402144772117962,0.000670241286863271,0.149463806970509,0.000670241286863271,0.000670241286863271,0.0214477211796247,0.00134048257372654,0.00670241286863271,0.233243967828418,0.00134048257372654,0.00201072386058981,0.00134048257372654,0.000670241286863271,0.301608579088472,0.00737265415549598,0.000670241286863271,0.014745308310992,0.000670241286863271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,190,0.0268378063010502,0.21120186697783,0.0058343057176196,0.00116686114352392,0.0233372228704784,0.0105017502917153,0,0.203033838973162,0,0,0.0105017502917153,0.00233372228704784,0.00233372228704784,0.231038506417736,0.0058343057176196,0.0058343057176196,0,0.00233372228704784,0.227537922987165,0.00233372228704784,0,0.0221703617269545,0,0.00116686114352392,0.00116686114352392,0.00116686114352392,0.00233372228704784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,513,0.0135135135135135,0.196911196911197,0.00579150579150579,0.00193050193050193,0.027027027027027,0.0173745173745174,0,0.117760617760618,0,0.00193050193050193,0.028957528957529,0,0.00386100386100386,0.175675675675676,0,0.00193050193050193,0.00193050193050193,0,0.370656370656371,0.00386100386100386,0,0.0212355212355212,0,0.00193050193050193,0.00579150579150579,0,0,0.00193050193050193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,728,0.0230654761904762,0.228422619047619,0.00148809523809524,0.000744047619047619,0.0290178571428571,0.00520833333333333,0,0.139136904761905,0.00148809523809524,0,0.0238095238095238,0.00148809523809524,0.00744047619047619,0.21577380952381,0.00148809523809524,0.00446428571428571,0.000744047619047619,0.00148809523809524,0.258928571428571,0.0163690476190476,0,0.0297619047619048,0,0.00446428571428571,0.00148809523809524,0,0.000744047619047619,0,0.00223214285714286,0.000744047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,836,0.0139687756778965,0.176663927691044,0.00410846343467543,0,0.0435497124075596,0.00410846343467543,0,0.165981922760887,0.00328677074774034,0,0.0115036976170912,0,0.0057518488085456,0.14215283483977,0,0,0,0,0.406737880032868,0.00328677074774034,0,0.0123253903040263,0,0.00246507806080526,0.00328677074774034,0,0,0,0.000821692686935086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1052,0.01354096140826,0.153689911983751,0.004062288422478,0.006093432633717,0.030467163168585,0.010155721056195,0,0.152335815842925,0.000677048070413,0.001354096140826,0.02031144211239,0.000677048070413,0.002708192281652,0.245768449559919,0,0.001354096140826,0,0,0.316181448882871,0.011509817197021,0,0.021665538253216,0,0,0.002708192281652,0,0.002031144211239,0,0.001354096140826,0,0.000677048070413,0.000677048070413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1267,0.0235017626321974,0.157461809635723,0.00117508813160987,0.00117508813160987,0.0141010575793184,0.00470035252643948,0,0.173913043478261,0,0,0.0129259694477086,0.00235017626321974,0.00235017626321974,0.173913043478261,0.00587544065804935,0.00117508813160987,0,0,0.392479435957697,0.00470035252643948,0,0.0246768507638073,0,0,0.00117508813160987,0,0,0,0,0,0.00117508813160987,0,0.00117508813160987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1483,0.028,0.161,0.005,0,0.02,0,0,0.163,0,0.001,0.018,0.001,0.006,0.226,0.002,0.003,0,0,0.336,0.007,0,0.02,0.001,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1698,0.0188323917137476,0.101694915254237,0.00564971751412429,0,0.0376647834274953,0.00188323917137476,0,0.252354048964218,0.00188323917137476,0,0.00941619585687382,0,0.00376647834274953,0.165725047080979,0.00753295668549906,0.00188323917137476,0,0,0.367231638418079,0,0,0.0244821092278719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1914,0.0325301204819277,0.101204819277108,0.0072289156626506,0.00120481927710843,0.0265060240963855,0,0,0.191566265060241,0,0,0.0204819277108434,0,0.00120481927710843,0.185542168674699,0.00120481927710843,0,0,0,0.4,0.0036144578313253,0,0.0180722891566265,0,0,0.0072289156626506,0,0,0,0.00120481927710843,0,0,0,0,0.00120481927710843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
