"sample.depths","sample.ages","Acer.rubrum","Artemisia","Betula","Carya","Cephalanthus","Corylus","Cyperaceae","Fagus","Juglans.cinerea","Juglans.nigra","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.major","Plantago.lanceolata","Platanus","Quercus","Rumex","Salix","Thalictrum","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Ambrosia","Populus","Amaranthaceae","Poaceae","Rosaceae","Acer.saccharum","Fraxinus.nigra","Fraxinus.americana","Liquidambar","Picea","Plantago.undiff.","Tsuga","Apiaceae","Alnus","Fabaceae","Caryophyllaceae","Larix","Acer.saccharinum","Celtis","Galium","Sambucus","Humulus.Cannabis.sativa","Lamiaceae","Aquifoliaceae","Urtica","Acer.negundo","Abies","Asteraceae.subf..Cichorioideae"
10,NA,0.00231481481481481,0.00694444444444444,0.00694444444444444,0.0324074074074074,0.00231481481481481,0.00231481481481481,0.087962962962963,0.00925925925925926,0.00231481481481481,0.00462962962962963,0.00231481481481481,0.00694444444444444,0.00462962962962963,0.00694444444444444,0.0509259259259259,0.00925925925925926,0.0115740740740741,0.0115740740740741,0.493055555555556,0.00462962962962963,0.00231481481481481,0.00694444444444444,0.00694444444444444,0.00694444444444444,0.0162037037037037,0.12037037037037,0.00462962962962963,0.00694444444444444,0.0347222222222222,0.00462962962962963,0.0115740740740741,0.0138888888888889,0.00462962962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,NA,0,0.0037243947858473,0.0204841713221601,0.0186219739292365,0,0.00558659217877095,0.080074487895717,0.0260707635009311,0.00186219739292365,0.00186219739292365,0.0148975791433892,0.0130353817504655,0.00558659217877095,0,0.042830540037244,0,0,0.00558659217877095,0.608938547486033,0,0.0037243947858473,0.00186219739292365,0,0.00558659217877095,0.0260707635009311,0.0297951582867784,0.0074487895716946,0.00558659217877095,0.0242085661080074,0.00186219739292365,0,0.00186219739292365,0.0148975791433892,0.00558659217877095,0.00931098696461825,0.00558659217877095,0.00186219739292365,0.00186219739292365,0.0037243947858473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,NA,0,0.0111856823266219,0.0134228187919463,0.0357941834451902,0,0.00223713646532438,0.120805369127517,0.00671140939597315,0.00671140939597315,0.00223713646532438,0.00223713646532438,0.00671140939597315,0.00223713646532438,0,0.0738255033557047,0,0,0.00671140939597315,0.563758389261745,0.00894854586129754,0,0.00223713646532438,0,0.00447427293064877,0.0357941834451902,0.0335570469798658,0,0.00447427293064877,0.0268456375838926,0.00223713646532438,0.00671140939597315,0.00223713646532438,0.00447427293064877,0.00223713646532438,0.00223713646532438,0,0.00223713646532438,0,0.00447427293064877,0.00223713646532438,0,0,0,0,0,0,0,0,0,0,0,0,0
50,NA,0.00240384615384615,0.00240384615384615,0.00480769230769231,0.0264423076923077,0,0,0.0817307692307692,0.0168269230769231,0.00721153846153846,0.00480769230769231,0,0.00961538461538462,0.00961538461538462,0.00240384615384615,0.0673076923076923,0,0,0.00480769230769231,0.572115384615385,0.00240384615384615,0.00721153846153846,0.00240384615384615,0.00240384615384615,0.0120192307692308,0.0168269230769231,0.0120192307692308,0,0.00721153846153846,0.0625,0,0.0144230769230769,0.0168269230769231,0,0,0.00480769230769231,0,0.00480769230769231,0,0.0144230769230769,0,0.00240384615384615,0.00240384615384615,0.00240384615384615,0,0,0,0,0,0,0,0,0,0
60,NA,0,0.00700934579439252,0.014018691588785,0.044392523364486,0,0.00233644859813084,0.105140186915888,0.0303738317757009,0.00934579439252336,0.00700934579439252,0.00233644859813084,0.0186915887850467,0.0186915887850467,0.00233644859813084,0.0420560747663551,0,0,0.00233644859813084,0.523364485981308,0.014018691588785,0.014018691588785,0.00233644859813084,0,0.00467289719626168,0.0257009345794393,0.0257009345794393,0.00934579439252336,0.00233644859813084,0.0233644859813084,0.00233644859813084,0.00233644859813084,0.00700934579439252,0.0163551401869159,0.00233644859813084,0,0,0.00934579439252336,0,0,0,0,0.00233644859813084,0,0.00233644859813084,0.00233644859813084,0.00233644859813084,0,0,0,0,0,0,0
80,NA,0,0.00174520069808028,0.0104712041884817,0.0471204188481675,0,0.00349040139616056,0.0837696335078534,0.0157068062827225,0.012216404886562,0.00349040139616056,0.00698080279232112,0.012216404886562,0.00174520069808028,0,0.0418848167539267,0,0,0.0139616055846422,0.593368237347295,0.00349040139616056,0.00523560209424084,0,0.00174520069808028,0.0087260034904014,0.0523560209424084,0.012216404886562,0.012216404886562,0.00523560209424084,0.0157068062827225,0.00523560209424084,0.00523560209424084,0.0104712041884817,0.00174520069808028,0.00349040139616056,0.00349040139616056,0,0,0,0.00349040139616056,0,0,0,0,0,0,0,0.00174520069808028,0,0,0,0,0,0
100,3408,0,0.00865800865800866,0.0108225108225108,0.0346320346320346,0.012987012987013,0.00216450216450216,0.0432900432900433,0,0.00432900432900433,0.00216450216450216,0,0.012987012987013,0.0064935064935065,0.00216450216450216,0.0454545454545455,0,0,0.0108225108225108,0.603896103896104,0.0454545454545455,0.00216450216450216,0.00216450216450216,0,0.00216450216450216,0.025974025974026,0.038961038961039,0.00216450216450216,0.0173160173160173,0.025974025974026,0.00432900432900433,0.0064935064935065,0.0108225108225108,0.0064935064935065,0,0.00432900432900433,0,0,0,0.00432900432900433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,3735,0,0.0121065375302663,0.00726392251815981,0.0653753026634383,0,0.00242130750605327,0.0871670702179177,0.00968523002421308,0.00242130750605327,0,0,0.0121065375302663,0.0121065375302663,0.00484261501210654,0.062953995157385,0,0,0,0.600484261501211,0,0.00484261501210654,0,0,0.00484261501210654,0,0.0242130750605327,0,0.00484261501210654,0.0460048426150121,0,0.00726392251815981,0.0121065375302663,0.0121065375302663,0,0,0,0.00242130750605327,0,0.00242130750605327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,4388,0,0.0185567010309278,0.00824742268041237,0.0350515463917526,0,0.00618556701030928,0.0494845360824742,0.00824742268041237,0.00824742268041237,0.00824742268041237,0,0.00618556701030928,0.00618556701030928,0.00206185567010309,0.0618556701030928,0,0,0.0144329896907217,0.655670103092784,0,0,0,0,0,0.0247422680412371,0.0144329896907217,0,0.00824742268041237,0.022680412371134,0,0.00618556701030928,0.0103092783505155,0.00824742268041237,0.00412371134020619,0,0,0.00206185567010309,0,0.0103092783505155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,5042,0,0,0.0116086235489221,0.0530679933665008,0,0.0033167495854063,0.0447761194029851,0.00829187396351575,0.00165837479270315,0.00165837479270315,0,0.0066334991708126,0.0033167495854063,0,0.0281923714759536,0,0,0.0149253731343284,0.679933665008292,0,0.0033167495854063,0.00165837479270315,0,0.0066334991708126,0.0265339966832504,0.0414593698175788,0.00497512437810945,0.0182421227197347,0.0165837479270315,0,0.00165837479270315,0.0033167495854063,0.00165837479270315,0.0033167495854063,0.0066334991708126,0,0,0,0.00497512437810945,0,0,0,0,0,0,0,0,0.00165837479270315,0,0,0,0,0
