"sample.depths","sample.ages","Abies","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Caryophyllaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Indeterminable","Isoëtes","Lycopodium.type","Myrica","Myriophyllum","Nuphar","Osmunda","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Poaceae","Populus","Quercus","Ranunculus","Rumex","Salix","Selaginella.rupestris","Shepherdia","Sparganium.type","Thalictrum","Ulmus","Unknown"
205,11,5,0,13,0,0,0,1,54,0,0,0,0,0,0,6,3,0,0,1,0,463,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
225,1066,4,0,19,0,1,0,0,47,0,4,2,0,0,0,5,3,0,0,0,0,491,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
252,2490,8,0,4,0,0,0,0,35,0,0,0,0,1,1,14,2,1,0,0,0,273,2,0,0,0,1,0,0,0,0,1,0,0,0,0,2
272,3545,8,0,10,0,0,1,0,56,0,0,0,1,0,1,5,0,0,0,1,0,291,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0
292,4600,10,4,20,0,0,1,0,108,0,1,0,0,0,1,19,8,1,0,0,0,205,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
302,5128,22,1,109,0,0,0,0,109,0,10,0,0,0,0,36,6,3,0,0,0,51,5,1,0,3,2,0,0,0,0,0,0,0,0,0,4
315,5814,6,0,176,0,0,1,0,61,0,7,0,0,1,1,51,16,5,0,1,0,58,2,0,0,1,0,1,0,1,1,0,0,0,0,1,0
322,6183,0,1,130,0,0,0,1,84,0,3,0,0,0,0,6,16,2,0,0,0,76,2,0,0,3,0,1,0,0,2,0,0,0,0,0,3
332,6710,2,0,134,0,0,0,0,149,0,71,0,0,6,3,518,11,59,1,0,0,45,17,0,0,3,1,0,0,0,4,0,0,0,0,0,2
351,7445,6,0,61,0,1,1,0,162,0,25,0,0,5,0,60,3,17,0,0,0,24,11,0,0,1,0,0,0,0,8,0,0,0,1,0,2
358,7694,0,0,72,0,0,4,0,204,0,10,1,0,5,0,18,5,14,0,0,0,19,3,1,1,10,1,3,2,0,17,0,0,0,0,0,0
378,8403,0,0,40,0,0,1,0,180,0,29,1,0,10,4,42,4,10,0,0,0,18,8,6,6,5,0,0,0,0,18,0,0,0,0,0,4
397,9078,0,0,21,0,0,0,0,170,0,19,0,0,2,0,23,1,1,0,0,0,3,3,3,1,2,0,3,1,0,22,0,1,0,0,0,7
418,9823,0,3,8,1,0,0,0,114,0,15,1,0,5,1,4,2,7,0,0,0,1,0,1,10,5,1,1,0,0,25,0,0,0,0,0,3
438,10533,0,0,6,0,0,3,0,74,1,9,0,0,2,1,3,1,1,0,0,0,2,4,0,1,9,0,1,2,0,19,0,0,0,0,0,7
458,11243,0,1,2,0,1,1,0,28,0,20,0,0,1,1,7,0,1,0,0,0,0,0,0,3,10,2,1,26,0,14,0,2,0,0,0,4
496,NA,0,0,2,0,0,2,2,4,2,33,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0
