"sample.depths","sample.ages","upland.sum","Cephalanthus","Asteraceae.undiff.","Quercus","Salix","Myrica","Pinus","Amaranthaceae","Poaceae","Polygonaceae","Euphorbiaceae","Iva","Arecaceae","Cyperaceae.undiff.","Onagraceae","Justicia","Ilex","Ambrosia","Ericaceae","Cupressaceae.Taxaceae","Apiaceae"
0.5,-40,64,6,8,2,2,8,14,18,2,4,0,0,0,0,0,0,0,0,0,0,0
5.5,44,84,2,2,2,0,10,12,54,0,0,2,0,0,0,0,0,0,0,0,0,0
9.5,111,42,4,2,0,0,0,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,307,130,36,8,0,0,8,16,54,4,2,0,2,0,0,0,0,0,0,0,0,0
17.5,880,298,22,14,4,2,6,60,156,6,14,0,2,2,6,2,2,0,0,0,0,0
21,1281,132,2,12,4,0,0,52,46,0,6,0,2,0,6,0,0,2,0,0,0,0
25,1739,390,24,16,0,8,0,44,280,4,8,0,0,0,4,0,0,0,2,0,0,0
31,2426,270,8,10,0,0,2,40,186,2,14,0,0,0,6,0,0,0,0,2,0,0
35,2762,398,4,4,2,0,0,60,306,0,2,2,0,0,16,0,0,0,0,0,2,0
41,3207,250,0,0,2,2,0,62,176,0,4,0,0,0,2,0,0,0,0,0,0,2
45,3503,552,0,0,0,0,4,108,432,0,4,0,0,0,4,0,0,0,0,0,0,0
51,3906,562,4,2,2,0,2,116,432,0,4,0,0,0,0,0,0,0,0,0,0,0
55,4119,458,2,0,0,0,0,168,284,2,2,0,0,0,0,0,0,0,0,0,0,0
61,4439,548,0,0,2,0,0,48,498,0,0,0,0,0,0,0,0,0,0,0,0,0
65,4653,540,2,0,0,0,0,88,442,0,8,0,0,0,0,0,0,0,0,0,0,0
71,NA,408,0,2,4,0,0,42,354,0,0,0,0,0,6,0,0,0,0,0,0,0
