"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Amaranthaceae","Myrica.gale","Pinus.banksiana.type","Picea.undiff.","Salix.undiff.","Larix","Populus.balsamifera.type","Poaceae","Acer.saccharum","Nemopanthus.mucronatus","Pinus.strobus","Fagus","Fraxinus.nigra.type","Picea.glauca.type","Tilia","Liliaceae","Abies.balsamea","Rubus.chamaemorus","Juniperus.communis.Thuja.occidentalis.type","Juniperus.type","Onagraceae","Fraxinus.pennsylvanica.type","Juglans.cinerea","Ostrya.Carpinus","Ranunculaceae.undiff.","Taxus","Corylus.cornuta","Tsuga.canadensis","Viburnum.edule","Shepherdia.canadensis","Caryophyllaceae","Salix.vestita.type","Acer.rubrum","Plantago","Carya.ovata","Juglans.nigra","Thalictrum","Apiaceae","Viburnum.undiff.","Salix.herbacea.type","Fabaceae"
0,1,511,6,169,3,1,76,8,14,123,7,1,2,4,1,2,1,3,64,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,530,561,2,137,0,1,78,10,8,197,6,0,2,0,2,0,2,3,82,22,0,3,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1061,702,7,186,0,3,104,10,11,184,16,0,1,1,1,0,0,2,102,39,0,10,0,2,2,0,8,1,1,5,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1591,632,5,191,0,3,74,9,3,189,3,0,0,1,1,0,2,0,113,27,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2122,446,3,131,1,1,87,7,4,112,4,0,0,0,2,0,0,1,61,21,1,1,0,2,2,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2652,573,5,134,1,2,118,10,3,196,3,2,1,2,0,0,0,2,65,21,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3183,437,7,100,0,4,105,9,2,150,0,0,0,0,0,1,0,1,41,0,0,5,0,0,1,0,0,1,0,2,0,0,1,0,2,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,3448,524,1,195,0,2,95,6,4,122,8,0,1,0,1,0,0,2,41,34,0,3,0,0,1,0,2,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3713,511,3,112,0,2,117,9,4,182,3,1,1,3,1,0,3,7,29,23,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3978,470,11,118,0,3,114,6,0,119,4,0,0,3,0,0,2,4,40,19,0,4,0,4,0,1,4,0,2,0,0,0,0,0,5,2,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
160,4243,694,14,165,0,3,219,9,1,165,11,0,3,1,1,0,1,9,31,36,0,1,1,2,0,0,3,0,3,2,0,0,2,0,6,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
180,4774,549,3,161,1,3,198,11,1,83,5,1,0,1,0,1,0,6,22,23,1,2,0,0,0,0,3,0,1,7,0,0,1,0,2,0,2,1,0,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0
200,5304,403,9,93,0,2,166,5,1,56,4,2,0,0,1,1,1,5,11,20,0,6,0,1,0,0,4,0,0,2,0,0,5,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,5835,544,9,179,1,1,157,6,5,112,2,2,0,0,0,1,0,8,11,22,2,4,0,3,0,0,8,0,1,1,0,0,2,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,6312,672,3,121,1,1,372,4,3,91,1,6,1,6,0,1,0,17,11,16,0,3,0,1,1,0,1,0,1,1,0,0,0,0,2,2,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
239,6339,615,14,220,18,29,158,8,13,32,1,11,1,0,2,3,10,8,23,1,13,1,1,19,0,0,5,0,4,4,0,0,0,0,10,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
