"depth","best.age","min.age","max.age"
1,-25,-30,-20
7,5,-2,12
10,20,12,30
14,40,29,53
19,65,49,82
24,90,70,111
28,110,87,135
33,135,107,164
37,155,122,187
41,175,139,211
46,297,255,339
49,459,399,527
53,674,577,786
55,782,663,916
62,1159,956,1367
68,NA,NA,NA
