"sample.depths","sample.ages","Abies","Acer.undiff.","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus","Betula","Betulaceae.undiff.","Carya","Castanea","Celtis","cf..Cupressaceae","cf..Morus","cf..Taxus","Corylus","Cupressaceae","Ephedra","Ericaceae.type","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Fraxinus.undiff.","Hudsonia","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Lonicera","Myrica.type","Ostrya.Carpinus","Picea","Pinaceae.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Prunus","Quercus","Rhamnaceae","Rhus","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia","Shepherdia.argentea","Tilia","Tsuga","Ulmus","Ambrosia.type","Apiaceae","Araliaceae","Arceuthobium.pusillum","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Campanulaceae","Caryophyllaceae","cf..Humulus","Chenopodiaceae.undiff.","Cyperaceae","Epilobium","Euphorbia.subg..Chamaesyce","Fabaceae","Humulus","Iva.annua","Iva.xanthifolia","Lamiaceae.undiff.","Lycopus.type","Plantago.lanceolata.type","Plantago.major.type","Plantago.undiff.","Poaceae","Polygonum.bistorta.type","Polygonum.persicaria.type","Polygonum.undiff.","Potentilla","Ranunculaceae.undiff.","Ranunculus","Rosaceae.undiff.","Rumex","Urtica","Xanthium.type"
1.5,-39,0.00398406374501992,0,0.0119521912350598,0.00398406374501992,0,0.0458167330677291,0.252988047808765,0.00199203187250996,0,0,0,0,0,0,0.00597609561752988,0.0139442231075697,0,0,0.00199203187250996,0.00398406374501992,0.00199203187250996,0,0,0,0,0,0,0,0,0.00199203187250996,0,0.0119521912350598,0,0.0697211155378486,0.0139442231075697,0.314741035856574,0.00199203187250996,0.00796812749003984,0,0.105577689243028,0,0,0.00796812749003984,0.00199203187250996,0,0,0,0.00199203187250996,0.0258964143426295,0.0119521912350598,0.0278884462151394,0,0,0.00199203187250996,0.0119521912350598,0.00199203187250996,0,0,0,0,0.00597609561752988,0.00398406374501992,0,0,0,0.00199203187250996,0,0.00398406374501992,0,0,0,0,0.00199203187250996,0.0119521912350598,0,0,0,0,0,0,0,0,0,0
19.5,50,0,0,0.00546448087431694,0.00546448087431694,0,0.0418943533697632,0.242258652094718,0,0,0,0,0,0,0,0.00546448087431694,0,0,0.00182149362477231,0,0,0.00546448087431694,0,0,0,0,0,0.00182149362477231,0,0,0.00182149362477231,0.00728597449908925,0.0109289617486339,0,0.0255009107468124,0.00364298724954463,0.422586520947177,0,0.00182149362477231,0,0.0837887067395264,0,0,0,0,0,0,0,0,0.0255009107468124,0.0163934426229508,0.0564663023679417,0,0,0,0.00546448087431694,0,0,0,0,0,0.0163934426229508,0.00182149362477231,0,0,0,0,0,0.00182149362477231,0,0,0,0,0,0.00910746812386157,0,0,0,0,0,0,0,0,0,0
49.5,198,0.00320512820512821,0,0.0016025641025641,0.0112179487179487,0,0.0368589743589744,0.243589743589744,0.00320512820512821,0.0016025641025641,0,0.0016025641025641,0,0,0,0.00320512820512821,0.00641025641025641,0,0,0,0,0,0,0,0.00320512820512821,0,0,0.0016025641025641,0,0,0,0.00320512820512821,0.0144230769230769,0,0.0400641025641026,0.00480769230769231,0.44551282051282,0.0016025641025641,0.0016025641025641,0,0.0512820512820513,0,0,0.00641025641025641,0,0,0,0,0.0016025641025641,0.0288461538461538,0.00641025641025641,0.0480769230769231,0,0,0,0.00320512820512821,0,0,0,0,0,0.016025641025641,0,0,0.0016025641025641,0,0,0,0,0,0,0,0,0,0.00641025641025641,0,0,0,0,0,0,0,0.0016025641025641,0,0
90,418,0.00227531285551763,0,0.00113765642775882,0.0102389078498294,0,0.0182025028441411,0.156996587030717,0,0,0,0.00113765642775882,0,0,0,0.00341296928327645,0.00568828213879408,0,0,0,0,0.00113765642775882,0,0,0.00227531285551763,0.00113765642775882,0,0,0,0,0,0.00341296928327645,0.00568828213879408,0,0.168373151308305,0.195676905574517,0.316268486916951,0.00227531285551763,0.00341296928327645,0,0.0284414106939704,0,0,0,0,0,0,0,0,0.0455062571103527,0.0113765642775882,0.00455062571103527,0,0,0,0.00796359499431172,0.00227531285551763,0,0,0,0,0,0.00113765642775882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,884,0,0,0,0.00377358490566038,0,0.0471698113207547,0.184905660377358,0,0,0,0,0,0,0,0.00377358490566038,0.00188679245283019,0,0,0,0,0.00188679245283019,0,0,0,0,0,0.00188679245283019,0,0,0,0,0.00188679245283019,0.00188679245283019,0.0150943396226415,0.00754716981132075,0.607547169811321,0,0.00188679245283019,0,0.0433962264150943,0,0,0,0,0,0,0.00188679245283019,0.00188679245283019,0.0433962264150943,0.00943396226415094,0.00566037735849057,0,0,0,0.00188679245283019,0.00566037735849057,0,0,0,0,0.00377358490566038,0.00188679245283019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1350,0.00467289719626168,0,0.00467289719626168,0.00817757009345794,0,0.0315420560747664,0.186915887850467,0,0,0,0,0,0,0,0.00467289719626168,0.00467289719626168,0,0,0,0.00116822429906542,0.00350467289719626,0,0,0.00116822429906542,0,0,0.00116822429906542,0,0,0,0.00700934579439252,0.00467289719626168,0,0.207943925233645,0.168224299065421,0.242990654205607,0.00116822429906542,0.00233644859813084,0,0.0292056074766355,0,0,0.00116822429906542,0,0,0,0,0,0.0408878504672897,0.00817757009345794,0.00467289719626168,0,0,0,0.00817757009345794,0.00350467289719626,0,0,0,0,0.00233644859813084,0.00700934579439252,0,0,0,0,0,0,0,0,0,0,0,0.00817757009345794,0,0,0,0,0,0,0,0,0,0
210,1816,0,0,0,0.00696864111498258,0,0.0261324041811847,0.17595818815331,0,0,0,0,0,0,0,0.00871080139372822,0.0191637630662021,0,0,0,0.00174216027874564,0.00348432055749129,0,0,0,0,0,0.00174216027874564,0,0,0,0.00871080139372822,0.00696864111498258,0,0.165505226480836,0.177700348432056,0.289198606271777,0.00174216027874564,0.00696864111498258,0,0.0505226480836237,0,0,0.00174216027874564,0,0,0,0,0,0.0209059233449477,0.00522648083623693,0.00522648083623693,0,0,0,0.00522648083623693,0,0,0,0,0,0.00174216027874564,0.00348432055749129,0,0,0,0,0,0,0,0,0,0,0,0.00348432055749129,0,0,0,0,0,0,0.00174216027874564,0,0,0
270,2515,0,0,0.00225733634311512,0.00677200902934537,0.00225733634311512,0.0158013544018059,0.160270880361174,0,0,0,0,0,0,0,0.00225733634311512,0.00677200902934537,0,0,0.00225733634311512,0,0.0090293453724605,0,0,0,0,0,0.00451467268623025,0,0,0,0.00225733634311512,0.00677200902934537,0,0.110609480812641,0.261851015801354,0.291196388261851,0.00451467268623025,0.00677200902934537,0,0.0406320541760722,0,0,0,0,0.00451467268623025,0,0,0,0.0293453724604966,0.00677200902934537,0.00451467268623025,0,0,0,0.00225733634311512,0,0,0,0,0,0,0.00677200902934537,0,0,0,0,0,0,0,0,0,0,0,0.0090293453724605,0,0,0,0,0,0,0,0,0,0
290,2748,0.00279329608938547,0,0.00418994413407821,0.00279329608938547,0,0.0279329608938547,0.0824022346368715,0.00279329608938547,0,0,0,0,0,0,0.00837988826815642,0.00418994413407821,0,0,0.00139664804469274,0.00139664804469274,0,0,0,0,0,0,0.00279329608938547,0,0,0.00279329608938547,0.00139664804469274,0.0139664804469274,0,0.220670391061453,0.185754189944134,0.329608938547486,0.00139664804469274,0.00418994413407821,0,0.0293296089385475,0,0,0,0,0,0,0,0,0.0418994413407821,0.0139664804469274,0.00279329608938547,0,0,0,0.00418994413407821,0,0,0,0,0,0.00139664804469274,0.00279329608938547,0,0,0,0,0.00139664804469274,0,0,0,0,0,0,0.00139664804469274,0,0,0,0,0,0,0,0,0,0
310,2981,0.00528401585204756,0,0.00528401585204756,0.00396301188903567,0,0.0264200792602378,0.104359313077939,0.00264200792602378,0,0,0.00132100396301189,0,0,0.00264200792602378,0.00264200792602378,0.00264200792602378,0,0,0.00264200792602378,0.00132100396301189,0.00264200792602378,0,0,0,0,0,0.00396301188903567,0,0,0,0.00264200792602378,0.0105680317040951,0,0.219286657859974,0.200792602377807,0.324966974900925,0.00132100396301189,0.00528401585204756,0,0.0290620871862616,0,0,0.00132100396301189,0,0,0,0,0,0.00924702774108322,0.00792602377807133,0.00396301188903567,0,0,0,0.00792602377807133,0,0,0,0,0,0,0.00396301188903567,0,0,0,0,0.00132100396301189,0,0,0,0,0,0,0.00132100396301189,0,0,0.00132100396301189,0,0,0,0,0,0,0
