"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Carya","Celtis","Asteraceae.undiff.","Pinaceae.undiff.","Corylus","Cyperaceae","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Larix","Ostrya.Carpinus","Picea","Quercus","Salix","Thalictrum","Trees.undiff.","Ulmus","Alnus","Acer","Ambrosia","Juglans","Populus","Poaceae","Rosaceae","Abies","Fagus","Pinus.undiff.","Tsuga","Amaranthaceae","Other.herbs","Cephalanthus","Tilia","Pinus.strobus","Cupressus"
378,17704,306,3,4,0,3,6,77,0,48,2,10,0,3,67,34,2,0,0,4,3,3,5,0,1,23,1,1,0,2,0,2,2,0,0,0,0
388,17821,549,10,3,0,0,4,184,1,22,0,7,2,5,249,31,3,2,0,6,5,0,3,0,0,7,0,1,0,1,0,1,2,0,0,0,0
398,17938,578,3,4,0,0,3,380,2,75,0,7,0,5,32,28,4,1,2,2,6,0,3,2,0,14,1,0,0,0,0,1,1,0,0,0,2
448,NA,172,2,0,1,0,1,13,0,29,0,0,2,1,102,7,0,0,1,0,0,0,0,0,0,4,0,0,0,3,0,2,3,0,0,0,1
468,NA,128,0,0,0,0,1,17,0,31,0,0,0,0,71,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0
488,NA,331,1,0,0,0,0,34,0,58,0,0,2,0,224,3,1,0,0,0,0,0,1,0,0,2,0,1,0,4,0,0,0,0,0,0,0
508,NA,389,0,0,0,0,1,55,0,33,0,0,4,0,280,2,0,0,0,1,0,0,1,0,0,5,0,0,0,7,0,0,0,0,0,0,0
528,NA,384,2,1,0,0,0,46,0,20,1,0,2,0,285,3,0,0,0,0,0,1,0,1,0,5,1,2,0,12,0,0,1,0,0,1,0
548,NA,395,1,0,0,0,3,44,0,16,0,0,0,0,294,6,0,0,0,0,0,0,1,0,0,3,0,4,0,21,0,0,1,0,0,1,0
568,NA,320,7,0,0,0,5,90,0,28,0,0,6,0,141,12,0,1,0,0,0,0,2,0,0,3,0,2,0,21,0,1,0,0,0,1,0
588,NA,238,5,0,0,0,3,86,0,22,0,0,0,1,102,13,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0
608,NA,152,1,0,0,0,2,53,0,36,0,0,0,0,56,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
648,NA,416,1,0,0,0,0,113,0,30,0,0,0,0,252,2,0,0,0,0,0,0,1,0,0,1,0,2,0,11,0,1,1,0,1,0,0
688,NA,466,10,0,2,0,1,82,2,33,0,6,7,3,242,26,0,4,0,0,11,0,3,0,0,6,0,2,0,23,0,1,1,0,0,1,0
708,NA,420,13,3,0,0,3,108,0,41,0,4,6,2,174,9,0,3,0,1,2,0,5,0,0,12,2,0,0,23,1,4,1,1,1,1,0
728,NA,248,39,3,0,0,10,24,0,38,0,1,0,9,52,35,0,2,0,0,8,1,7,0,0,13,0,0,0,1,0,2,1,2,0,0,0
748,NA,147,0,0,0,0,0,68,0,23,0,0,0,0,42,5,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,1,1,0,0,0,0
768,NA,384,12,1,1,0,4,63,0,30,0,2,1,2,205,24,0,0,1,0,2,0,8,0,0,0,0,5,0,20,0,2,1,0,0,0,0
778,NA,416,37,10,0,0,10,87,4,51,1,0,2,9,77,51,10,2,0,0,19,0,18,0,1,8,2,1,0,3,0,4,5,4,0,0,0
788,NA,458,37,7,0,0,10,144,0,54,0,3,1,6,111,27,6,3,0,0,3,1,5,0,0,7,0,2,0,18,0,1,3,6,0,3,0
