"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Cannabaceae","Caprifoliaceae.undiff.","Carya","Caryophyllaceae","Celtis","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Ephedra","Ericaceae","Fabaceae.undiff.","Filicopsida.undiff.","Fraxinus","Herbs.undiff.","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans","Lamiaceae","Laportea.type","Larix","Lemnaceae","Liliaceae","Lycopodium.type","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae","Polemoniaceae","Populus","Potamogetonaceae","Potentilla.type","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rhamnaceae.Vitaceae.undiff.","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sanguisorba","Sarcobatus.vermiculatus","Scrophulariaceae","Shepherdia","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Urtica","Viburnum","Vitis"
387,99,0,3,4,28,65,0,0,14,14,2,13,2,2,0,2,0,1,2,2,23,0,2,0,0,0,1,10,7,11,1,1,0,0,0,0,3,0,0,0,0,1,4,2,0,17,2,30,0,101,1,3,7,0,1,131,0,0,0,1,0,4,0,0,1,0,5,0,0,8,0,0,21,11,0,0
412,294,0,3,5,21,78,0,0,11,12,2,6,0,2,0,4,0,0,2,5,25,0,1,0,0,0,0,5,8,8,2,3,1,0,0,2,1,0,0,0,0,1,3,0,1,10,0,29,0,117,0,2,9,0,1,119,0,0,0,0,1,4,0,0,0,0,6,0,1,8,1,2,23,7,0,1
437,483,1,4,6,15,78,0,0,15,15,2,12,0,1,0,5,0,2,4,1,11,0,1,1,0,1,0,8,10,6,3,4,1,0,0,1,1,0,0,0,0,1,3,1,0,27,2,28,3,68,0,1,2,0,0,159,0,0,0,0,3,5,0,0,0,0,3,0,1,8,1,1,22,4,0,0
460,650,0,4,5,23,86,1,0,23,21,0,10,3,0,0,2,0,0,8,2,26,0,1,0,0,3,1,4,8,1,0,4,1,0,0,1,2,0,0,0,0,2,4,0,1,17,2,36,1,79,0,5,3,0,0,138,0,0,0,2,3,2,0,1,0,0,3,1,3,9,0,2,15,1,0,1
480,787,0,3,7,26,43,0,0,18,21,3,16,0,0,0,1,0,1,7,4,14,0,3,0,0,1,1,9,5,13,0,0,2,0,0,4,2,0,0,0,0,0,5,0,0,28,2,53,6,57,1,2,8,1,0,188,0,0,1,1,1,2,0,1,0,0,5,0,2,4,0,2,11,1,0,0
500,915,0,9,2,11,63,1,0,16,13,0,16,0,4,0,4,0,0,4,1,16,0,1,0,0,0,2,8,9,10,1,2,1,0,0,1,1,0,0,0,0,0,2,0,0,21,0,32,0,114,0,3,10,0,2,144,0,0,0,0,0,2,0,0,0,0,3,0,2,10,1,2,24,1,1,0
520,1033,1,3,4,12,63,0,0,13,8,2,8,0,0,0,6,0,1,3,1,19,0,7,0,0,0,0,10,11,5,1,0,1,0,0,0,3,0,1,0,0,1,0,1,0,39,1,21,0,158,0,2,1,0,0,102,0,0,1,0,2,3,0,0,0,0,0,0,1,7,1,0,25,1,0,1
540,1145,0,2,4,6,54,0,0,6,5,0,8,0,0,0,1,0,0,5,2,8,0,5,0,0,0,0,7,7,17,1,0,2,0,0,3,0,0,0,0,0,4,1,0,0,29,1,27,0,138,0,0,0,0,1,130,0,0,0,0,1,1,0,1,0,0,4,1,0,12,0,1,41,4,0,2
560,1255,0,1,10,10,31,0,0,16,9,0,14,1,1,0,2,0,1,9,3,17,0,1,0,0,0,0,8,7,11,3,1,2,1,0,1,2,0,1,0,0,0,3,1,0,38,0,26,3,56,0,7,2,0,0,182,1,0,0,0,0,3,0,0,0,0,0,1,2,11,1,0,47,0,0,0
580,1368,0,1,1,7,45,2,0,34,15,0,17,0,1,0,0,0,0,1,3,30,0,0,0,0,0,0,11,3,3,1,2,0,0,0,0,0,0,0,0,0,1,2,0,0,11,2,42,1,125,1,0,4,0,0,131,0,0,0,0,0,4,0,1,0,0,6,0,1,6,0,1,5,5,0,0
