"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Apiaceae","Amaranthaceae","Poaceae","Abies.balsamea","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Tsuga.canadensis","Picea.undiff.","Acer.rubrum","Acer.spicatum","Caryophyllaceae","Larix","Picea.glauca.type","Populus.tremuloides.type","Salix","Ulmus","Fraxinus.nigra.type","Juglans.nigra","Acer.saccharum","Corylus.cornuta","Viburnum.edule","Carya.ovata","Castanea.dentata","Pinaceae","Fraxinus.pennsylvanica.type","Myrica.gale","Juglans.cinerea","Asteraceae.subf..Asteroideae.undiff.","Taxus","Tilia","Liliaceae","Ranunculaceae","Acer.saccharinum","Populus.balsamifera.type","Juniperus.type","Rosaceae.cf..Prunus.serotina","Populus.deltoides.type","Populus.undiff.","Viburnum.undiff.","Rosaceae.undiff.","Prunus","Epilobium","Pinus.resinosa.type","Oxytropis.maydelliana.type"
10,305,322,8,7,17,1,127,12,5,7,1,73,4,2,1,1,5,17,5,20,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,761,287,8,3,7,5,106,7,4,0,1,69,7,5,0,0,0,25,2,16,1,1,12,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1218,794,19,10,0,1,359,102,16,13,1,70,13,6,0,1,1,44,0,51,0,11,35,0,0,0,1,12,0,0,7,8,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1523,585,7,4,1,1,275,24,17,9,2,89,14,5,0,0,1,35,0,43,0,9,24,0,0,0,3,1,3,0,3,0,0,10,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1980,665,14,3,0,1,315,41,3,12,0,75,14,11,0,0,0,35,0,78,0,8,24,0,0,0,0,9,0,0,6,5,0,6,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2284,681,8,4,2,3,348,47,12,12,0,75,28,9,0,0,0,23,2,56,0,3,35,0,0,1,0,0,2,1,0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2589,457,3,1,2,1,238,9,9,4,0,55,8,2,0,0,0,21,0,69,0,3,12,0,1,0,0,9,0,1,1,2,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3046,954,10,16,1,4,533,89,14,6,0,59,29,8,0,0,1,33,0,87,0,16,24,0,0,0,4,0,0,0,9,1,0,7,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,3350,1289,7,5,3,1,597,141,47,7,2,60,59,20,0,2,1,46,0,160,0,33,42,0,0,1,3,16,0,0,12,9,0,5,0,0,1,1,0,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,3807,1116,9,6,3,1,634,25,46,6,1,48,67,15,0,0,1,16,1,150,0,13,35,1,0,0,1,0,1,1,8,13,0,6,1,0,2,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
135,4112,556,5,5,0,0,238,52,13,3,0,30,22,11,0,2,0,18,0,84,0,5,21,1,0,0,1,22,2,0,2,3,0,6,1,0,0,1,0,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,5126,628,3,16,5,5,249,28,24,5,0,63,47,11,0,2,0,12,1,108,0,3,24,0,0,0,4,0,1,0,4,7,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,6419,591,4,39,0,0,202,139,28,1,0,14,20,18,0,0,2,23,0,44,0,1,20,1,0,0,3,14,2,2,4,1,0,2,0,2,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,7281,414,5,61,1,0,151,28,10,4,2,22,33,6,0,0,2,25,13,4,0,1,9,1,1,0,6,4,2,3,0,2,0,0,2,0,0,0,13,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
185,8143,462,2,81,0,0,133,84,0,1,0,21,11,11,0,1,0,9,0,44,0,1,21,0,0,0,3,28,1,2,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
200,NA,703,2,47,1,3,110,407,2,0,3,12,26,6,0,1,3,4,8,34,0,4,5,0,0,0,0,2,2,4,1,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
210,NA,913,3,77,1,5,152,531,2,1,0,27,9,7,0,0,3,5,0,55,0,3,10,0,0,0,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,5,4,0,0,0
220,NA,615,0,13,1,6,91,274,19,2,1,11,20,2,0,0,37,3,6,19,0,0,4,0,0,1,0,1,5,84,1,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0
225,NA,478,2,16,1,2,78,251,6,0,0,8,13,6,0,0,15,2,10,18,0,1,6,0,0,1,0,10,0,16,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,0,0,2,0
230,NA,201,0,7,0,4,40,79,1,0,0,10,1,0,0,0,14,4,0,15,0,0,0,0,0,0,0,0,1,20,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
235,NA,509,4,11,3,10,82,226,5,1,5,5,16,3,0,0,34,1,2,10,0,1,1,0,0,1,1,0,0,77,0,1,0,0,2,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
