"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Alnus","Arceuthobium","Betula","Carya","Celtis","Corylus","Cupressaceae","Ephedra.nevadensis.type","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Juglans.nigra","Larix","Morus","Myrica","Ostrya","Picea","Pinus","Platanus","Populus","Quercus","Salix","Shepherdia.argentea","Shepherdia.canadensis","Taxus","Tilia","Tsuga","Ulmus","Vitis","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chenopodiineae","Cyperaceae","Iva.annua.type","Onagraceae","Plantago","Poaceae","Ranunculus","Rosaceae.undiff.","Rumex","Sanguisorba","Thalictrum","Adiantum","Botrychium","Dryopteris.type","Equisetum","Lycopodium","Osmunda","Pteridium","Selaginella.selaginoides","Sphagnum","Brasenia.schreberi","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Sparganium.type","Typha.latifolia","Indeterminable","Unknown","pre.Quaternary"
210,2341,1,0,11,2,0,22,2,0,0,4,0,0,39,7,2,0,4,0,0,21,2,26,0,0,14,0,0,0,1,7,15,23,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,0
220,2463,0,0,23,2,0,23,1,0,0,14,0,0,63,11,0,0,1,0,0,6,3,18,0,0,15,0,0,0,0,2,10,10,0,0,0,1,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0
230,2587,1,0,16,0,0,22,3,0,0,5,0,0,50,10,0,0,1,0,0,9,2,28,0,0,17,0,0,0,0,2,21,13,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,1,4,0,0
240,2712,0,0,14,2,0,28,2,0,1,9,0,0,59,12,0,0,0,0,0,11,0,15,1,0,13,0,0,0,0,8,11,17,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
250,2838,0,0,17,1,0,17,0,1,0,11,0,0,39,3,1,0,6,0,0,9,3,27,2,0,30,1,0,0,0,6,11,17,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
260,2966,0,0,16,1,0,22,0,0,0,16,0,0,46,4,0,0,0,0,0,10,2,32,0,1,16,0,0,0,0,4,18,13,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0
270,3096,0,0,13,2,0,18,0,0,0,3,0,0,42,2,2,0,4,0,0,12,4,39,1,1,24,0,0,0,0,3,19,13,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0
280,3227,1,0,31,3,0,20,4,0,0,14,0,0,36,8,0,0,1,0,0,21,0,22,0,0,23,0,0,0,0,3,5,11,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
290,3359,0,0,16,1,0,13,1,0,0,30,0,0,32,7,1,0,5,0,0,13,0,24,0,1,26,0,0,0,0,1,17,12,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
300,3494,0,0,13,4,0,26,0,0,0,28,0,0,26,9,0,0,3,0,0,8,1,25,2,0,33,0,0,0,0,1,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
310,3630,0,0,25,2,0,13,0,0,0,4,0,0,41,8,0,0,2,0,0,5,1,30,0,0,42,0,0,0,0,2,11,16,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
320,3768,0,0,8,1,0,17,0,0,0,25,0,0,37,14,2,0,1,0,0,9,3,21,1,0,33,0,0,0,0,3,13,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0
330,3908,0,0,26,0,0,26,2,0,0,16,0,0,40,8,0,1,1,0,0,11,0,26,1,1,24,0,0,0,0,4,4,9,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0
340,4050,1,0,23,3,0,14,1,0,1,19,0,0,41,5,0,0,5,0,0,20,1,26,0,0,25,0,0,0,0,7,3,9,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0
350,4194,0,0,19,2,0,17,2,0,0,15,0,0,39,8,1,1,3,0,0,13,0,27,1,0,28,0,0,0,0,3,13,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
360,4341,0,0,21,4,0,23,2,0,0,25,0,0,33,14,0,0,3,0,0,4,1,22,1,1,31,0,0,0,0,3,6,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
370,4489,0,0,20,2,0,22,5,0,0,9,0,0,38,8,2,0,3,0,0,17,0,32,0,0,23,0,0,0,0,2,4,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
380,4639,1,0,17,0,0,20,3,0,0,15,0,0,36,13,2,0,9,0,0,6,0,40,0,0,17,0,0,0,0,3,7,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
390,4792,0,0,33,5,0,26,4,0,0,12,0,0,33,5,4,0,1,0,0,7,0,21,0,1,23,0,0,0,0,5,9,16,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0
400,4947,0,0,20,2,0,23,1,0,0,12,0,0,39,8,4,0,1,0,0,14,0,25,0,0,24,0,0,0,0,3,11,15,0,3,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
410,5105,0,0,27,3,0,23,1,0,0,6,0,0,40,8,1,0,0,0,0,6,2,28,0,0,23,0,0,0,0,8,7,17,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0
420,5265,0,0,24,4,0,8,4,0,0,19,0,0,38,10,4,0,3,0,0,10,1,21,2,0,19,0,0,0,0,6,11,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
430,5427,0,0,29,1,0,23,3,0,0,7,0,0,34,9,1,0,1,0,0,12,0,23,0,0,17,0,0,0,0,6,18,17,0,0,0,1,0,0,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
440,5592,0,0,21,0,0,16,0,0,0,5,0,0,34,7,0,0,1,0,0,5,1,15,4,0,14,1,0,0,0,11,50,16,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
450,5759,0,0,18,1,0,8,2,1,0,9,0,0,27,7,1,1,0,0,0,11,0,15,1,0,15,0,0,0,0,4,67,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0
460,5928,0,0,28,0,0,12,2,0,0,9,0,0,34,19,1,0,2,0,0,9,0,8,0,0,15,0,0,0,0,5,42,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0
470,6099,0,0,14,0,0,19,2,0,0,4,0,0,23,10,0,0,3,0,0,6,0,11,0,0,19,0,0,0,0,6,70,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
480,6271,0,0,13,2,0,10,2,0,0,11,0,0,34,13,1,0,2,0,0,6,0,10,2,0,22,0,0,0,0,6,55,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,6445,0,0,22,1,0,13,1,0,0,5,0,0,31,12,0,0,3,0,0,9,0,15,0,0,20,0,0,0,0,6,57,6,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
500,6621,0,0,12,2,0,9,0,0,0,3,0,0,49,10,1,0,2,0,0,5,0,15,0,0,16,0,0,0,0,8,51,19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
510,6797,0,0,12,0,0,7,2,0,0,11,0,0,15,12,1,0,2,0,0,8,0,22,0,0,16,0,0,0,0,9,72,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,6975,0,0,19,1,0,10,4,0,0,8,0,0,29,4,1,0,3,0,0,5,1,12,1,0,29,0,0,0,0,3,59,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
530,7154,0,0,14,3,0,13,0,0,0,10,0,0,35,7,0,0,1,0,0,7,0,25,2,0,19,0,0,0,0,8,52,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
540,7334,0,0,19,1,0,9,1,0,1,18,0,0,31,7,0,1,1,0,0,4,0,25,2,0,18,0,0,0,0,7,44,13,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0
550,7515,0,0,25,2,0,6,0,0,1,7,0,0,37,7,0,0,0,0,0,12,0,27,2,0,30,0,0,0,0,5,24,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
560,7696,1,0,19,0,0,5,1,0,0,3,0,0,34,5,0,0,0,0,0,9,0,42,0,0,16,0,0,0,0,10,44,11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
570,7878,1,0,18,0,0,7,1,0,0,10,0,0,21,9,0,0,1,0,0,9,0,41,2,0,24,0,0,0,0,4,46,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0
580,8061,1,0,6,0,0,2,3,0,0,13,0,0,6,13,0,0,0,0,0,12,0,57,4,1,34,0,0,0,0,6,31,11,0,0,0,1,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
600,8426,0,0,3,1,0,3,2,0,0,2,0,0,6,3,0,0,1,0,0,21,1,52,2,0,27,0,0,0,0,3,67,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
610,NA,0,0,3,1,0,9,2,0,0,0,0,0,2,3,0,0,0,0,0,17,1,67,0,0,18,0,0,0,0,6,66,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
620,NA,1,0,6,3,0,22,0,0,0,1,0,0,3,8,1,0,1,0,0,24,0,92,1,0,27,0,0,0,0,1,2,10,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,NA,1,0,4,0,0,16,1,0,1,1,0,0,3,11,0,0,3,0,0,26,0,79,0,2,38,0,0,0,0,1,2,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
640,NA,0,0,3,0,0,26,0,0,0,2,0,0,0,9,0,0,2,0,0,14,2,92,1,0,45,0,0,0,0,0,1,3,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
650,NA,1,0,1,2,0,26,0,0,0,1,0,0,1,9,0,0,1,0,0,12,0,108,0,1,24,1,0,0,0,1,5,9,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
660,NA,2,0,1,2,0,32,0,0,0,0,0,0,0,6,0,0,2,0,1,3,1,117,1,2,26,0,0,0,0,0,5,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
670,NA,1,0,1,1,0,30,2,1,0,1,0,0,0,3,0,0,2,0,0,6,2,102,2,5,30,2,0,0,0,0,2,10,0,1,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
680,NA,1,0,2,0,0,46,1,0,0,4,0,0,2,3,0,0,4,0,0,11,2,75,0,6,26,0,0,0,0,0,2,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0
690,NA,3,0,2,1,0,36,3,1,0,1,0,0,1,5,0,0,2,0,0,6,1,110,0,0,19,0,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0
700,NA,2,0,1,0,0,39,1,0,0,4,0,0,0,3,0,0,0,0,0,7,8,84,0,10,28,1,0,0,0,0,2,11,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,1,0
710,NA,3,0,0,0,0,54,0,0,0,4,0,0,0,1,0,0,6,0,0,8,9,79,0,9,12,3,0,0,0,0,2,13,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
720,NA,5,0,2,2,0,35,1,1,0,5,0,0,0,5,0,0,4,0,0,9,10,68,1,10,27,2,0,0,0,0,1,16,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0
730,NA,9,0,1,0,0,37,0,0,0,3,0,0,0,3,0,0,1,0,0,5,14,101,0,0,22,0,0,0,0,0,0,4,0,1,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
740,NA,8,0,2,1,0,35,1,0,0,0,0,0,0,2,1,0,4,0,0,7,12,92,0,3,26,0,0,0,0,0,3,4,0,1,0,4,0,0,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,1,0
750,NA,7,0,0,1,0,33,1,0,0,0,0,0,0,3,0,0,7,0,0,6,24,76,0,10,25,1,0,0,0,0,1,7,0,1,0,4,0,0,0,8,0,0,0,4,1,0,0,0,0,0,0,2,0,0,0,5,0,1,0,1,0,0,0,0,0,1,0,0
760,NA,4,0,4,0,0,18,0,0,0,4,0,0,0,5,0,0,4,0,0,7,26,71,0,5,43,5,0,0,0,0,2,7,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,3,0,0
770,NA,2,0,2,0,0,31,2,0,0,4,0,0,0,7,1,0,6,0,0,15,22,67,1,9,26,3,0,0,0,0,3,2,0,1,0,4,0,0,0,15,0,0,0,2,1,0,0,0,2,0,0,3,1,0,0,2,1,0,0,1,0,0,0,0,0,2,2,0
780,NA,6,0,1,1,0,12,0,0,0,2,0,1,1,3,1,0,10,0,0,7,35,89,0,7,19,0,0,0,0,0,2,5,0,0,0,6,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,8,5,0
790,NA,1,0,0,1,0,24,3,1,0,3,0,0,0,7,1,0,4,0,0,12,25,65,0,3,39,0,0,0,0,0,3,8,0,0,0,3,0,0,1,10,0,0,0,5,0,0,0,0,0,0,0,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0
800,NA,4,0,3,3,0,32,0,0,0,13,0,0,1,5,1,0,2,0,0,11,35,58,0,8,26,7,0,1,0,0,0,1,0,3,0,10,2,0,1,12,0,0,0,3,1,0,0,0,2,0,1,1,3,0,0,3,0,2,0,0,0,0,1,0,0,4,2,0
810,NA,1,0,5,2,0,12,0,0,1,7,0,0,0,2,2,0,12,0,0,9,47,77,0,3,20,3,0,1,0,0,2,1,1,0,0,4,4,0,0,15,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0
820,NA,1,0,0,2,0,12,2,0,1,3,0,0,0,3,0,0,10,0,1,14,46,68,0,1,33,2,0,2,0,1,0,6,0,0,0,4,1,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,5,1,0
830,NA,0,0,0,0,0,19,3,0,0,2,0,0,0,3,0,0,8,0,0,6,42,81,0,3,23,2,0,0,0,0,4,6,0,1,0,3,2,0,0,8,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,2,3,1,0
840,NA,0,0,0,1,0,10,0,0,0,8,0,0,0,2,1,0,11,1,0,10,41,80,0,13,17,5,0,0,0,0,3,3,0,2,0,5,2,0,1,7,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,1,3,3,0
850,NA,0,0,0,4,0,12,1,0,0,4,0,0,0,1,0,0,9,0,0,4,71,65,0,2,23,1,0,0,0,2,2,4,0,1,0,3,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,4,3,0
860,NA,1,0,2,1,0,17,0,0,0,0,0,0,0,0,0,0,9,0,0,0,84,70,0,0,12,1,0,1,0,0,4,1,0,2,0,3,2,0,0,5,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0
870,NA,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,6,0,0,2,100,51,0,1,13,0,0,0,1,0,5,3,0,0,0,1,1,0,1,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0
880,NA,2,0,1,4,0,26,0,0,0,2,0,2,0,0,0,0,0,0,0,0,63,91,1,1,6,2,0,0,0,0,3,4,0,0,0,2,1,0,0,25,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
890,NA,0,0,0,8,0,21,1,0,0,0,0,0,0,3,0,0,1,0,0,3,62,90,0,2,11,4,0,2,0,0,3,3,0,1,0,3,1,0,1,44,0,0,0,1,0,0,0,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0
898,NA,2,0,1,4,0,13,0,0,0,1,0,0,0,2,0,0,0,0,0,1,72,90,1,2,8,4,0,2,0,0,3,0,0,1,0,6,3,0,1,58,0,0,0,7,0,0,0,0,3,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,3,2,2
910,NA,1,0,2,2,0,18,0,0,0,2,0,0,0,0,0,0,1,0,0,6,59,98,0,0,9,6,0,3,0,0,3,1,0,4,0,5,1,0,2,85,0,0,0,4,0,0,0,0,1,0,0,3,0,1,0,1,0,3,0,0,0,0,0,0,0,5,2,0
920,NA,0,0,0,3,0,15,2,1,0,21,0,0,0,6,0,0,0,0,0,16,61,39,0,8,23,20,0,3,0,0,0,8,0,1,1,16,1,0,1,67,0,0,0,8,1,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,8,7,0
