"sample.depths","sample.ages","Acer.negundo","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.undiff.","Juglans.cinerea","Platanus","Quercus","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Ambrosia","Pinus","Populus","Poaceae","Humulus","Plantago","Rosaceae","Acer.saccharum","Fraxinus.nigra","Ostrya","Artemisia","Picea","Fraxinus.pennsylvanica","Tilia","Larix","Asteraceae.subf..Cichorioideae","Morus","Thalictrum","Iva.annua","Abies","Ranunculus.undiff.","Myrica","Ephedra.nevadensis.type","Celtis","Juglans.nigra","Ericaceae","Galium","Brassicaceae","Lamiaceae","Acer.rubrum","Sarcobatus.vermiculatus","Iva.xanthifolia","Castanea","Ranunculus.subg..Batrachium","Apiaceae"
1,-27,0.00332225913621262,0.109634551495017,0.00332225913621262,0.0166112956810631,0.00332225913621262,0.00332225913621262,0.00664451827242525,0.0166112956810631,0.00332225913621262,0.0166112956810631,0.00332225913621262,0.348837209302326,0.00332225913621262,0.0398671096345515,0.0132890365448505,0.00664451827242525,0.0166112956810631,0.0166112956810631,0.0132890365448505,0.079734219269103,0.149501661129568,0.00332225913621262,0.053156146179402,0.00332225913621262,0.0199335548172757,0.00332225913621262,0.0299003322259136,0.00332225913621262,0.00996677740863787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-15,0.0132890365448505,0.142857142857143,0.00664451827242525,0.00664451827242525,0,0.0132890365448505,0.00332225913621262,0,0.00664451827242525,0.00664451827242525,0,0.332225913621262,0,0.00996677740863787,0.00664451827242525,0,0.026578073089701,0,0,0.0996677740863787,0.20265780730897,0.0132890365448505,0.0598006644518272,0,0,0,0.0299003322259136,0,0.00664451827242525,0.00332225913621262,0.00332225913621262,0.00664451827242525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-1,0,0.108552631578947,0.00657894736842105,0,0,0.00657894736842105,0.00986842105263158,0.00657894736842105,0.0131578947368421,0,0,0.332236842105263,0,0.0296052631578947,0.00657894736842105,0.00328947368421053,0.0493421052631579,0,0.00986842105263158,0.118421052631579,0.167763157894737,0.0131578947368421,0.0592105263157895,0.00328947368421053,0.00328947368421053,0.00986842105263158,0.00657894736842105,0.00657894736842105,0.00657894736842105,0,0.00657894736842105,0.00657894736842105,0.00986842105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,12,0.0033112582781457,0.105960264900662,0,0.00662251655629139,0,0,0.0132450331125828,0.00662251655629139,0.00662251655629139,0,0.0033112582781457,0.245033112582781,0.0033112582781457,0.00993377483443709,0.00662251655629139,0.0033112582781457,0.0165562913907285,0,0.0132450331125828,0.182119205298013,0.195364238410596,0.00993377483443709,0.0860927152317881,0,0.00662251655629139,0,0.0298013245033113,0,0.0198675496688742,0.00662251655629139,0.0033112582781457,0.00662251655629139,0.0033112582781457,0.0033112582781457,0.0033112582781457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,26,0,0.099009900990099,0,0.0165016501650165,0,0.0033003300330033,0.0066006600660066,0,0.0132013201320132,0,0.0033003300330033,0.227722772277228,0.0099009900990099,0,0.0165016501650165,0.0099009900990099,0.0264026402640264,0,0.0132013201320132,0.211221122112211,0.168316831683168,0.0066006600660066,0.125412541254125,0,0,0,0.0165016501650165,0.0033003300330033,0.0033003300330033,0.0033003300330033,0.0033003300330033,0.0099009900990099,0,0,0.0033003300330033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,39,0,0.108552631578947,0.0164473684210526,0.00986842105263158,0.00328947368421053,0.0131578947368421,0.00328947368421053,0.0230263157894737,0.0131578947368421,0,0,0.194078947368421,0.00986842105263158,0.00328947368421053,0.0131578947368421,0.00657894736842105,0.0427631578947368,0.00328947368421053,0.00657894736842105,0.0921052631578947,0.292763157894737,0.00657894736842105,0.0789473684210526,0,0.00328947368421053,0,0.0131578947368421,0.00657894736842105,0.0164473684210526,0.00328947368421053,0,0.00657894736842105,0,0,0,0.00328947368421053,0.00328947368421053,0.00328947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,53,0,0.0897009966777409,0.0199335548172757,0.00332225913621262,0.00332225913621262,0.00996677740863787,0.00664451827242525,0.0232558139534884,0.00996677740863787,0.00996677740863787,0,0.196013289036545,0,0,0.0465116279069767,0,0.0398671096345515,0,0.00664451827242525,0.0631229235880399,0.3421926910299,0,0.0398671096345515,0,0,0,0.0299003322259136,0.00332225913621262,0.0365448504983389,0,0.00664451827242525,0.00664451827242525,0,0,0,0,0,0,0.00332225913621262,0.00332225913621262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,66,0,0.0714285714285714,0.012987012987013,0,0,0.00974025974025974,0.00974025974025974,0.0194805194805195,0.012987012987013,0.00324675324675325,0,0.142857142857143,0.0064935064935065,0.00324675324675325,0.025974025974026,0.00324675324675325,0.0324675324675325,0,0.025974025974026,0.0649350649350649,0.422077922077922,0,0.0681818181818182,0,0,0,0.025974025974026,0.00324675324675325,0.0227272727272727,0.00324675324675325,0,0.00974025974025974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,0,0.133333333333333,0,0.01,0,0.00333333333333333,0,0.0233333333333333,0,0,0.00333333333333333,0.156666666666667,0.01,0.0133333333333333,0.0433333333333333,0.00333333333333333,0.0233333333333333,0,0.0233333333333333,0.0833333333333333,0.346666666666667,0.00333333333333333,0.0366666666666667,0,0,0,0.04,0,0.03,0,0.00666666666666667,0,0.00333333333333333,0,0,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
90,93,0,0.0953947368421053,0.00986842105263158,0.00328947368421053,0,0.0131578947368421,0.00986842105263158,0.0493421052631579,0.0131578947368421,0,0,0.144736842105263,0,0,0.055921052631579,0.00328947368421053,0.0460526315789474,0,0.0131578947368421,0.0197368421052632,0.398026315789474,0.00328947368421053,0.0197368421052632,0.00328947368421053,0,0,0.0328947368421053,0.00328947368421053,0.0427631578947368,0,0,0.00986842105263158,0,0,0,0,0,0,0.00657894736842105,0,0,0.00328947368421053,0,0,0,0,0,0,0,0,0,0,0,0
100,425,0,0.0231023102310231,0.0033003300330033,0,0,0.0033003300330033,0.0396039603960396,0.0396039603960396,0.0099009900990099,0,0,0.0858085808580858,0,0.0099009900990099,0.066006600660066,0.0033003300330033,0.0198019801980198,0,0.132013201320132,0,0.445544554455446,0.0066006600660066,0.0297029702970297,0,0,0,0.0363036303630363,0.0066006600660066,0.0165016501650165,0,0.0132013201320132,0.0033003300330033,0,0,0,0,0,0,0,0,0,0,0.0033003300330033,0.0033003300330033,0,0,0,0,0,0,0,0,0,0
120,1036,0,0.0517799352750809,0.0161812297734628,0,0,0.00970873786407767,0.0550161812297735,0.0453074433656958,0.0258899676375405,0.00323624595469256,0.00647249190938511,0.200647249190939,0,0.00970873786407767,0.0614886731391586,0.00323624595469256,0.0614886731391586,0.00323624595469256,0.0258899676375405,0.00323624595469256,0.26537216828479,0.0388349514563107,0.0161812297734628,0,0,0,0.0258899676375405,0.0226537216828479,0.0355987055016181,0,0.00323624595469256,0.00323624595469256,0.00323624595469256,0,0,0,0.00323624595469256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1113,0,0.0551948051948052,0.00974025974025974,0,0,0,0.012987012987013,0.038961038961039,0.025974025974026,0.0064935064935065,0.00324675324675325,0.155844155844156,0,0,0.116883116883117,0.00324675324675325,0.051948051948052,0,0.0162337662337662,0,0.337662337662338,0.00324675324675325,0.0162337662337662,0,0,0,0.0357142857142857,0.00974025974025974,0.0487012987012987,0.00324675324675325,0.012987012987013,0.0162337662337662,0.012987012987013,0,0,0,0,0,0.0064935064935065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1190,0,0.0420711974110032,0.0258899676375405,0,0,0.0129449838187702,0,0.15210355987055,0.029126213592233,0.00323624595469256,0.00323624595469256,0.145631067961165,0,0,0.0841423948220065,0.0161812297734628,0.0453074433656958,0,0.00970873786407767,0,0.26537216828479,0.00323624595469256,0.00323624595469256,0,0,0,0.0614886731391586,0.0226537216828479,0.0161812297734628,0.00323624595469256,0.0388349514563107,0.00647249190938511,0.00323624595469256,0.00323624595469256,0,0,0,0,0.00323624595469256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1267,0,0.0194805194805195,0.0292207792207792,0.00324675324675325,0.00324675324675325,0,0.0064935064935065,0.0746753246753247,0.025974025974026,0.012987012987013,0.00324675324675325,0.178571428571429,0,0.00324675324675325,0.149350649350649,0.00974025974025974,0.0487012987012987,0,0.038961038961039,0.00324675324675325,0.227272727272727,0.00324675324675325,0.012987012987013,0,0,0,0.0584415584415584,0.00974025974025974,0.0162337662337662,0.00324675324675325,0.0064935064935065,0.0162337662337662,0.0227272727272727,0.00324675324675325,0,0,0.00324675324675325,0.00324675324675325,0,0,0,0,0,0.00324675324675325,0,0,0,0,0,0,0,0,0,0
160,1343,0,0.0224358974358974,0.0224358974358974,0,0,0.00961538461538462,0.00641025641025641,0.0480769230769231,0.0384615384615385,0.00641025641025641,0.0128205128205128,0.189102564102564,0,0.00641025641025641,0.092948717948718,0.0128205128205128,0.0288461538461538,0,0.016025641025641,0,0.358974358974359,0.00641025641025641,0.00320512820512821,0,0,0,0.0224358974358974,0.0256410256410256,0.0512820512820513,0,0.00320512820512821,0.0128205128205128,0,0,0,0,0.00320512820512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1420,0,0.0297029702970297,0.0198019801980198,0,0,0,0.0231023102310231,0.128712871287129,0.0099009900990099,0.0066006600660066,0.0033003300330033,0.165016501650165,0,0.0033003300330033,0.184818481848185,0,0.033003300330033,0,0.0165016501650165,0,0.244224422442244,0,0.0066006600660066,0,0,0,0.0363036303630363,0.0066006600660066,0.0231023102310231,0,0.0231023102310231,0.0033003300330033,0.0297029702970297,0,0,0,0,0,0,0,0,0,0,0,0.0033003300330033,0,0,0,0,0,0,0,0,0
180,1497,0,0.0338983050847458,0.0101694915254237,0,0,0,0.00677966101694915,0.132203389830508,0.0169491525423729,0.0135593220338983,0,0.176271186440678,0,0.0101694915254237,0.132203389830508,0.00338983050847458,0.0372881355932203,0,0.023728813559322,0,0.267796610169492,0,0.0203389830508475,0,0,0,0.0305084745762712,0.00677966101694915,0.023728813559322,0.00338983050847458,0.0135593220338983,0.0101694915254237,0.023728813559322,0,0,0,0,0,0.00338983050847458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,1574,0,0.165016501650165,0.0099009900990099,0,0.0033003300330033,0.0165016501650165,0.0165016501650165,0.0561056105610561,0.0099009900990099,0.0099009900990099,0.0066006600660066,0.171617161716172,0,0,0.0363036303630363,0,0.066006600660066,0,0.0198019801980198,0,0.283828382838284,0.0066006600660066,0.0132013201320132,0,0,0,0.0462046204620462,0.0066006600660066,0.0231023102310231,0.0033003300330033,0.0099009900990099,0.0033003300330033,0.0132013201320132,0.0033003300330033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,1651,0,0.0522875816993464,0.00980392156862745,0,0,0.0522875816993464,0.0130718954248366,0.133986928104575,0.0196078431372549,0.0065359477124183,0.00326797385620915,0.140522875816993,0,0,0.065359477124183,0.00326797385620915,0.0849673202614379,0,0.00980392156862745,0,0.235294117647059,0,0.0163398692810458,0,0,0,0.0457516339869281,0.0130718954248366,0.0457516339869281,0.00326797385620915,0.0065359477124183,0.0065359477124183,0.0196078431372549,0,0,0,0.00326797385620915,0,0,0,0,0,0,0,0,0.00326797385620915,0.00326797385620915,0.00326797385620915,0,0,0,0,0,0
210,1727,0,0.0868167202572347,0.022508038585209,0,0,0.0160771704180064,0.0353697749196141,0.0385852090032154,0.0353697749196141,0.0192926045016077,0,0.160771704180064,0,0,0.0643086816720257,0.00643086816720257,0.067524115755627,0,0.0418006430868167,0.00321543408360129,0.282958199356913,0,0.00643086816720257,0,0,0,0.0385852090032154,0.0192926045016077,0.022508038585209,0,0.00643086816720257,0.0160771704180064,0,0,0,0,0.00321543408360129,0,0,0,0,0,0,0.00321543408360129,0,0,0,0,0.00321543408360129,0,0,0,0,0
220,1804,0,0.0584415584415584,0.0422077922077922,0,0,0.0194805194805195,0.00974025974025974,0.123376623376623,0.025974025974026,0,0.0064935064935065,0.107142857142857,0,0.00324675324675325,0.0357142857142857,0.0064935064935065,0.0551948051948052,0,0.0064935064935065,0.0064935064935065,0.266233766233766,0.00324675324675325,0.012987012987013,0,0,0,0.0974025974025974,0.0162337662337662,0.0292207792207792,0.00974025974025974,0.038961038961039,0.00974025974025974,0.00324675324675325,0,0,0,0,0,0.00324675324675325,0,0,0,0,0,0,0,0,0.00324675324675325,0,0,0,0,0,0
230,1881,0,0.0576923076923077,0.00961538461538462,0,0,0.00641025641025641,0.016025641025641,0.102564102564103,0.0352564102564103,0.00320512820512821,0.00320512820512821,0.243589743589744,0,0.00320512820512821,0.0448717948717949,0,0.0352564102564103,0,0.00641025641025641,0,0.217948717948718,0,0,0,0,0,0.0865384615384615,0.0128205128205128,0.0448717948717949,0,0.0288461538461538,0.0224358974358974,0.016025641025641,0,0,0,0,0,0.00320512820512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,1958,0,0.0666666666666667,0.0366666666666667,0,0,0,0,0.0133333333333333,0,0.00333333333333333,0,0.173333333333333,0,0.00333333333333333,0.00666666666666667,0.0133333333333333,0.0133333333333333,0,0.0466666666666667,0.00666666666666667,0.413333333333333,0,0.00666666666666667,0,0,0,0.00666666666666667,0,0.0166666666666667,0.00333333333333333,0.0366666666666667,0,0.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,2035,0,0.0361842105263158,0.00657894736842105,0,0,0.0230263157894737,0.0394736842105263,0.0164473684210526,0.0131578947368421,0,0.00986842105263158,0.157894736842105,0,0.00328947368421053,0.0197368421052632,0.00986842105263158,0.0328947368421053,0,0.0427631578947368,0,0.440789473684211,0.00328947368421053,0.0131578947368421,0,0,0,0.0427631578947368,0.00657894736842105,0.0131578947368421,0.00657894736842105,0.0460526315789474,0.00657894736842105,0.00328947368421053,0,0.00328947368421053,0,0,0,0,0,0,0,0,0,0.00328947368421053,0,0,0,0,0,0,0,0,0
260,2112,0,0.0776699029126214,0.0129449838187702,0,0,0.00647249190938511,0.00647249190938511,0.0679611650485437,0.029126213592233,0.0161812297734628,0.00647249190938511,0.226537216828479,0,0.00970873786407767,0.058252427184466,0.00323624595469256,0.100323624595469,0,0.029126213592233,0,0.216828478964401,0.00323624595469256,0.00323624595469256,0,0,0,0.0420711974110032,0.0161812297734628,0.0388349514563107,0.00970873786407767,0.00323624595469256,0.0129449838187702,0.00323624595469256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,2188,0,0.0524590163934426,0.0229508196721311,0,0,0,0.0262295081967213,0.0459016393442623,0.0163934426229508,0,0.00655737704918033,0.318032786885246,0,0.00327868852459016,0.0131147540983607,0.0098360655737705,0.019672131147541,0,0.0131147540983607,0,0.321311475409836,0,0.0098360655737705,0,0,0,0.0491803278688525,0.00655737704918033,0.0295081967213115,0,0.0229508196721311,0.0098360655737705,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,2265,0,0.0562913907284768,0.00993377483443709,0,0,0.0364238410596026,0.0298013245033113,0.0132450331125828,0.00662251655629139,0,0,0.0728476821192053,0,0,0.00662251655629139,0.00993377483443709,0.0264900662251656,0,0.0629139072847682,0.00662251655629139,0.519867549668874,0,0.0496688741721854,0,0,0,0.00662251655629139,0.00662251655629139,0.0264900662251656,0,0.0397350993377483,0,0.00662251655629139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033112582781457,0.0033112582781457,0,0,0
290,2342,0,0.11038961038961,0.0162337662337662,0,0,0.00974025974025974,0,0.090909090909091,0.025974025974026,0,0.00324675324675325,0.269480519480519,0,0.00324675324675325,0.0616883116883117,0,0.051948051948052,0,0.0227272727272727,0.0064935064935065,0.188311688311688,0.00324675324675325,0.00324675324675325,0,0,0,0.051948051948052,0.0162337662337662,0.038961038961039,0,0.0064935064935065,0.00974025974025974,0.0064935064935065,0.00324675324675325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,2409,0,0.122977346278317,0.0161812297734628,0.00647249190938511,0,0.00647249190938511,0,0.116504854368932,0.029126213592233,0.0194174757281553,0.00323624595469256,0.184466019417476,0,0,0.0485436893203883,0,0.0647249190938511,0.00323624595469256,0.0194174757281553,0,0.210355987055016,0,0.00323624595469256,0,0,0,0.0679611650485437,0.00647249190938511,0.0355987055016181,0,0.00970873786407767,0.0226537216828479,0,0,0,0,0.00323624595469256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,2459,0,0.0941558441558442,0.0162337662337662,0.00324675324675325,0.00324675324675325,0.00974025974025974,0,0.168831168831169,0.025974025974026,0.0064935064935065,0.00324675324675325,0.162337662337662,0,0,0.123376623376623,0,0.0974025974025974,0,0.0064935064935065,0,0.175324675324675,0,0.00324675324675325,0,0,0,0.0454545454545455,0.00974025974025974,0.0194805194805195,0.00324675324675325,0,0.0162337662337662,0.00324675324675325,0,0,0,0,0,0,0,0,0,0,0.00324675324675325,0,0,0,0,0,0,0,0,0,0
320,2509,0,0.108974358974359,0.0224358974358974,0.00320512820512821,0,0.00961538461538462,0.00641025641025641,0.102564102564103,0.0384615384615385,0.00320512820512821,0.00320512820512821,0.153846153846154,0,0,0.0737179487179487,0,0.0416666666666667,0,0.00961538461538462,0,0.291666666666667,0,0.00641025641025641,0,0,0,0.032051282051282,0.0224358974358974,0.0384615384615385,0,0.00320512820512821,0.0224358974358974,0.00320512820512821,0,0,0,0.00320512820512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,2534,0,0.0987261146496815,0.0191082802547771,0,0,0,0.00955414012738853,0.0987261146496815,0.0445859872611465,0.00636942675159236,0,0.165605095541401,0,0,0.0382165605095541,0,0.0477707006369427,0,0.0127388535031847,0,0.292993630573248,0,0,0,0,0,0.0700636942675159,0.0318471337579618,0.0318471337579618,0.00318471337579618,0,0.0127388535031847,0.00955414012738853,0,0,0.00318471337579618,0.00318471337579618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,2559,0,0.0941558441558442,0.0227272727272727,0.00324675324675325,0,0,0.00324675324675325,0.126623376623377,0.025974025974026,0.0064935064935065,0.00974025974025974,0.178571428571429,0,0,0.0649350649350649,0,0.090909090909091,0,0.00974025974025974,0.00324675324675325,0.237012987012987,0,0.0064935064935065,0,0,0,0.0324675324675325,0.00974025974025974,0.0422077922077922,0,0.00324675324675325,0.0162337662337662,0.0064935064935065,0,0,0,0,0,0.00324675324675325,0,0,0,0,0.00324675324675325,0,0,0,0,0,0,0,0,0,0
340,2610,0,0.132911392405063,0.00949367088607595,0,0.00316455696202532,0.00632911392405063,0.00949367088607595,0.123417721518987,0.0474683544303797,0.00632911392405063,0,0.142405063291139,0,0,0.069620253164557,0,0.0664556962025316,0,0.00632911392405063,0,0.186708860759494,0,0,0,0,0,0.0727848101265823,0.0126582278481013,0.0506329113924051,0,0.00316455696202532,0.0348101265822785,0.00316455696202532,0,0,0,0.00316455696202532,0,0.00316455696202532,0,0,0,0,0.00316455696202532,0,0,0,0,0,0.00316455696202532,0,0,0,0
