"sample.depths","sample.ages","Carya","Cephalanthus","Asteraceae.undiff.","Ilex","Quercus","Ambrosia","Myrica","Pinus","Amaranthaceae","Poaceae","Cyperaceae.undiff.","Cupressaceae.Taxaceae","Liquidambar","Rhizophora","Polygonaceae","Nyssa","Apiaceae","Fabaceae","Alnus","Ericaceae","Bursera.simaruba","Bumelia","Salix"
1,-36,0.0048780487804878,0.0097560975609756,0.0097560975609756,0.024390243902439,0.0634146341463415,0.131707317073171,0.117073170731707,0.536585365853659,0.0439024390243902,0.0097560975609756,0.0390243902439024,0.0097560975609756,0,0,0,0,0,0,0,0,0,0,0
3,-19,0,0,0.00719424460431655,0.00359712230215827,0.0323741007194245,0.0899280575539568,0.212230215827338,0.564748201438849,0.0431654676258993,0,0.0251798561151079,0.00359712230215827,0.00359712230215827,0.0143884892086331,0,0,0,0,0,0,0,0,0
5,20,0,0,0,0,0,0.0119760479041916,0.137724550898204,0.81437125748503,0.0179640718562874,0,0.0119760479041916,0,0,0,0.00598802395209581,0,0,0,0,0,0,0,0
7,104,0,0,0,0.00746268656716418,0.00746268656716418,0,0.164179104477612,0.738805970149254,0.0597014925373134,0,0.00746268656716418,0,0,0,0,0.00746268656716418,0.00746268656716418,0,0,0,0,0,0
9,211,0.00225225225225225,0.00225225225225225,0.00225225225225225,0.0135135135135135,0.00675675675675676,0.00225225225225225,0.141891891891892,0.79954954954955,0.0225225225225225,0,0.00225225225225225,0.00225225225225225,0,0,0,0,0,0.00225225225225225,0,0,0,0,0
13,426,0,0,0,0,0.018957345971564,0,0.123222748815166,0.781990521327014,0.037914691943128,0.018957345971564,0,0.004739336492891,0,0,0.009478672985782,0,0,0,0.004739336492891,0,0,0,0
15,533,0.0036101083032491,0,0,0,0.0072202166064982,0,0.155234657039711,0.772563176895307,0.036101083032491,0.0072202166064982,0.0144404332129964,0.0036101083032491,0,0,0,0,0,0,0,0,0,0,0
21,855,0,0,0,0,0.00806451612903226,0,0.201612903225806,0.774193548387097,0.00806451612903226,0,0,0,0,0,0,0,0.00806451612903226,0,0,0,0,0,0
25,1070,0,0,0.0328947368421053,0,0,0.00657894736842105,0.105263157894737,0.782894736842105,0.0131578947368421,0.00657894736842105,0.0263157894736842,0,0,0,0,0.00657894736842105,0,0,0,0.00657894736842105,0.0131578947368421,0,0
29,1284,0,0,0,0,0,0,0.0303030303030303,0.919191919191919,0.0404040404040404,0.0101010101010101,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1737,0,0,0,0,0.0222222222222222,0,0.103703703703704,0.77037037037037,0.0444444444444444,0.0296296296296296,0.00740740740740741,0.00740740740740741,0,0,0,0,0,0.0148148148148148,0,0,0,0,0
41,1967,0,0,0,0.00833333333333333,0,0,0.1,0.808333333333333,0.0333333333333333,0.00833333333333333,0.025,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0
45,2197,0,0,0,0,0,0,0.054421768707483,0.897959183673469,0.0136054421768707,0,0.0204081632653061,0,0,0,0,0,0,0.00680272108843537,0,0,0,0.00680272108843537,0
49,2427,0,0,0,0.005,0.015,0.005,0.11,0.655,0.135,0,0.03,0.015,0,0,0,0,0,0.015,0,0,0.005,0.01,0
51,2542,0,0,0,0,0.0375,0,0.0875,0.7375,0.09375,0.01875,0,0,0,0,0.00625,0,0.00625,0.00625,0,0,0,0,0.00625
55,2779,0,0,0,0,0.01,0.01,0.06,0.63,0.24,0,0,0,0,0,0.01,0,0,0.02,0,0,0,0.02,0
57,2898,0,0,0.0119760479041916,0.00598802395209581,0.0239520958083832,0,0.0838323353293413,0.694610778443114,0.11377245508982,0.0239520958083832,0.0119760479041916,0.0179640718562874,0,0,0,0,0.0119760479041916,0,0,0,0,0,0
61,3136,0,0,0,0.00843881856540084,0.00843881856540084,0.00421940928270042,0.0253164556962025,0.548523206751055,0.383966244725738,0.00421940928270042,0,0,0,0,0.00843881856540084,0,0.00421940928270042,0.00421940928270042,0,0,0,0,0
65,3373,0,0,0,0,0.00714285714285714,0,0.0571428571428571,0.564285714285714,0.285714285714286,0.0285714285714286,0.00714285714285714,0.0142857142857143,0,0.00714285714285714,0.0285714285714286,0,0,0,0,0,0,0,0
69,3610,0,0.00591715976331361,0.00591715976331361,0,0,0,0.0177514792899408,0.497041420118343,0.319526627218935,0.00591715976331361,0.00591715976331361,0,0,0.00591715976331361,0.118343195266272,0,0,0.0177514792899408,0,0,0,0,0
73,3848,0,0,0,0,0,0.00769230769230769,0.0384615384615385,0.369230769230769,0.515384615384615,0.0230769230769231,0.0153846153846154,0,0,0,0.0307692307692308,0,0,0,0,0,0,0,0
75,NA,0,0,0,0,0,0,0.016597510373444,0.319502074688797,0.518672199170125,0.024896265560166,0,0,0,0,0.095435684647303,0,0,0,0,0,0,0,0.024896265560166
