"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Rosaceae","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Acer.pensylvanicum","Acer.spicatum","Juglans.cinerea","Populus.tremuloides.type","Amaranthaceae","Carya.ovata","Castanea.dentata","Juniperus.communis.Thuja.occidentalis.type","Acer.rubrum","Fraxinus.nigra.type","Salix","Myrica.gale","Ilex.Nemopanthus","Acer.saccharinum","Tilia","Taxus","Campanula.type","Thalictrum","Liliaceae","Arceuthobium.pusillum","Populus.balsamifera.type","Polygonum","Viburnum.undiff.","cf..Oxyria.digyna","Caryophyllaceae","Rhus","Onagraceae.undiff.","Shepherdia.canadensis","Viburnum.edule","Brassicaceae","Saxifraga.oppositifolia.type","Fabaceae","Plantago","Ranunculaceae.undiff.","Epilobium","Impatiens"
0,0,538,11,36,1,2,215,3,1,4,4,1,1,2,55,37,4,1,5,3,3,2,16,2,1,6,13,4,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,431,369,7,13,0,1,199,3,2,0,2,1,0,3,34,14,8,0,3,2,1,0,4,1,1,0,7,1,52,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,862,571,8,12,1,1,191,5,1,0,0,2,6,29,71,36,7,0,6,0,2,0,32,3,1,5,21,5,117,2,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1293,471,5,13,1,0,160,1,4,0,0,4,0,0,104,19,12,1,3,3,1,0,39,2,0,11,18,12,54,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1724,476,8,17,2,1,173,3,1,2,0,3,4,20,36,29,8,0,6,0,3,0,18,2,1,6,6,2,118,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2155,460,20,7,0,2,128,2,0,1,1,1,0,0,126,19,4,0,2,0,2,0,47,4,0,15,42,3,31,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2585,468,7,14,0,3,235,4,2,0,0,2,0,1,55,22,2,1,2,2,0,0,12,4,0,3,12,1,77,0,0,0,1,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3164,402,18,11,0,3,136,4,5,3,0,6,0,0,74,18,8,1,4,0,2,0,40,2,0,7,19,3,32,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3743,553,13,26,2,1,230,1,0,0,0,3,2,0,82,26,4,1,2,0,1,0,27,4,0,1,21,2,93,1,1,0,2,0,0,1,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4322,442,1,37,0,2,217,3,1,1,0,2,1,3,50,19,4,0,3,0,2,0,16,4,0,8,27,1,34,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4900,544,3,24,0,2,256,1,1,0,0,1,1,0,56,50,7,0,4,1,2,0,15,2,0,6,31,3,70,0,1,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,5479,285,2,25,0,0,153,1,1,1,1,1,0,0,31,11,6,0,1,2,0,0,7,1,1,2,14,1,17,0,2,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,6058,530,3,54,1,2,274,2,1,2,0,2,0,0,49,23,5,0,2,0,0,1,8,4,1,7,27,1,56,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,6636,671,1,50,5,1,343,4,0,1,1,2,0,0,75,32,9,0,2,0,0,0,8,4,0,20,53,0,51,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,7215,649,4,51,4,0,392,3,0,2,0,0,0,1,36,38,7,0,4,1,0,0,11,1,1,5,24,1,57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,7794,593,0,214,1,3,275,0,0,0,0,1,0,2,27,9,5,1,1,0,0,0,16,0,0,4,12,1,14,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,8415,625,15,326,1,3,169,1,0,0,0,0,0,0,23,13,14,2,2,0,2,0,1,1,0,2,10,0,24,0,0,0,10,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,9036,337,3,161,3,0,111,1,0,2,0,0,0,0,22,2,8,0,1,0,0,0,0,0,0,0,7,0,11,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,9658,671,11,231,3,1,227,3,0,0,0,1,1,0,43,31,14,3,1,1,1,1,4,2,0,8,15,2,48,0,0,0,9,0,0,1,0,0,2,3,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
95,10279,503,0,201,1,1,179,4,0,0,0,0,0,2,27,9,17,1,0,0,4,2,2,1,0,10,5,1,21,0,0,0,6,2,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
