"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Carya","Asteraceae.undiff.","Ericaceae","Fagus","Larix","Picea.glauca.type","Picea.mariana.type","Quercus","Rumex","Salix","Tsuga","Alnus","Acer","Ambrosia","Poaceae","Pinus.banksiana.type","Pinus.strobus","Picea.undiff.","Cyperaceae","Ostrya.Carpinus","Ranunculaceae.undiff.","Viburnum","Corylus","Fraxinus","Plantago","Ilex","Pinus.undiff.","Juniperus.Thuja","Populus","Asteraceae.subf..Asteroideae.undiff.","Juglans","Ulmus","Myrica","Polygonaceae.undiff.","Saxifragaceae","Rosaceae.undiff.","Platanus","Thalictrum","Epilobium","Potentilla","Fabaceae","Amaranthaceae","Tilia"
0,-26,267,13,1,27,1,1,13,1,1,44,52,1,4,1,6,7,1,2,42,13,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,22,287,5,1,120,0,1,16,6,0,3,19,8,18,0,5,9,2,6,22,21,8,12,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,71,266,14,0,101,0,0,13,15,1,13,22,9,22,0,12,8,0,1,7,8,3,7,5,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,285,221,1,2,116,0,0,9,1,0,8,3,16,0,0,21,3,1,1,3,9,12,4,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,665,269,5,0,104,0,0,41,1,0,0,0,20,0,0,17,1,2,0,0,0,32,15,0,5,0,0,2,0,0,1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1046,267,3,1,102,0,0,41,4,0,0,0,16,0,0,14,3,0,0,1,0,30,14,0,5,0,0,0,0,0,0,31,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1426,288,2,0,140,0,0,56,0,0,0,0,8,0,0,10,5,2,0,0,0,35,17,0,3,0,0,0,1,0,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,1806,223,0,1,115,0,0,3,1,0,4,2,9,0,0,3,0,2,0,0,36,43,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,2567,251,3,1,90,0,0,20,1,0,0,0,16,0,0,11,5,0,0,1,0,33,11,0,12,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2947,300,3,2,59,0,0,15,0,0,0,0,9,0,0,84,7,3,1,0,0,37,13,1,4,0,0,0,1,0,1,55,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
