"sample.depths","sample.ages","Abies","Acer.saccharum.type","Alnus","Betula","Carya","Cupressaceae","Ephedra.torreyana.type","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Larix","Ostrya","Picea","Pinus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiineae","Cyperaceae","Plantago","Poaceae","Thalictrum"
0,-50,0,0.033003300330033,0.0033003300330033,0.254125412541254,0.0462046204620462,0,0,0,0.0132013201320132,0.0495049504950495,0.0099009900990099,0,0.0132013201320132,0.0033003300330033,0.132013201320132,0.0099009900990099,0.105610561056106,0.0033003300330033,0,0.0033003300330033,0.0066006600660066,0.118811881188119,0,0.0033003300330033,0.0033003300330033,0,0.0099009900990099,0.0033003300330033,0.0066006600660066,0.168316831683168,0
10,1277,0,0.07380073800738,0,0.011070110701107,0.011070110701107,0.018450184501845,0,0,0.011070110701107,0.018450184501845,0.003690036900369,0.044280442804428,0.011070110701107,0.003690036900369,0.346863468634686,0.011070110701107,0.055350553505535,0,0.022140221402214,0.044280442804428,0.014760147601476,0.177121771217712,0,0,0.007380073800738,0.018450184501845,0.03690036900369,0.022140221402214,0,0.03690036900369,0
20,2604,0,0.0341463414634146,0,0.0048780487804878,0.0097560975609756,0,0,0,0.0048780487804878,0.0097560975609756,0.0048780487804878,0.0146341463414634,0.0048780487804878,0,0.717073170731707,0.0048780487804878,0.0390243902439024,0,0.0048780487804878,0.102439024390244,0.0195121951219512,0.0097560975609756,0,0,0,0,0.0048780487804878,0,0,0.0097560975609756,0
30,3931,0,0.123809523809524,0,0.157142857142857,0.0285714285714286,0.00476190476190476,0,0,0.0714285714285714,0.0476190476190476,0.0142857142857143,0.00476190476190476,0.0333333333333333,0.00476190476190476,0.238095238095238,0.00476190476190476,0.0666666666666667,0,0.0666666666666667,0.0666666666666667,0.0238095238095238,0.00952380952380952,0,0,0,0,0.00952380952380952,0,0,0.0238095238095238,0
40,5257,0,0.0344827586206897,0,0.083743842364532,0.00985221674876847,0.00492610837438424,0,0,0.00985221674876847,0.0344827586206897,0,0.00492610837438424,0.00492610837438424,0,0.596059113300493,0.00985221674876847,0.157635467980296,0,0.0147783251231527,0.0197044334975369,0,0.00492610837438424,0,0,0,0,0,0.00492610837438424,0,0.00492610837438424,0
45,5626,0,0.102127659574468,0.00851063829787234,0.123404255319149,0.0127659574468085,0.0212765957446809,0,0,0.0340425531914894,0,0.00851063829787234,0,0.0340425531914894,0,0.161702127659574,0.025531914893617,0.102127659574468,0,0.0340425531914894,0.0808510638297872,0.0808510638297872,0.00425531914893617,0.119148936170213,0.00425531914893617,0,0,0.00425531914893617,0.0170212765957447,0,0.0212765957446809,0
50,5995,0.009009009009009,0,0,0.018018018018018,0,0,0,0,0,0.0135135135135135,0,0.0135135135135135,0.027027027027027,0.009009009009009,0.68018018018018,0.009009009009009,0.0855855855855856,0,0,0.0135135135135135,0.018018018018018,0,0,0,0,0,0,0.0990990990990991,0,0.0045045045045045,0
60,6733,0.0148514851485149,0,0,0.0297029702970297,0,0.00495049504950495,0,0,0,0.0099009900990099,0.00495049504950495,0.00495049504950495,0,0.0099009900990099,0.806930693069307,0.00495049504950495,0.0841584158415842,0,0,0.0099009900990099,0.0099009900990099,0,0,0,0,0,0,0,0,0.00495049504950495,0
80,8209,0.04,0,0,0.02,0.005,0.005,0,0,0,0.01,0,0.005,0,0.01,0.81,0,0.05,0,0.005,0,0,0,0,0.005,0,0,0,0.025,0,0.01,0
90,8947,0.0148514851485149,0,0,0.0396039603960396,0,0,0,0,0,0.00495049504950495,0,0.0148514851485149,0.00495049504950495,0.0247524752475248,0.871287128712871,0,0.0148514851485149,0,0,0,0,0,0,0,0,0,0,0.0099009900990099,0,0,0
95,9316,0.0248756218905473,0,0.00497512437810945,0.0348258706467662,0,0,0,0,0,0,0,0.0149253731343284,0.00497512437810945,0.0199004975124378,0.865671641791045,0,0.0099502487562189,0,0,0,0.0149253731343284,0,0,0,0,0,0,0.00497512437810945,0,0,0
100,9685,0.0099009900990099,0,0,0.0396039603960396,0,0.00495049504950495,0,0,0,0,0.00495049504950495,0.0148514851485149,0.0099009900990099,0.0247524752475248,0.841584158415842,0.00495049504950495,0.0247524752475248,0,0,0,0.0148514851485149,0,0,0,0,0,0,0.00495049504950495,0,0,0
110,10423,0.0256410256410256,0.00512820512820513,0,0.082051282051282,0.00512820512820513,0.0102564102564103,0,0,0,0,0,0,0.0205128205128205,0.0205128205128205,0.63076923076923,0.0205128205128205,0.102564102564103,0,0,0,0.0461538461538462,0,0,0.00512820512820513,0,0,0,0.0205128205128205,0,0.00512820512820513,0
120,NA,0.00938967136150235,0.00938967136150235,0,0.0375586854460094,0,0.0234741784037559,0,0,0,0.0234741784037559,0.00469483568075117,0.00469483568075117,0.0422535211267606,0.0516431924882629,0.629107981220657,0.0187793427230047,0.0845070422535211,0,0,0,0.0234741784037559,0,0,0.00469483568075117,0.00469483568075117,0,0,0.0234741784037559,0,0.00469483568075117,0
130,NA,0,0.00966183574879227,0,0.0241545893719807,0.00966183574879227,0,0,0,0,0.0193236714975845,0.00483091787439614,0.00966183574879227,0.0434782608695652,0.0917874396135266,0.647342995169082,0,0.072463768115942,0.00966183574879227,0,0.00966183574879227,0.00483091787439614,0,0,0,0.0144927536231884,0,0,0.0193236714975845,0,0.00966183574879227,0
