"sample.depths","sample.ages","Ambrosia.type","Artemisia","Betula","Cupressaceae","Cyperaceae","Picea","Asteraceae.subf..Asteroideae.undiff.","Fraxinus","Pinus","Amaranthaceae","Poaceae","Quercus","Salix","Alnus","Populus","Polygonaceae","Abies","Thalictrum","Apiaceae","Larix","Ranunculaceae.undiff.","Malvaceae","Ulmus","Onagraceae","Ostrya.Carpinus","Portulacaceae","Liliaceae","Ribes","Rosaceae","Polemoniaceae","Fabaceae","Carya","Juglans","Caryophyllaceae","Corylus"
450,NA,0.00673400673400673,0.00336700336700337,0.00336700336700337,0.0168350168350168,0.336700336700337,0.558922558922559,0.0101010101010101,0.00336700336700337,0.0202020202020202,0.00673400673400673,0.0336700336700337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,NA,0.00677966101694915,0.00338983050847458,0.00677966101694915,0.0203389830508475,0.176271186440678,0.491525423728814,0.00677966101694915,0,0.213559322033898,0.00677966101694915,0.0372881355932203,0.00677966101694915,0.00677966101694915,0.0101694915254237,0.00338983050847458,0.00338983050847458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,NA,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.0134228187919463,0.157718120805369,0.550335570469799,0.0268456375838926,0,0.167785234899329,0.0100671140939597,0.0335570469798658,0.0100671140939597,0,0.00671140939597315,0.00335570469798658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,NA,0.00332225913621262,0.00664451827242525,0.00332225913621262,0.00996677740863787,0.0963455149501661,0.534883720930233,0.0132890365448505,0,0.322259136212625,0,0.00996677740863787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,NA,0.0100334448160535,0.0100334448160535,0.0133779264214047,0,0.123745819397993,0.431438127090301,0.0234113712374582,0,0.341137123745819,0,0.0234113712374582,0.0133779264214047,0,0.00668896321070234,0,0,0.00334448160535117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,NA,0.0167224080267559,0.0100334448160535,0.00668896321070234,0.0234113712374582,0.0836120401337793,0.441471571906354,0.0100334448160535,0,0.364548494983278,0,0.0267558528428094,0.0100334448160535,0,0.00334448160535117,0,0.00334448160535117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,NA,0.020066889632107,0.00668896321070234,0.00668896321070234,0.0133779264214047,0.187290969899666,0.351170568561873,0.0133779264214047,0,0.347826086956522,0,0.0133779264214047,0.0301003344481605,0,0.00334448160535117,0,0,0,0.00334448160535117,0.00334448160535117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,NA,0.0232558139534884,0.00664451827242525,0,0.00332225913621262,0.0897009966777409,0.541528239202658,0.0132890365448505,0,0.255813953488372,0.00332225913621262,0.026578073089701,0.0232558139534884,0.00332225913621262,0,0,0,0,0.00332225913621262,0.00332225913621262,0.00332225913621262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,24287,0.0101010101010101,0.00673400673400673,0.00673400673400673,0.0134680134680135,0.232323232323232,0.272727272727273,0.0168350168350168,0,0.383838383838384,0.00673400673400673,0.0235690235690236,0.0134680134680135,0,0.00336700336700337,0,0,0,0,0.00673400673400673,0,0.00336700336700337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,24625,0.0170068027210884,0,0.00340136054421769,0.0238095238095238,0.200680272108844,0.149659863945578,0.0374149659863946,0,0.496598639455782,0.0170068027210884,0.0136054421768707,0.0102040816326531,0.00680272108843537,0,0.00340136054421769,0,0,0,0.0102040816326531,0,0,0.00340136054421769,0.00340136054421769,0.00340136054421769,0,0,0,0,0,0,0,0,0,0,0
