"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brasenia.schreberi","Brassicaceae","Carya","Castanea","Comptonia.peregrina","Cornus","Corylus","Cyperaceae","Dalea.purpurea","Dryopteris.type","Ephedra.trifurca.type","Ephedra.viridis.type","Epilobium","Equisetum","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica","Humulus","Isoëtes","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Juniperus.type","Lamiaceae","Larix","Lycopodium.type","Menyanthes.trifoliata","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya","Parthenocissus","Picea","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Pinus.subg..Pinus","Pinus.subg..Strobus","Plantago","Platanus","Poaceae","Polygonum","Populus.balsamifera","Populus.tremuloides.type","Populus.undiff.","Potamogetonaceae","Potentilla","Pteridium","Quercus","Ranunculus","Rhus","Rosaceae.undiff.","Rubiaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urticaceae","Utricularia","Viburnum","Vitis","Xanthium","Zanthoxylum"
105,18,4,1,1,0,24,21,73,0,7,2,0,60,0,1,0,0,0,0,0,4,3,0,2,0,0,0,0,1,0,1,5,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,0,0,6,19,88,9,41,1,0,41,0,0,0,1,1,1,1,34,0,0,1,0,5,2,5,0,1,0,0,0,0,0,2,6,1,0,0,0,0,0,0
115,54,3,1,0,1,17,3,25,0,3,1,0,48,0,3,0,0,0,0,0,2,6,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,7,16,114,6,44,0,0,23,0,0,0,0,0,0,4,13,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
125,117,9,0,0,3,5,1,3,0,2,0,0,64,0,3,0,0,0,0,0,1,4,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,14,161,4,46,0,0,4,0,0,0,1,2,0,1,15,0,0,0,0,0,5,1,0,1,0,0,0,2,0,2,3,0,0,0,0,0,0,0
135,208,8,0,0,0,9,0,3,0,1,0,0,30,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,5,21,193,5,45,0,0,4,0,0,0,0,0,0,0,8,0,0,1,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
145,300,4,0,0,0,15,0,4,0,3,0,0,46,0,2,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,40,160,10,40,0,0,3,0,0,1,0,1,0,1,9,0,0,0,0,0,4,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
155,391,8,0,0,1,13,0,6,1,0,3,0,39,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,15,178,4,46,0,0,4,0,0,0,0,1,0,2,10,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
170,528,14,1,0,0,9,1,4,0,4,0,0,47,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,23,165,6,44,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0
180,619,7,0,0,0,25,1,3,0,2,1,0,50,0,3,0,0,0,0,0,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,35,140,10,40,0,0,2,0,0,1,0,0,0,1,13,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
190,710,6,0,0,0,7,3,3,0,5,3,0,50,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,2,0,6,11,165,3,47,0,0,3,0,0,0,1,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
200,801,0,1,1,0,2,1,4,0,4,1,0,30,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,4,19,292,3,47,0,0,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
210,892,3,0,0,2,4,2,4,0,4,0,0,46,0,1,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,2,0,4,35,160,9,41,0,0,8,0,0,0,0,0,0,2,10,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
220,984,4,3,0,0,10,0,2,0,7,1,0,48,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,10,36,142,10,40,0,0,6,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
230,1075,5,0,1,1,11,0,0,0,1,1,0,49,0,0,0,0,0,0,0,1,13,0,3,0,0,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,3,0,9,41,128,12,38,0,0,5,0,0,0,0,1,0,0,19,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
240,1166,7,0,0,1,4,1,1,0,1,0,0,24,0,2,0,0,0,0,0,0,6,0,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,4,28,209,6,44,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
250,1257,6,2,0,1,8,1,3,0,2,0,0,50,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,5,0,3,15,170,4,46,0,0,3,0,0,0,0,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
260,1348,3,0,0,2,5,1,0,0,0,0,0,45,0,3,0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,1,48,168,11,39,0,0,3,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
270,1440,2,2,1,1,10,1,1,0,3,0,0,50,0,6,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,24,178,6,44,0,0,3,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
280,1531,4,0,0,0,6,0,4,0,3,2,0,33,0,5,0,0,0,0,0,1,5,0,3,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,4,95,202,16,34,0,0,6,0,0,0,0,0,0,1,20,0,0,0,0,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
290,1622,3,1,0,1,7,0,4,0,3,2,0,28,0,5,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,4,64,149,15,35,0,0,2,0,0,2,0,0,0,1,15,0,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
300,1713,4,0,0,1,9,1,2,0,3,0,0,32,0,5,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,43,170,10,40,0,0,0,0,1,0,0,1,0,0,12,0,0,1,0,0,2,2,0,1,0,0,0,1,1,0,2,1,1,0,0,1,0,0
310,1804,2,0,1,0,5,1,3,0,4,1,0,37,0,12,0,0,0,0,0,1,11,0,6,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,2,27,168,7,43,0,0,6,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0
