"sample.depths","sample.ages","Acer.negundo","Alnus.incana.type","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Euphorbia","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Larix","Lycopus.type","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.tremuloides.type","Quercus","Salix","Salsola","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Ambrosia","Ostrya.type","Poaceae","Humulus","Cyperaceae.undiff.","Iva.xanthifolia","Rosaceae","Caryophyllaceae","Asteraceae.subf..Cichorioideae","Dalea.purpurea","Alnus.viridis.type","Acer.rubrum","Cupressaceae","Sarcobatus.vermiculatus","Tilia","Ephedra","Amorpha","Tsuga","Apiaceae","Acer.saccharum","Thalictrum","Polygonum.arenastrum.type","Juglans.nigra","Vitis","Xanthium","Rumex","Fagus","Carya","Acer.pensylvanicum","Populus.balsamifera.type","Galium","Abies","Brassicaceae","Portulaca","Cornus","Rhus","Polygonum.viviparum.type","Shepherdia.argentea","Shepherdia.canadensis","Polygonum.amphibium","Polygonum.lapathifolium.type","Ranunculaceae.undiff."
383.5,-31,0.0219378427787934,0.0292504570383912,0.0402193784277879,0.0658135283363803,0.0548446069469835,0.0109689213893967,0.0804387568555759,0.0109689213893967,0.0036563071297989,0.0036563071297989,0.0146252285191956,0.00731261425959781,0.00731261425959781,0.106032906764168,0.0036563071297989,0.0712979890310786,0.0036563071297989,0.0255941499085923,0.0109689213893967,0.0146252285191956,0.0109689213893967,0.00731261425959781,0.00731261425959781,0.190127970749543,0.0109689213893967,0.0987202925045704,0.00731261425959781,0.0731261425959781,0.0036563071297989,0.0036563071297989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,2,0.0194489465153971,0.0226904376012966,0.0421393841166937,0.0713128038897893,0.0129659643435981,0.0162074554294976,0,0,0,0,0.0162074554294976,0,0,0.0356564019448947,0.00324149108589951,0.0923824959481361,0,0.00648298217179903,0.158833063209076,0.0129659643435981,0,0.0259319286871961,0.0324149108589951,0.291734197730956,0.00324149108589951,0.0810372771474878,0,0.0259319286871961,0,0,0.0226904376012966,0.00324149108589951,0.00324149108589951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,67,0.0032,0.048,0.0448,0.08,0.0416,0.0224,0.0032,0.016,0,0,0.0032,0.0032,0.016,0.0576,0.0064,0.072,0,0.0032,0.1536,0.0128,0,0,0.016,0.2336,0.0192,0.1056,0,0.0288,0.0032,0,0,0,0.0032,0.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,214,0.0028328611898017,0.0623229461756374,0.0509915014164306,0.104815864022663,0.0113314447592068,0.0368271954674221,0,0.0113314447592068,0,0.0028328611898017,0.0368271954674221,0.0056657223796034,0.0226628895184136,0.0963172804532578,0.0169971671388102,0.0736543909348442,0.0028328611898017,0.0311614730878187,0.158640226628895,0.0113314447592068,0,0,0.028328611898017,0.056657223796034,0.0339943342776204,0.0481586402266289,0,0.0481586402266289,0.0169971671388102,0.0028328611898017,0,0,0,0,0.0056657223796034,0.0056657223796034,0.0084985835694051,0.0056657223796034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,445,0.00341296928327645,0.0819112627986348,0.037542662116041,0.116040955631399,0,0.0443686006825939,0,0,0.0102389078498294,0,0.00341296928327645,0.00341296928327645,0.0119453924914676,0.0170648464163823,0.0102389078498294,0.107508532423208,0,0.0204778156996587,0.197952218430034,0.0170648464163823,0,0.00341296928327645,0.0238907849829352,0.0409556313993174,0.068259385665529,0.102389078498294,0,0.0443686006825939,0,0,0.0102389078498294,0,0,0.0102389078498294,0,0.00341296928327645,0,0.00341296928327645,0.00341296928327645,0.00341296928327645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,675,0,0.0399334442595674,0.0199667221297837,0.166389351081531,0.00665557404326123,0.0266222961730449,0,0.0232945091514143,0.00665557404326123,0,0.00998336106489185,0,0.0133111480865225,0.0266222961730449,0.0166389351081531,0.0848585690515807,0,0,0.256239600665557,0.00998336106489185,0,0,0.0332778702163062,0.0798668885191348,0.0266222961730449,0.0831946755407654,0,0.0299500831946755,0.00665557404326123,0,0,0,0,0.0133111480865225,0,0.00332778702163062,0,0.00332778702163062,0,0.00332778702163062,0.00332778702163062,0.00332778702163062,0.00332778702163062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,905,0.0065040650406504,0.032520325203252,0.0357723577235772,0.133333333333333,0.0097560975609756,0.0097560975609756,0.0065040650406504,0,0,0,0.0130081300813008,0.0032520325203252,0.0130081300813008,0.094308943089431,0.0097560975609756,0.0471544715447154,0,0.0097560975609756,0.289430894308943,0.0130081300813008,0,0.0032520325203252,0.0227642276422764,0.0357723577235772,0.0097560975609756,0.113821138211382,0,0.0715447154471545,0.0032520325203252,0,0,0,0,0,0,0.0032520325203252,0.0032520325203252,0.0032520325203252,0,0,0,0,0,0.0032520325203252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,1136,0.00686106346483705,0.0137221269296741,0.0411663807890223,0.0548885077186964,0.00686106346483705,0.00686106346483705,0.00343053173241852,0,0.00686106346483705,0,0,0,0.0137221269296741,0.0137221269296741,0,0.0943396226415094,0,0.0137221269296741,0.23327615780446,0.00343053173241852,0,0.0102915951972556,0.0102915951972556,0.0445969125214408,0.0102915951972556,0.322469982847341,0,0.072041166380789,0,0,0.0137221269296741,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00343053173241852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624,1366,0,0.0190779014308426,0.041335453100159,0.0794912559618442,0.0286168521462639,0.0222575516693164,0.0095389507154213,0.0095389507154213,0,0.00317965023847377,0.00317965023847377,0,0,0.0254372019077901,0,0.0365659777424483,0,0.00635930047694754,0.289348171701113,0.0095389507154213,0,0,0.0095389507154213,0.0317965023847377,0.0190779014308426,0.324324324324324,0,0.0317965023847377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656,1597,0,0.012453300124533,0.0473225404732254,0.0473225404732254,0.0049813200498132,0.012453300124533,0.0099626400996264,0.0049813200498132,0.0024906600249066,0,0.0024906600249066,0,0.0024906600249066,0.0398505603985056,0.0049813200498132,0.0186799501867995,0,0.0024906600249066,0.146948941469489,0.0074719800747198,0,0,0.0049813200498132,0.0174346201743462,0.0099626400996264,0.51307596513076,0,0.0547945205479452,0.012453300124533,0,0,0,0,0,0.0024906600249066,0,0,0.0024906600249066,0,0,0,0.0024906600249066,0,0.0049813200498132,0,0.0024906600249066,0.0024906600249066,0.0024906600249066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
