"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Betula","Carya","Castanea","Cephalanthus","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Liquidambar","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.subg..Pinus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Galium","Iva.annua.type","Plantago","Poaceae","Polygonaceae.undiff.","Rosaceae","Rumex","Thalictrum","Xanthium"
1,-36,609,0,10,8,16,162,6,2,0,0,1,0,2,22,8,3,2,2,0,0,0,0,8,0,2,10,37,18,27,1,0,139,0,2,0,38,2,0,24,2,3,0,0,3,0,0,0,32,0,0,16,1,0
3,-24,571,0,10,8,1,160,2,5,0,0,0,3,3,39,3,3,0,3,2,2,0,0,5,0,0,10,35,2,25,2,5,121,0,2,2,64,10,0,8,0,2,3,0,2,0,1,0,18,0,0,10,0,0
5,-11,579,2,15,12,2,187,8,5,0,0,0,3,1,43,3,0,3,2,0,2,0,0,9,0,2,14,21,9,41,3,2,92,0,0,0,46,3,2,17,0,5,0,2,0,0,0,0,14,0,1,8,0,0
7,1,635,0,9,6,5,164,8,8,0,0,0,2,0,26,4,2,3,0,0,2,0,0,9,0,5,11,34,9,31,2,0,153,0,0,0,57,2,1,34,2,3,0,0,2,0,0,2,28,1,0,10,0,0
9,13,639,0,8,9,5,187,1,11,0,1,2,0,2,37,8,0,2,3,2,0,0,0,5,0,3,12,23,17,35,0,3,115,0,3,0,57,8,0,28,2,0,1,0,6,0,0,0,21,2,0,20,0,0
11,26,598,2,8,3,3,151,2,5,0,0,0,0,2,38,6,2,0,2,1,3,0,0,8,0,5,11,32,8,53,0,2,112,0,0,0,50,5,2,32,2,0,0,0,2,0,0,0,22,2,3,19,0,0
13,38,681,3,17,11,11,191,5,9,0,0,4,3,5,26,10,5,2,4,2,3,0,0,2,0,7,6,47,9,17,2,2,113,0,2,0,49,5,0,38,4,2,0,0,2,0,0,0,47,0,0,16,0,0
15,51,655,2,5,12,11,187,2,6,0,0,0,2,8,46,9,5,0,0,0,3,0,0,3,0,3,11,43,3,31,0,2,141,0,3,0,26,5,0,34,0,6,0,0,2,0,0,2,29,0,0,12,0,1
17,63,672,2,8,6,11,199,0,11,0,0,0,5,3,32,11,0,0,3,1,2,0,0,5,0,5,13,31,3,31,0,2,124,0,4,0,50,14,1,35,1,4,0,3,5,0,0,0,24,0,0,23,0,0
19,76,683,0,12,5,6,207,3,11,0,0,2,6,2,43,5,3,0,3,1,0,2,0,11,0,2,10,41,24,18,2,3,98,0,2,0,44,9,0,27,4,2,0,0,3,0,0,0,40,0,1,31,0,0
21,88,664,2,9,3,12,194,2,11,1,0,0,2,0,49,5,0,0,2,0,0,0,0,12,0,6,21,26,8,37,0,2,107,0,0,0,57,3,0,28,2,0,1,2,0,0,0,0,44,2,0,14,0,0
23,101,699,1,9,11,11,187,2,9,0,0,0,2,2,26,6,2,0,3,2,0,0,0,6,0,5,14,21,6,58,0,2,122,0,0,0,61,5,0,47,3,2,0,0,5,0,0,0,47,0,1,21,0,0
25,113,656,1,8,9,5,194,5,11,0,0,0,6,1,29,3,2,0,0,3,1,0,0,14,0,6,12,26,12,44,0,2,98,0,2,0,63,6,0,29,0,5,0,0,3,0,0,0,32,0,1,21,2,0
27,126,698,0,11,14,9,164,3,12,0,0,0,5,2,46,5,2,2,0,3,2,0,0,14,0,6,11,50,15,35,0,0,103,0,0,2,47,3,0,38,1,2,2,2,0,0,0,0,63,0,0,24,0,0
29,138,614,0,7,8,7,162,8,10,0,0,1,3,7,40,5,7,0,2,2,2,0,0,7,0,2,8,48,5,43,2,0,92,0,2,0,46,2,0,26,0,2,0,0,2,0,0,0,46,0,0,10,0,0
31,151,670,2,6,6,9,188,3,11,0,0,0,0,0,34,3,2,2,3,0,0,2,0,12,0,3,22,18,6,55,2,2,115,0,2,1,47,5,0,35,2,1,1,0,6,0,0,0,32,1,0,29,2,0
33,164,676,0,9,15,5,179,3,6,0,0,3,5,0,38,3,2,2,0,0,2,0,0,9,0,3,18,58,8,34,0,0,106,0,2,0,40,8,0,31,0,0,0,0,3,0,0,0,57,0,1,26,0,0
35,176,664,0,5,17,11,144,0,12,0,0,0,3,0,43,3,6,2,2,8,2,0,0,8,0,2,12,38,11,57,0,0,116,0,1,0,60,2,0,20,2,2,0,0,3,0,0,0,47,1,0,24,0,0
37,189,613,2,3,11,5,138,5,3,0,0,3,0,0,44,2,1,2,3,3,0,0,0,3,0,3,22,55,8,54,0,3,80,0,0,0,98,2,0,6,0,0,0,0,0,0,0,0,29,0,2,23,0,0
39,201,693,0,11,12,6,125,5,15,0,0,0,2,0,38,6,5,0,0,5,3,0,0,6,0,2,10,87,8,14,0,0,175,0,2,3,89,0,0,15,2,3,0,0,3,0,0,0,20,0,0,20,1,0
41,220,583,0,11,17,6,90,5,11,0,0,0,0,1,65,8,6,0,0,2,0,0,0,3,0,5,10,41,11,30,3,3,104,0,3,1,95,5,0,2,2,0,0,0,3,0,0,0,21,1,0,16,2,0
43,244,588,2,6,6,3,129,3,20,0,0,0,6,2,50,2,0,2,3,3,1,0,0,3,0,2,19,64,12,17,2,4,96,0,0,2,95,6,0,3,2,0,0,0,2,0,1,0,9,0,0,11,0,0
45,269,586,2,5,3,3,151,5,5,0,0,1,3,2,67,6,3,0,0,3,2,0,0,8,0,5,17,35,17,34,0,0,101,0,0,0,87,3,0,5,0,2,0,0,2,0,0,0,5,1,0,3,0,0
47,294,556,0,6,9,6,104,5,17,0,0,0,2,6,69,8,2,0,0,2,0,0,0,6,0,5,21,34,6,14,1,2,107,0,2,0,95,9,2,2,0,2,0,0,0,1,0,0,9,0,0,2,0,0
49,319,576,0,5,8,2,133,3,5,0,0,0,3,0,61,3,3,0,3,2,0,0,0,5,0,6,14,44,11,24,0,0,95,0,0,0,118,9,0,5,0,2,2,0,2,0,0,0,6,0,0,2,0,0
51,344,582,2,8,6,8,138,8,3,0,0,3,0,2,67,3,2,0,3,0,0,0,0,8,0,5,9,24,6,31,0,0,115,0,0,0,92,8,0,12,0,0,2,0,2,0,0,0,12,0,0,3,0,0
53,369,561,0,6,12,8,147,5,8,0,0,0,6,2,60,3,2,0,2,0,2,0,0,3,0,2,16,21,5,40,0,4,92,0,2,0,96,2,0,5,0,0,0,2,0,0,0,0,5,1,0,2,0,0
55,394,580,0,5,5,1,132,2,11,0,0,2,2,2,58,3,3,0,5,3,0,0,0,8,0,8,39,40,5,18,0,0,99,0,0,0,113,5,0,2,0,1,0,0,0,0,0,0,3,0,0,5,0,0
57,419,564,2,8,14,3,121,0,12,0,0,0,3,2,63,9,3,3,0,0,0,0,0,3,0,3,11,29,6,40,0,0,90,0,0,3,115,3,0,6,1,0,0,0,5,0,0,0,3,0,0,3,0,0
59,444,545,0,5,12,5,130,0,12,0,0,2,8,0,64,5,2,2,0,0,5,0,0,5,0,5,21,23,5,14,2,0,75,0,0,0,122,6,2,1,1,2,0,0,0,0,0,0,6,0,0,3,0,0
61,469,576,0,3,8,2,147,9,6,0,0,0,2,2,61,9,2,0,2,0,0,0,0,8,0,2,18,35,20,38,2,3,92,0,0,0,93,5,0,2,0,0,0,0,2,0,0,0,2,0,0,1,0,0
63,494,538,1,3,5,6,113,6,6,0,0,0,3,3,93,2,3,0,0,0,0,2,1,3,0,9,26,46,5,24,2,2,73,0,0,0,84,5,1,2,0,2,2,0,0,0,0,0,3,0,0,2,0,0
65,519,580,0,6,12,6,181,2,0,0,0,3,3,0,78,8,2,0,3,2,3,0,0,0,3,5,22,34,5,20,3,0,73,11,0,0,77,3,0,2,0,2,0,0,2,0,0,0,6,0,0,3,0,0
