"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Aquatics.undiff.","Artemisia","Asteraceae.undiff.","Betula","Caprifoliaceae.undiff.","Carya","Caryophyllaceae","Corylus","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus","Ilex","Juglans","Larix","Lycopodiaceae","Menyanthes.trifoliata","Myrica","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus","Poaceae","Polygonaceae.undiff.","Potentilla.type","Pteridophyta.undiff.","Quercus","Rosaceae.undiff.","Rumex","Salix","Thalictrum","Tsuga","Typha.Sparganium","Ulmus","Viburnum"
0,-20,18,3,19,3,5,0,2,6,47,0,0,1,0,42,1,0,10,0,1,0,1,0,1,4,0,0,0,0,1,2,84,25,44,0,7,2,4,0,18,1,0,2,0,1,3
10,18,17,2,26,1,9,1,2,0,49,0,0,1,1,63,10,1,24,1,3,3,0,1,1,7,0,3,0,0,1,3,77,19,78,0,0,4,4,0,34,0,1,0,0,2,0
20,57,11,2,14,0,11,1,0,2,105,0,0,0,0,147,4,2,23,0,18,0,0,0,0,0,0,3,0,0,0,6,24,15,117,1,0,7,6,0,54,1,1,8,0,0,0
40,239,35,1,6,0,0,0,0,1,82,0,0,0,0,10,4,0,21,0,17,2,0,0,0,11,0,1,0,0,0,3,28,14,2,1,0,2,11,0,4,0,0,10,0,0,0
60,527,16,3,3,0,1,0,0,0,93,1,0,0,1,8,1,0,3,0,43,1,0,0,0,1,0,1,0,0,0,0,21,20,0,0,0,1,6,0,0,0,0,12,0,1,0
80,815,18,0,3,0,0,0,0,0,97,0,1,0,0,8,1,0,32,0,28,1,0,0,0,1,0,1,0,0,0,4,20,25,0,0,0,1,11,0,0,0,0,8,0,0,0
100,1103,17,0,3,0,3,0,0,1,99,0,0,0,0,6,4,1,21,0,30,0,0,0,1,3,0,0,0,0,0,4,23,15,2,0,0,0,15,0,3,0,0,6,0,0,0
120,1390,25,2,1,0,0,0,1,0,94,0,0,0,0,0,1,0,9,0,44,1,0,0,0,0,0,0,0,0,0,3,9,17,0,0,0,0,10,0,0,0,0,7,0,1,0
140,1678,5,1,2,0,0,0,0,0,111,0,0,0,0,2,3,0,5,0,18,0,1,0,0,0,0,0,0,0,0,0,16,15,0,2,0,0,29,0,1,0,0,14,0,0,0
160,1966,13,2,0,0,0,0,0,0,88,0,0,0,0,0,1,0,24,0,15,1,0,0,1,0,0,0,0,0,0,3,19,19,0,1,0,0,35,0,0,0,0,9,0,0,0
180,2254,7,1,2,0,0,0,0,0,125,0,0,0,0,0,0,0,10,0,17,0,0,0,0,1,0,0,0,0,0,2,10,10,0,0,0,0,16,0,0,0,0,10,0,0,0
200,2542,23,2,2,0,0,0,0,0,109,0,0,0,0,2,2,0,13,0,9,1,0,0,0,1,0,2,0,0,0,2,20,5,0,0,0,0,23,0,0,0,0,10,0,0,0
220,2830,10,1,4,0,1,0,0,0,128,0,0,0,0,0,2,0,16,0,20,0,0,0,0,0,0,0,0,0,0,4,12,20,0,0,0,0,14,0,0,0,0,6,0,2,1
240,3118,5,1,3,0,0,0,1,0,154,0,0,0,0,0,6,0,9,0,2,0,0,0,0,2,0,0,0,0,0,3,14,7,0,0,0,0,13,0,0,0,0,9,0,0,0
260,3406,4,2,1,0,0,0,1,0,150,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,0,0,0,0,7,0,0,0,0,7,0,0,0
280,3694,4,1,3,0,0,0,0,0,154,0,0,0,0,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,4,25,0,0,0,0,8,0,0,0,0,5,0,0,0
300,3982,8,0,5,0,0,0,1,0,151,0,0,0,0,1,1,0,10,0,1,1,0,0,0,0,0,0,0,0,0,1,2,21,0,0,0,0,12,0,0,0,0,6,0,0,0
320,4270,1,2,0,0,0,0,0,0,120,0,0,0,0,1,1,0,17,0,1,0,0,0,0,0,0,0,0,0,0,1,5,59,0,0,0,0,16,0,0,0,0,3,0,0,0
