"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya.ovata","Caryophyllaceae","cf..Diapensia.lapponica","Corylus.cornuta","Cyperaceae","Elaeagnus.commutata","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum","Nuphar","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rosaceae","Salix","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum"
0,0,1,0,0,0,14,0,2,6,0,1,1,0,0,120,5,0,0,0,4,0,0,0,45,8,0,0,0,0,2,1,3,0,0,0,0,0,2,4,0,0,0,1,6,1,19,31,28,2,1,2,1,14,0,0,1,0,0,0,0,9,41,0,10,0,2,1,0
25,298,0,0,0,0,7,0,0,5,0,1,0,0,0,110,1,0,0,0,0,0,1,0,57,9,0,0,0,0,1,1,3,0,0,0,0,0,0,3,0,0,0,0,5,3,10,20,20,0,0,1,4,13,0,0,1,0,0,0,1,1,78,0,11,0,1,0,0
50,596,0,0,0,0,16,0,0,10,0,0,0,0,0,133,0,0,0,0,4,0,0,0,101,14,2,0,2,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,1,2,38,26,31,1,0,0,0,10,0,0,0,0,0,0,1,4,101,2,9,0,3,0,0
75,894,1,0,1,0,10,1,0,12,0,0,0,0,0,162,4,0,0,0,4,0,0,0,65,19,1,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,1,0,5,0,15,19,22,2,0,0,0,25,0,0,1,0,0,0,0,3,79,1,6,0,2,0,0
95,1133,0,0,0,0,14,0,0,8,0,0,0,1,1,107,6,0,0,0,2,0,0,0,83,18,3,0,0,0,1,0,2,0,0,0,0,0,0,9,0,0,0,1,2,1,23,16,29,2,1,2,1,15,0,0,1,0,1,0,0,7,86,1,12,0,0,1,0
125,1491,0,0,2,0,13,0,0,17,0,1,3,0,0,87,3,0,0,0,4,0,0,0,106,27,0,1,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,5,4,23,64,30,4,0,1,1,25,0,0,0,0,0,0,0,5,114,1,15,0,0,0,0
150,1789,0,2,0,1,16,1,0,15,0,1,1,0,0,114,3,0,0,1,3,0,0,0,100,12,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,1,38,23,29,3,2,0,1,15,0,0,0,0,0,0,0,4,92,1,16,0,3,1,0
175,2087,1,0,0,1,19,3,0,12,0,0,0,0,0,179,4,0,0,0,7,1,0,0,125,15,0,0,1,0,2,0,2,0,1,0,0,0,0,4,0,0,1,0,7,5,26,54,57,4,0,3,1,26,0,0,0,0,1,0,0,1,119,1,30,0,7,0,0
200,2385,1,1,0,0,22,0,3,16,0,2,2,1,0,210,2,0,0,1,3,0,0,0,82,23,1,0,0,2,2,1,3,0,0,0,0,0,0,1,0,0,0,1,4,2,21,18,32,6,0,0,0,46,0,0,1,0,0,0,0,13,92,0,13,0,4,1,0
225,2683,0,0,0,0,17,0,0,10,0,1,1,0,0,114,2,0,0,0,8,0,0,0,118,24,0,1,0,0,2,1,0,0,0,0,0,0,0,2,0,0,2,0,2,0,15,12,26,5,0,0,0,20,0,0,0,0,0,0,1,3,69,1,20,0,3,0,0
250,2981,0,0,0,0,10,0,0,12,0,1,0,0,0,63,2,0,0,0,3,0,0,0,69,14,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,13,20,1,0,0,0,14,0,0,0,0,0,0,0,5,100,2,9,0,4,0,0
275,3279,0,0,0,0,22,0,3,12,0,0,4,0,0,100,2,0,0,0,4,0,0,0,80,19,0,0,1,0,3,0,6,0,2,0,0,0,0,2,0,0,0,0,4,1,34,27,21,1,0,1,1,23,0,0,1,0,0,0,0,7,83,0,16,0,3,0,0
300,3548,1,3,0,0,20,0,1,13,0,1,4,1,0,123,2,0,0,0,0,0,0,0,110,28,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,5,1,52,17,40,7,0,7,0,27,0,0,0,0,0,0,0,4,73,0,16,0,4,1,0
325,3701,0,0,0,0,10,0,0,7,0,0,0,1,0,102,2,0,0,0,3,0,0,0,77,13,1,0,0,0,1,0,3,0,0,0,0,0,1,1,0,0,1,0,3,3,21,50,29,0,0,0,0,14,0,0,0,0,0,0,0,7,28,0,16,0,2,0,0
350,3854,1,0,0,1,16,0,1,17,0,0,0,0,0,84,5,0,0,0,0,0,1,0,59,32,1,0,2,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,3,3,46,24,36,0,0,0,0,52,0,0,1,0,1,0,0,3,24,0,24,0,2,0,0
375,4007,0,0,0,0,16,0,0,13,0,0,0,0,0,130,7,0,0,0,1,0,0,0,75,25,0,0,1,0,2,0,4,0,0,0,0,0,1,0,0,0,1,0,3,1,44,43,30,1,0,0,1,84,0,0,0,0,0,0,0,3,25,0,26,0,3,0,0
400,4160,0,3,0,1,23,0,0,9,0,0,2,1,0,130,3,0,0,0,1,0,0,0,68,27,1,0,0,0,6,1,2,0,0,0,0,0,0,1,0,0,0,2,2,0,42,18,20,1,0,1,0,64,0,1,0,0,0,0,0,13,10,0,20,0,0,2,0
425,4312,0,0,0,0,15,0,0,8,0,2,0,0,0,102,1,0,0,0,3,0,0,0,60,26,0,0,0,0,8,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,21,8,11,1,0,0,0,52,0,0,1,0,0,0,0,4,10,0,17,0,0,0,0
450,4465,0,0,0,0,15,0,0,7,0,2,0,0,0,174,4,0,0,0,0,0,0,0,106,23,1,0,1,0,10,0,6,0,0,0,0,0,0,3,0,0,0,3,3,2,28,9,17,3,0,2,0,48,0,0,0,0,0,0,0,12,38,0,36,0,2,0,0
475,4618,0,0,0,1,21,0,0,6,0,0,0,1,0,143,2,0,0,0,1,0,0,0,84,30,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,42,18,21,2,0,1,0,23,0,0,1,0,0,0,0,6,45,0,29,0,1,0,0
500,5569,0,0,0,2,27,0,0,12,0,1,3,0,0,211,8,0,0,1,0,0,0,0,93,37,1,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,45,15,66,4,0,3,0,38,0,0,0,0,0,0,0,6,203,0,41,0,1,1,0
525,5883,0,0,0,0,8,0,2,5,0,1,0,0,0,83,5,0,0,0,2,0,0,0,39,22,1,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,19,9,9,1,0,2,0,20,0,0,0,0,0,0,0,5,142,0,17,0,0,0,0
537,6033,1,2,0,0,9,0,9,2,0,1,1,2,0,128,3,0,0,1,1,0,0,0,97,12,13,0,0,0,15,0,2,1,0,0,0,0,0,0,0,0,0,1,2,2,19,49,34,0,0,1,0,26,0,0,0,0,0,0,0,5,154,1,27,1,4,0,0
550,6196,0,0,0,1,17,0,0,8,0,0,0,1,0,127,1,0,0,1,0,0,0,0,30,30,0,0,0,0,6,0,1,0,1,0,0,0,0,2,0,0,0,0,3,1,34,18,21,1,2,3,0,34,0,0,0,0,1,0,0,9,159,0,97,0,1,0,0
562,6347,0,4,0,0,13,0,9,5,1,1,1,1,0,141,1,0,0,0,0,0,1,0,86,26,13,0,0,0,5,1,1,0,1,0,0,0,0,0,0,4,0,1,1,1,23,47,29,2,0,1,0,38,0,1,0,0,1,1,0,3,139,2,42,0,7,0,0
575,6510,0,0,0,0,18,0,0,15,0,1,1,0,0,64,2,0,0,0,1,0,0,0,63,28,1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,22,10,22,0,0,0,0,53,0,0,2,0,2,0,0,4,75,0,27,0,2,0,0
587,6660,1,4,0,0,12,0,15,3,1,1,1,1,0,103,1,0,0,0,2,0,0,0,46,20,14,0,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,15,23,34,0,0,0,0,69,0,1,0,0,0,0,0,4,102,0,34,0,3,1,0
600,6823,0,2,0,1,11,1,1,38,0,2,0,0,2,156,0,2,0,0,1,0,0,0,40,43,2,0,0,0,11,4,1,0,0,0,0,1,0,0,1,0,0,0,0,1,80,28,42,6,0,2,0,120,0,0,2,0,0,0,1,6,174,0,45,0,4,1,0
625,7137,1,0,0,0,23,0,0,8,0,0,0,0,0,102,0,0,0,0,1,0,0,0,14,24,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27,33,16,0,0,0,0,44,0,0,2,0,0,0,0,5,217,0,29,0,1,1,0
650,7450,0,0,0,1,15,1,1,11,1,0,0,0,0,116,1,0,0,1,1,0,0,0,6,21,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,77,31,26,0,0,1,0,62,0,0,2,0,0,0,0,3,143,0,34,0,2,0,0
675,7763,0,0,0,0,15,0,1,11,1,0,0,1,0,106,1,0,0,0,1,0,0,0,13,27,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,112,42,41,0,0,0,1,88,0,0,1,0,0,0,0,6,72,0,33,0,0,0,0
700,8231,0,5,0,0,10,4,3,27,0,0,4,0,0,114,0,0,0,1,1,0,0,0,12,29,3,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,6,2,400,264,113,5,2,11,0,200,0,0,3,0,0,0,0,5,74,2,44,0,1,1,0
725,9315,0,0,0,0,13,0,0,15,0,0,0,0,0,57,0,0,0,0,0,0,0,0,3,11,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,3,132,71,41,2,0,0,1,81,0,0,0,0,0,0,0,0,19,1,26,0,0,0,0
750,10399,0,0,0,0,8,2,2,6,2,1,0,2,0,75,1,0,0,2,2,0,0,0,6,11,2,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,0,7,3,195,98,52,2,0,2,0,70,0,0,3,0,1,0,0,0,9,1,23,0,0,1,0
