"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Adiantum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.undiff.","Athyrium","Betula","Bidens.type","Boraginaceae","Botrychium","Brasenia.schreberi","Brassicaceae","Bryopsida","Cannabaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cornus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum.type","Dryas.type","Dryopteris.type","Ephedra","Epilobium","Equisetum","Ericaceae.undiff.","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Gentianaceae","Geum.type","Herbs.undiff.","Hydrophyllum","Hypericum","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Koenigia.islandica","Laportea.type","Larix","Liliaceae","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum","Lycopus.type","Maclura.pomifera.type","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Oxyria.digyna","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.major","Plantago.undiff.","Platanus","Poaceae","Polemoniaceae","Polygonum","Polypodiaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.type","Prunus.Sorbus","Pteridium.type","Pteridophyta.undiff.","Pterocarya","Pyrus.type","Quercus","Ranunculaceae.undiff.","Ranunculus","Rosaceae.trees","Rosaceae.undiff.","Rubus","Rumex","Salix","Sarcobatus.vermiculatus","Sarracenia","Saxifraga.type","Saxifragaceae.undiff.","Scrophulariaceae","Selaginella","Shepherdia.argentea","Shepherdia.canadensis","Shrubs.undiff.","Sparganium.type","Sphagnum","Spiraea.type","Stachys.type","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown.undiff.","Urtica.type","Vaccinium","Viburnum","Vitis","Woodsia","Xanthium"
750,NA,5,0,0,0,0,0,57,15,7,17,0,0,0,24,1,0,0,0,181,0,0,0,0,0,0,3,2,0,0,0,0,1,0,11,12,0,0,5,0,0,2,0,0,0,3,0,0,0,0,1,0,0,20,0,2,0,1,1,0,0,0,15,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,69,22,0,359,0,0,0,10,0,0,0,2,18,0,0,0,13,0,0,0,23,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,1,0,2,0,0,1,0,0
760,9424,3,1,1,0,2,0,6,1,6,4,0,1,0,11,4,0,0,0,75,0,0,0,0,0,0,1,1,0,0,0,0,2,0,5,13,1,0,4,0,0,0,0,0,0,6,1,0,0,0,1,0,0,30,0,1,0,1,0,1,0,1,6,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,69,13,0,437,0,0,0,8,0,0,0,1,13,2,0,0,12,0,0,0,27,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,59,1,0,3,0,0,0,0,1
770,9462,3,0,0,1,1,0,34,3,10,11,0,0,0,18,2,0,0,0,91,0,0,0,0,0,0,5,2,0,1,0,0,1,0,7,24,1,0,5,0,0,1,0,1,0,3,0,0,0,0,2,0,0,11,0,0,0,1,0,0,0,1,9,0,1,0,0,1,0,0,0,5,0,0,0,0,9,0,41,33,0,432,0,0,0,15,0,0,0,0,6,0,0,0,11,0,0,0,20,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,35,0,0,2,0,0,0,0,0
780,9500,3,0,0,0,2,0,37,6,10,14,0,0,0,25,2,0,0,0,149,0,0,0,1,0,0,1,1,0,0,0,1,4,0,3,18,0,0,2,0,0,2,0,0,0,6,1,0,0,0,0,0,0,24,0,1,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,1,1,0,9,0,57,9,0,516,0,0,1,20,0,0,0,5,24,1,0,0,27,0,0,0,27,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,24,1,0,1,0,0,0,0,0
790,9538,11,0,0,0,2,0,7,2,14,7,0,0,0,22,2,0,0,0,172,1,0,0,2,0,0,3,2,0,0,1,0,3,0,6,20,1,0,1,0,0,3,1,0,0,13,1,0,0,0,1,0,0,29,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,1,0,0,8,0,112,47,0,421,0,0,2,9,0,0,0,1,19,1,0,0,9,0,0,1,25,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,37,0,0,3,0,0,0,0,0
800,9576,2,0,0,0,5,0,7,3,3,17,0,0,0,21,1,0,0,0,131,0,0,0,0,0,0,3,7,0,0,1,0,3,0,3,20,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,41,0,2,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2,1,0,0,0,14,0,133,32,0,476,0,0,1,14,0,0,0,2,17,4,0,0,5,0,0,0,31,0,1,0,0,0,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,71,6,0,4,0,0,0,0,1
810,9926,1,0,0,0,1,0,3,1,2,5,0,0,0,13,2,0,0,0,90,0,0,0,0,0,0,7,2,0,0,0,0,7,0,7,13,0,0,4,0,0,1,0,0,0,6,1,0,0,0,1,0,0,17,0,1,0,1,1,0,0,0,21,0,0,0,0,2,0,0,1,0,0,0,0,0,12,0,120,71,0,507,0,0,1,3,0,0,0,2,12,1,1,0,7,0,0,0,40,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,43,0,0,1,0,0,0,0,0
820,10332,3,1,0,0,3,0,2,1,6,12,1,0,0,21,4,0,0,0,49,0,0,0,0,0,0,4,4,0,0,0,0,3,0,10,21,1,0,1,0,0,2,0,0,0,10,2,0,0,0,0,0,0,31,0,0,0,2,0,0,0,2,27,0,0,0,0,1,0,0,1,0,0,1,0,0,15,0,149,26,0,382,0,0,0,8,0,0,0,4,26,1,0,0,10,0,0,0,43,0,0,0,1,0,1,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,82,0,0,4,0,0,0,0,0
825,10535,1,0,0,0,4,0,2,2,4,17,0,0,0,24,2,0,0,1,50,0,0,0,0,0,0,4,3,0,0,0,0,3,0,7,30,0,0,10,0,0,4,0,0,0,22,0,0,0,0,0,0,0,20,0,1,2,1,1,1,0,2,26,0,0,0,0,0,0,0,0,0,0,4,0,0,17,0,221,9,0,156,0,0,0,19,0,0,0,5,35,5,1,0,12,0,0,0,48,0,0,0,0,0,0,5,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,56,1,0,6,0,0,1,0,2
830,10735,7,0,0,0,2,1,0,3,7,16,0,0,0,33,3,0,0,0,36,1,0,0,0,0,0,11,3,0,0,1,0,3,1,16,38,0,0,1,1,0,5,0,0,0,24,3,0,0,0,0,0,0,39,0,1,1,5,1,1,0,0,25,0,1,0,0,0,0,0,1,0,0,1,0,0,6,0,237,27,0,172,0,0,2,25,0,0,1,16,53,11,0,0,5,0,0,0,48,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,57,1,0,9,0,0,0,0,2
