"sample.depths","sample.ages","Acer.rubrum","Artemisia","Betula","Carya","Castanea","Cephalanthus","Asteraceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus..tricolpate.","Galium","Poaceae.undiff.","Liquidambar","Ostrya.Carpinus","Pinus.undiff.","Platanus","Quercus","Rumex","Salix","Tilia","Tsuga","Ulmus","Alnus","Ambrosia","Populus","Amaranthaceae","Viburnum","Rosaceae","Zea","Acer.saccharum","Juglans.cinerea.type","Juglans.nigra.type","Pinus.banksiana.P..resinosa","Other.herbs","Acer.undiff.","Fraxinus..tetracolpate.","Larix","Picea","Iva.annua","Rhamnus","Morus","Myrica","Pinus.strobus","Rhus","Acer.saccharinum","Thalictrum","Urtica","Nyssa","Apiaceae","Celtis","Other.trees.and.shrubs","Abies","Cornus"
1784,8324,0,0,0.00498338870431894,0.0448504983388704,0,0,0.0166112956810631,0.00664451827242525,0,0.0116279069767442,0.0431893687707641,0.0664451827242525,0,0.0116279069767442,0,0.0448504983388704,0.0315614617940199,0.0132890365448505,0.589700996677741,0,0.00166112956810631,0.00166112956810631,0,0.0481727574750831,0.00332225913621262,0.00498338870431894,0.00166112956810631,0.00332225913621262,0,0.00332225913621262,0,0.0149501661129568,0.00664451827242525,0.00166112956810631,0.00332225913621262,0.00166112956810631,0,0,0,0,0,0,0,0,0.0116279069767442,0.00166112956810631,0.00166112956810631,0.00166112956810631,0,0,0,0.00166112956810631,0,0,0
1810,8695,0.0025,0,0.0125,0.0325,0,0,0.0225,0.01,0,0.005,0.0275,0.045,0,0.0125,0,0.0475,0.05,0.0125,0.61,0,0.0025,0.0025,0.0075,0.035,0,0.005,0,0.0025,0,0,0,0.0125,0.01,0,0.0025,0,0,0,0,0.0075,0,0,0,0,0.01,0,0,0.0025,0.0075,0,0,0.0025,0,0,0
1826,9027,0,0.0031201248049922,0.0031201248049922,0.0390015600624025,0,0,0.0062402496099844,0.0078003120124805,0,0.0062402496099844,0.0124804992199688,0.0499219968798752,0,0.015600624024961,0,0.0546021840873635,0.0717628705148206,0.0078003120124805,0.592823712948518,0,0.0046801872074883,0.0046801872074883,0.0109204368174727,0.046801872074883,0,0.0062402496099844,0.0015600624024961,0.0046801872074883,0,0.0015600624024961,0,0.015600624024961,0.0046801872074883,0,0.0046801872074883,0.0015600624024961,0,0.0031201248049922,0.0015600624024961,0.0031201248049922,0,0.0015600624024961,0,0,0.0093603744149766,0,0.0015600624024961,0,0,0,0.0015600624024961,0,0,0,0
1842,9359,0.00275103163686382,0,0.00687757909215956,0.0495185694635488,0.00137551581843191,0,0.00137551581843191,0.00825309491059147,0,0.00412654745529574,0.031636863823934,0.0563961485557084,0,0.00550206327372765,0,0.0453920220082531,0.0522696011004127,0.00137551581843191,0.58321870701513,0,0,0.00137551581843191,0.00825309491059147,0.0797799174690509,0.00275103163686382,0.00137551581843191,0,0.00137551581843191,0,0,0,0.0261348005502063,0.00275103163686382,0,0.00550206327372765,0.00137551581843191,0,0,0,0,0,0.00137551581843191,0,0,0.0137551581843191,0,0.00275103163686382,0.00137551581843191,0,0,0,0,0,0,0
1858,9691,0.00137362637362637,0,0.00686813186813187,0.0412087912087912,0,0,0.00412087912087912,0.00412087912087912,0,0.00686813186813187,0.021978021978022,0.043956043956044,0,0.00961538461538462,0,0.107142857142857,0.0686813186813187,0,0.553571428571429,0,0.00274725274725275,0.00961538461538462,0.00686813186813187,0.0590659340659341,0.00824175824175824,0.00137362637362637,0,0,0,0,0,0.0315934065934066,0,0,0.00137362637362637,0,0,0.00274725274725275,0,0,0,0,0,0,0.00274725274725275,0,0.00274725274725275,0,0,0,0,0,0.00137362637362637,0,0
1874,10023,0.00171821305841924,0,0.00859106529209622,0.0171821305841924,0,0,0.00515463917525773,0.00687285223367698,0,0.00859106529209622,0.00171821305841924,0.0412371134020619,0,0.00687285223367698,0,0.0721649484536082,0.0859106529209622,0.00515463917525773,0.594501718213058,0,0,0.0103092783505155,0.00687285223367698,0.056701030927835,0.0120274914089347,0,0.00343642611683849,0,0,0,0,0.00515463917525773,0.0103092783505155,0,0,0.00171821305841924,0,0,0,0.00515463917525773,0,0,0,0,0.0257731958762887,0,0.00343642611683849,0,0,0,0,0,0.00171821305841924,0.00171821305841924,0
1882,10189,0.00216919739696312,0.00216919739696312,0.00433839479392625,0.0216919739696312,0,0,0.00216919739696312,0.0130151843817787,0,0.0195227765726681,0,0.0477223427331887,0,0.00216919739696312,0,0.0650759219088937,0.0802603036876356,0.0086767895878525,0.581344902386117,0,0.00216919739696312,0.0086767895878525,0.0086767895878525,0.0672451193058568,0.017353579175705,0,0.0086767895878525,0,0,0,0,0.00650759219088937,0.00433839479392625,0,0.00433839479392625,0,0,0.00216919739696312,0,0.00216919739696312,0,0,0.00216919739696312,0,0.0151843817787419,0,0,0,0,0,0,0,0,0,0
1904,10646,0,0.00146842878120411,0.0146842878120411,0.0161527165932452,0,0,0.00440528634361234,0.00587371512481645,0,0.00881057268722467,0.00293685756240822,0.0381791483113069,0,0.00587371512481645,0,0.139500734214391,0.271659324522761,0,0.280469897209985,0,0.00293685756240822,0.00440528634361234,0.0117474302496329,0.0513950073421439,0.0117474302496329,0.00440528634361234,0.00146842878120411,0.00146842878120411,0,0.00146842878120411,0,0.00734214390602056,0.00293685756240822,0,0.0102790014684288,0,0,0.00293685756240822,0.00146842878120411,0.00293685756240822,0,0,0,0,0.0837004405286344,0,0.00293685756240822,0,0,0,0,0.00440528634361234,0,0,0
1912,10812,0.00132275132275132,0.00132275132275132,0.00132275132275132,0.0198412698412698,0,0,0.00264550264550265,0.00396825396825397,0,0.0119047619047619,0.00396825396825397,0.0317460317460317,0,0.00132275132275132,0,0.177248677248677,0.207671957671958,0,0.284391534391534,0,0,0.00661375661375661,0.00925925925925926,0.0701058201058201,0.0198412698412698,0.00264550264550265,0.00396825396825397,0.00264550264550265,0,0,0,0.0158730158730159,0.00396825396825397,0,0.0158730158730159,0,0,0.00264550264550265,0,0.00132275132275132,0,0,0,0,0.08994708994709,0,0.00264550264550265,0,0,0,0,0.00396825396825397,0,0,0
1928,11144,0.00162074554294976,0.00162074554294976,0.0113452188006483,0.0178282009724473,0,0,0,0.00810372771474878,0,0.00324149108589951,0,0.0437601296596434,0,0.00486223662884927,0,0.175040518638574,0.212317666126418,0.00486223662884927,0.26580226904376,0,0,0.00972447325769854,0.00972447325769854,0.0713128038897893,0.0194489465153971,0.00162074554294976,0.00162074554294976,0,0,0,0,0.0145867098865478,0.00810372771474878,0,0.00486223662884927,0,0,0.00324149108589951,0.00162074554294976,0.00162074554294976,0,0,0,0,0.0923824959481361,0.00162074554294976,0.00324149108589951,0,0,0,0,0.00162074554294976,0.00324149108589951,0,0
