"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Agastache.type","Alnus.cf..A..incana","Alnus.cf..A..viridis","Ambrosia","Amorpha","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Carya","Caryophyllaceae","cf..Ceanothus","Chenopodium.type","Corylus","Cyperaceae","Dalea.candida.type","Dryopteris.type","Ephedra","Equisetum","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Humulus.type","Huperzia.lucidula.type","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea.type","Larix","Myriophyllum.alterniflorum.type","Myriophyllum.sibiricum.type","Nuphar","Nymphaea","Ostrya.type","Parietaria.type","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae.undiff.","Polygonum.lapathifolium.type","Populus.tremuloides.type","Potamogeton","Pteridium.type","Quercus","Rhus","Rosaceae","Salix","Sarcobatus.vermiculatus","Sparganium.type","Sphagnum","Thalictrum","Thuja.type","Trifolium.repens.type","Typha.latifolia","Ulmus","Unknown","Utricularia","Xanthium","Zea.mays"
0,-30,1,1,0,0,0,2,0,7,0,5,0,0,0,5,1,0,0,2,4,47,0,0,0,1,1,0,0,0,0,11,0,1,0,1,0,0,2,0,2,0,3.5,18,13,92,0,9,0,3,1,0,3,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1
15,56,4.5,0,0,0,0,6,1,13,0,4,4,0,0,12,0,0,0,4,0,59.5,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,0,1,0,8,32.5,10.5,112,0,4,0,2,1,1,5,0,1,3,0,0,1,1,1,0,0,2,0,0,1,0
20,134,0,0,1,0,0,6,3,6,0,1,2,0,1,11,0,1,0,3,4,53,0,0,0,0,1,0,0,0,0,6.5,0,0,0,2,0,0,4.5,0,1,0,7,24.5,9.5,158.5,1,2,0,1,3,0,8,0,0,2,1,0,0,0,0,0,0,3,1,0,0,0
40,647,1,0,0,0,0,7,3,0,0,6,0,0,1,10,0,0,0,2,0,40.5,0,0,0,1,0,0,0,0,0,10,0,0,0,1,0,1,0,1,1,0,6,15.4,9.6,139.5,0,9,0,2,2,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0
50,903,3.5,0,0,0,0,5,4,3,0,3,2,0,0,19,0,0,0,0,6,60,0,0,0,0,2,0,0,0,0,8,2,1,0,1,0,0,2,0,1,0,9.5,37,20,178,0,12,2,1,0,0,6,0,0,0,1,0,0,0,1,0,1,2,1,0,0,0
65,1310,0.5,0,0,1,0,5,3,0,0,7,2,0,0,15,0,0,0,1,2,74,0,0,0,0,0,0,0,1,0,16.5,1,0,0,4,0,0,0,0,4,0,12.5,19.5,11,113,0,15,0,3,2,0,11,0,0,2,0,0,1,1,2,0,0,0,1,0,0,0
90,2172,1.5,0,0,0,0,11,2,4,0,8,5,0,0,26,0,0,0,4,5,85,0,0,0,0,6,0,0,0,0,19.5,0,0,0,1,0,0,0,0,11,0,7.5,21.5,21,109,0,26,0,9,6,0,23,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0
105,2690,2,0,0,0,1,7,4,5,0,13,3,0,0,24,0,0,0,3,1,67,0,0,0,1,6,1,0,0,0,28,0,0,0,2,0,1,0,1,7,0,6,7.2,8.8,56.5,0,15,0,6,4,0,37,0,0,2,1,0,0,0,2,0,0,1,4,0,0,0
115,3034,0,0,0,0,0,16,2,4,0,22.5,6,0,0,36,0,0,1,0,1,92,0,0,0,1,6,0,0,0,1,21,0,0,1,1,1,0,0,0,11,1,3,5.6,22.4,72.5,0,21,1,6,5,0,40,1,0,6,0,0,0,0,0,0,0,4,0,0,1,0
125,3379,1.5,0,0,0,1,10,1,9,0,23,13,0,0,24,0,0,0,9,3,172,0,2,0,6,2,0,1,0,0,20.5,0,2,0,0,1,1,0,0,3,0,2.5,6,7,40.5,0,43,0,9,3,0,23,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0
145,NA,0,0,0,0,0,7,2,5,0,28,20,0,0,10,0,1,0,4,0,162,0,1,0,1,2,1,0,0,0,20,0,1,0,1,1,7,0,0,3,0,4,3,7.5,31,0,59,2,2,6,0,10,0,0,0,0,2,0,1,0,0,1,4,1,0,0,0
200,NA,0.5,0,0,0,2,3,1,9,4,43,10,1,0,7,0,1,0,6,2,170,1,0,1,2,2,0,0,0,0,29,1,0,0,0,0,2,0,0,5,0,2.5,0.5,2,38.5,0,51,0,7,1,0,28,0,0,2,0,11,0,0,0,0,1,1,0,0,1,0
