"sample.depths","sample.ages","upland.sum","Celtis","Cephalanthus","Asteraceae.undiff.","Ilex","Quercus","Rhizophora","Ambrosia","Myrica","Pinus","Amaranthaceae","Poaceae","Cupressaceae.Taxaceae","Alnus","Fabaceae","Cyperaceae.undiff.","Conocarpus","Bumelia","Polygonaceae","Casuarina","Euphorbiaceae","Annonaceae","Avicennia","Ulmus","Bursera.simaruba"
1,-41,192,2,2,2,2,2,2,2,28,136,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0
2,-38,190,0,0,2,2,4,0,6,62,70,0,24,4,2,6,8,0,0,0,0,0,0,0,0,0
3,-34,206,0,2,8,0,18,4,10,98,36,2,4,2,0,6,4,12,0,0,0,0,0,0,0,0
4,-31,160,0,2,12,2,4,2,8,52,50,16,0,6,0,0,4,0,2,0,0,0,0,0,0,0
5,-27,156,0,0,8,0,4,0,6,44,80,4,6,2,0,0,0,0,0,2,0,0,0,0,0,0
7,-20,128,0,0,8,0,4,6,8,34,58,6,2,0,0,0,0,0,0,0,2,0,0,0,0,0
9,-13,192,2,0,8,10,2,2,2,52,92,6,0,8,0,0,6,0,0,2,0,0,0,0,0,0
11,-4,234,0,4,18,16,4,14,8,78,68,16,0,6,0,2,0,0,0,0,0,0,0,0,0,0
15,18,234,0,0,16,14,0,60,2,80,42,4,2,0,0,0,0,0,8,4,0,2,0,0,0,0
21,51,204,0,0,8,6,0,32,0,78,68,4,4,0,0,0,0,2,0,2,0,0,0,0,0,0
25,184,200,0,0,6,8,0,16,0,64,64,6,2,0,0,6,2,0,2,22,0,0,2,0,0,0
31,384,212,0,2,2,8,0,52,0,72,24,28,0,0,2,6,8,0,0,0,2,0,0,6,0,0
35,408,260,0,2,6,2,4,4,2,44,68,118,0,2,2,2,0,0,0,4,0,0,0,0,0,0
41,445,1440,0,0,52,0,6,14,0,36,54,1266,2,0,0,8,0,0,0,2,0,0,0,0,0,0
45,469,322,0,0,44,6,2,12,0,60,42,84,2,0,0,6,40,0,0,20,0,0,0,0,4,0
51,506,422,0,0,28,2,6,186,0,8,10,154,2,0,0,10,12,0,0,4,0,0,0,0,0,0
55,530,254,0,0,64,4,2,124,2,2,26,2,0,0,0,4,18,0,2,0,0,4,0,0,0,0
61,567,334,0,0,76,0,2,178,0,20,28,0,0,0,2,4,4,0,0,20,0,0,0,0,0,0
65,NA,338,6,0,20,8,2,52,2,88,118,38,0,0,0,4,0,0,0,0,0,0,0,0,0,0
71,NA,302,0,0,4,4,2,4,0,46,160,66,2,2,2,0,6,0,2,0,0,0,0,0,0,2
77,NA,190,0,0,0,0,2,2,0,10,164,8,2,0,0,2,0,0,0,0,0,0,0,0,0,0
