"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Aquifoliaceae","Betula","Carya","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Juglans.cinerea","Juglans.nigra","Larix","Myricaceae","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Chenopodiaceae.Amaranthaceae","Cyperaceae","Plantago.lanceolata","Poaceae","Polygonum"
0,-49,0.0353982300884956,0.00589970501474926,0.00589970501474926,0.0353982300884956,0,0.00294985250737463,0.162241887905605,0.00294985250737463,0,0.00589970501474926,0,0,0.00294985250737463,0.00294985250737463,0,0.00294985250737463,0,0.00294985250737463,0,0.0737463126843658,0.088495575221239,0.126843657817109,0.289085545722714,0.0324483775811209,0,0,0.0619469026548673,0,0.0176991150442478,0.00589970501474926,0,0,0.00294985250737463,0.0147492625368732,0,0.0176991150442478,0
4,-18,0.0162162162162162,0.00810810810810811,0.00810810810810811,0.0189189189189189,0,0,0.232432432432432,0,0.0027027027027027,0.00540540540540541,0,0,0,0.0027027027027027,0,0,0,0.00540540540540541,0.0027027027027027,0.0783783783783784,0.0594594594594595,0.17027027027027,0.267567567567568,0.0243243243243243,0,0,0.0405405405405405,0.00810810810810811,0.00810810810810811,0.0162162162162162,0.0027027027027027,0,0.0108108108108108,0.0027027027027027,0,0.00810810810810811,0
8,14,0.0239520958083832,0,0.0119760479041916,0.0179640718562874,0,0,0.158682634730539,0,0,0.0029940119760479,0,0,0,0,0,0,0,0,0,0.125748502994012,0.0988023952095808,0.116766467065868,0.305389221556886,0.0209580838323353,0,0,0.062874251497006,0.00898203592814371,0.0269461077844311,0.0119760479041916,0,0,0.00598802395209581,0,0,0,0
12,45,0.0159151193633952,0.00530503978779841,0.00530503978779841,0.0159151193633952,0,0.0106100795755968,0.228116710875332,0.00530503978779841,0,0,0,0,0,0,0,0,0,0.0026525198938992,0,0.119363395225464,0.0822281167108753,0.090185676392573,0.251989389920424,0.0318302387267905,0.0026525198938992,0,0.0557029177718833,0.00795755968169761,0.039787798408488,0.00530503978779841,0.0026525198938992,0,0.00530503978779841,0,0,0.0159151193633952,0
16,76,0.0212765957446809,0,0.00531914893617021,0.0212765957446809,0,0,0.228723404255319,0,0,0.00531914893617021,0,0,0,0,0,0,0,0.00531914893617021,0,0.101063829787234,0.0585106382978723,0.132978723404255,0.252659574468085,0.0292553191489362,0.00797872340425532,0,0.0478723404255319,0.00265957446808511,0.0398936170212766,0.0159574468085106,0.00265957446808511,0,0.0106382978723404,0,0,0.0106382978723404,0
17,85,0.0245901639344262,0,0,0.0327868852459016,0.00546448087431694,0,0.248633879781421,0,0.00273224043715847,0.00546448087431694,0,0,0,0.00273224043715847,0,0,0,0,0,0.0846994535519126,0.0491803278688525,0.131147540983607,0.259562841530055,0.0245901639344262,0,0,0.0519125683060109,0.00819672131147541,0.0245901639344262,0.0163934426229508,0.00273224043715847,0,0.00819672131147541,0,0,0.0163934426229508,0
19,100,0.0220994475138122,0,0.00828729281767956,0.0165745856353591,0,0.00552486187845304,0.176795580110497,0,0,0.00276243093922652,0.00276243093922652,0,0,0,0,0,0,0.00276243093922652,0,0.12707182320442,0.0414364640883978,0.171270718232044,0.303867403314917,0.0220994475138122,0,0,0.0552486187845304,0.0110497237569061,0.0220994475138122,0,0,0,0.00276243093922652,0.00552486187845304,0,0,0
20,113,0.027355623100304,0,0.0151975683890578,0.0303951367781155,0,0,0.167173252279635,0,0,0.00303951367781155,0,0,0.00303951367781155,0,0,0,0,0.00303951367781155,0,0.0699088145896656,0.0790273556231003,0.234042553191489,0.234042553191489,0.0303951367781155,0,0,0.0638297872340425,0.0182370820668693,0.00911854103343465,0.0060790273556231,0,0,0,0.0060790273556231,0,0,0
21,127,0.025,0,0.015625,0.028125,0,0.003125,0.21875,0,0,0,0,0,0,0.003125,0,0.003125,0,0.003125,0,0.05625,0.0625,0.215625,0.25,0.021875,0.003125,0,0.046875,0.015625,0.009375,0,0,0,0.003125,0,0,0.015625,0
25,181,0.0188679245283019,0,0.00628930817610063,0.0283018867924528,0,0,0.207547169811321,0.00314465408805031,0,0.00628930817610063,0,0.00314465408805031,0,0,0,0,0,0,0,0.0974842767295598,0.0723270440251572,0.0691823899371069,0.361635220125786,0.0220125786163522,0.00314465408805031,0,0.0660377358490566,0.00943396226415094,0.00943396226415094,0.00628930817610063,0.00628930817610063,0,0.00314465408805031,0,0,0,0
