"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.rubrum","Alnus.viridis.type","Alnus.undiff.","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Quercus","Salix","Trees.undiff.","Tsuga","Ulmus","Fraxinus","Pinus","Populus","Carya","Herbs.undiff.","Rumex","Acer.saccharinum.type","Shrubs.undiff.","Tilia","Myricaceae","Rosaceae","Corylus","Acer.undiff.","Ericaceae","Shepherdia","Juglans","Morus","Sarcobatus.vermiculatus"
175,6561,1143,0,3,0,7,1,6,0,44,7,0,26,0,8,4,375,74,0,11,2,1,0,13,7,550,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
190,6982,351,3,0,0,5,1,3,10,26,3,3,14,0,1,5,101,5,1,4,0,0,0,2,4,155,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
200,7262,466,0,1,0,0,3,4,1,26,0,1,10,0,4,8,127,73,1,5,2,0,0,1,0,194,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,7542,401,3,0,1,1,1,4,9,31,1,0,13,0,4,5,90,44,0,2,1,0,0,2,0,184,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
220,7822,688,2,1,0,7,7,5,7,44,1,2,21,0,5,7,140,67,1,9,1,0,0,3,0,356,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
230,8103,521,2,3,0,5,3,2,5,25,4,1,11,2,2,2,96,97,0,8,0,0,0,6,2,243,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
235,8243,1404,14,2,0,13,8,9,18,90,1,6,24,7,8,24,312,52,0,15,2,0,0,12,7,762,5,2,5,0,0,2,0,2,0,0,0,0,0,1,1,0
245,8430,523,0,2,0,6,3,5,14,23,2,2,13,0,1,9,82,55,0,6,0,0,0,7,1,286,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
260,8712,380,0,0,0,3,2,1,13,9,1,0,1,0,0,2,28,78,0,6,0,0,0,5,0,228,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
275,8984,453,0,0,0,2,2,5,2,11,3,0,38,0,0,13,19,70,0,5,1,0,0,2,0,278,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
285,9142,410,1,0,0,2,2,0,9,10,1,1,5,0,1,11,12,89,1,6,2,0,0,4,0,249,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
290,9221,506,0,0,0,1,0,0,8,7,2,0,6,0,0,14,12,86,0,9,1,0,0,6,3,347,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
300,9378,411,0,0,0,1,1,4,8,9,0,1,13,0,3,13,5,84,0,12,2,0,0,7,1,238,2,0,3,0,0,0,0,0,0,2,0,0,0,1,0,1
320,9693,501,1,0,0,0,1,2,4,9,2,0,8,0,5,20,7,71,0,10,2,0,0,8,2,327,1,0,18,0,0,0,1,0,0,0,0,0,0,2,0,0
325,9771,422,1,0,0,1,0,5,9,9,2,1,12,0,5,17,6,85,0,7,2,0,0,11,2,241,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0
330,9850,467,2,0,0,0,0,2,29,9,0,4,3,0,1,27,7,16,0,5,0,0,0,8,0,322,1,1,29,0,0,0,1,0,0,0,0,0,0,0,0,0
345,10086,482,1,1,0,0,0,1,117,7,0,6,17,1,5,66,4,22,0,9,3,0,0,5,5,176,3,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0
350,10165,347,0,0,0,0,0,2,87,5,0,1,23,0,1,37,4,5,0,9,2,0,0,2,1,159,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
352,10196,451,1,0,0,1,2,6,40,5,1,0,9,1,5,35,6,69,0,12,4,0,0,9,0,224,3,1,16,0,0,0,0,0,0,0,0,0,0,1,0,0
355,10244,350,0,0,0,0,0,2,79,3,1,2,16,0,1,51,2,64,0,8,0,0,0,3,4,65,1,0,45,0,0,0,0,1,0,2,0,0,0,0,0,0
356,10259,464,0,0,0,2,0,4,63,7,1,1,12,0,5,68,2,97,0,12,1,0,0,11,1,98,5,3,69,0,0,0,0,0,0,0,0,0,0,2,0,0
357,NA,401,3,2,0,0,0,4,22,7,1,2,22,1,4,85,2,6,1,12,3,0,0,16,3,108,0,3,91,0,0,0,0,0,0,1,0,0,0,2,0,0
358,NA,451,0,1,0,1,2,9,38,9,1,26,50,0,5,58,2,77,0,22,0,0,0,30,2,78,13,1,20,0,0,0,0,0,0,2,1,0,0,3,0,0
359,NA,398,0,6,0,4,0,5,57,15,5,3,21,1,3,43,2,67,1,24,0,0,0,20,3,68,43,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
