"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.rubrum","Alnus.viridis.type","Alnus.undiff.","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Quercus","Salix","Trees.undiff.","Tsuga","Ulmus","Fraxinus","Pinus","Populus","Carya","Herbs.undiff.","Rumex","Acer.saccharinum.type","Shrubs.undiff.","Tilia","Myricaceae","Rosaceae","Corylus","Acer.undiff.","Ericaceae","Shepherdia","Juglans","Morus","Sarcobatus.vermiculatus"
0,1,1000,8,13,3,12,7,22,4,150,6,3,16,1,4,43,269,25,1,28,1,1,24,4,2,344,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
15,122,632,2,7,3,10,3,5,2,136,2,1,6,0,8,27,117,96,1,15,4,0,14,2,2,162,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,0
25,1252,636,2,2,1,11,0,2,0,100,1,6,15,0,2,9,159,36,0,16,0,0,9,5,2,254,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
35,2195,607,1,3,3,4,7,2,2,98,2,3,8,0,5,8,176,12,0,14,3,0,11,4,1,238,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,2491,799,3,3,0,7,3,3,2,81,1,9,13,0,6,6,240,92,0,14,1,0,18,2,7,281,3,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0
65,2823,869,0,7,3,4,5,2,3,91,0,0,18,0,13,3,285,29,1,15,1,0,13,5,2,363,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0
75,2989,599,1,5,1,3,2,4,3,35,0,3,12,0,2,1,184,94,0,14,1,0,5,1,1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3059,774,2,7,1,8,3,2,0,55,3,2,13,0,5,4,267,29,0,14,1,0,5,3,1,345,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
100,3659,697,1,4,1,6,2,1,3,46,2,7,11,0,4,5,226,88,0,10,0,0,6,1,1,263,4,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0
125,5095,968,1,13,2,13,2,5,3,49,3,5,14,0,7,3,334,4,1,36,0,0,16,6,3,438,3,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0
130,5247,1288,3,11,2,6,1,4,5,62,0,13,26,0,8,0,483,61,0,39,0,0,1,3,7,544,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0
155,6000,530,0,1,1,3,0,3,2,5,4,3,5,0,2,0,210,1,0,19,0,1,1,7,1,260,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,6421,1773,2,8,0,5,5,3,9,61,7,2,19,0,22,3,586,99,3,31,0,0,0,16,3,884,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0
