"sample.depths","sample.ages","Acer.rubrum","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Bidens.type","Carya","Cassia","Celtis","Cephalanthus","cf..Clethra","Cladium","Cyperaceae.undiff.","Dryopteris.type","Ephedra","Ericales","Eriogonum","Fraxinus","Gordonia","Ilex","Iva","Juglans.nigra.type","Lechea","Liquidambar","Lycopodium.type","Myrica","Nuphar","Nymphaea","Nyssa.sylvatica.type","Osmunda","Ostrya.Carpinus","Parthenocissus","Pinus","Platanus","Poaceae","Polygonum","Pontederiaceae","Pteridium.type","Quercus","Rhus","Sagittaria","Salix","Serenoa","Taxodium","Tillandsia","Typha.latifolia","Ulmus","Unknown","Vitis"
275,-18,1,0,3,4,0,3,0,19,0,0,2,0,0,6,1,0,1,0,0,0,3,1,1,0,3,0,47,0,1,0,0,0,0,141,0,11,1,0,0,45,0,0,0,1,2,0,0,2,3,0
280,59,0,1,6,5,0,2,1,14,0,0,2,0,0,5,0,0,0,0,3,0,2,1,0,0,2,0,52,0,0,1,0,2,0,123,0,10,0,0,0,51,0,3,0,0,5,0,0,1,0,1
295,288,0,1,7,0,0,1,0,25,0,0,0,0,0,3,3,0,1,0,2,2,0,0,0,0,6,0,39,0,0,0,0,1,0,145,0,8,0,0,0,48,0,2,1,0,2,2,1,3,0,1
315,594,0,0,2,0,0,0,0,28,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,8,0,16,0,0,0,1,2,0,182,0,10,0,0,0,45,0,2,0,0,3,0,0,0,0,0
335,900,0,1,2,0,0,2,0,27,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,5,0,33,0,0,2,0,1,0,156,0,13,0,0,0,45,0,1,0,0,6,0,0,0,1,0
345,1053,0,1,1,0,0,0,0,29,0,0,0,0,0,3,3,0,2,0,0,0,2,0,0,1,4,0,32,0,0,1,0,0,0,168,0,6,0,0,0,45,0,0,0,0,2,0,0,0,0,0
365,1359,0,0,4,0,0,1,0,12,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0,0,3,0,30,0,1,2,0,1,0,167,0,8,0,1,0,54,1,0,0,0,7,0,0,2,1,1
385,1665,0,0,6,0,0,0,0,18,1,0,0,0,0,3,1,0,1,0,0,0,4,0,0,0,4,0,29,1,0,1,0,2,0,168,1,8,0,0,0,52,0,0,0,0,1,0,0,2,0,0
405,1971,0,0,7,0,0,1,0,18,0,0,0,0,1,6,2,0,0,1,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,166,0,11,0,0,1,69,0,0,0,0,3,0,0,0,0,0
425,2277,0,0,4,0,0,3,1,20,0,1,0,0,0,3,0,0,0,0,2,0,1,0,0,1,2,0,12,0,0,1,0,1,0,196,0,8,0,0,0,42,0,0,0,0,4,0,0,1,0,0
445,2583,0,0,4,0,0,1,0,20,0,0,0,0,0,5,1,1,0,0,2,0,0,0,0,0,0,0,13,0,0,3,0,2,0,181,0,10,0,0,0,55,0,0,0,0,2,0,0,0,0,2
465,2889,0,0,8,0,0,1,0,14,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,10,0,0,1,0,1,0,197,0,8,0,0,0,51,0,0,0,0,1,0,1,1,0,0
485,3195,0,0,1,0,0,0,0,14,0,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,1,0,1,0,217,0,9,0,0,1,44,0,0,0,0,3,0,0,0,0,0
505,3501,0,0,2,0,0,2,0,19,0,0,1,0,2,7,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,1,1,0,0,193,0,10,3,0,0,53,0,1,0,0,0,0,0,2,1,0
525,3807,1,0,3,0,1,1,0,10,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,210,0,6,0,0,0,53,0,0,0,0,0,0,0,1,0,0
545,4114,0,0,0,1,0,0,0,13,0,1,0,1,1,11,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,184,0,7,0,0,2,69,0,1,0,0,1,0,0,2,1,0
565,4420,1,0,4,0,0,5,0,12,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,1,0,0,0,186,0,5,0,0,0,67,0,5,0,0,2,0,0,0,0,1
585,4726,0,3,6,0,0,4,0,15,0,0,0,0,0,10,0,0,1,0,3,0,0,1,0,1,1,0,9,0,0,0,0,0,0,131,0,21,0,0,0,91,0,0,0,0,1,0,0,1,2,1
595,4879,0,0,11,0,0,7,0,11,0,0,0,0,0,11,0,0,2,0,0,0,0,1,0,0,1,2,4,0,0,0,0,0,1,94,0,30,0,0,0,124,0,3,0,0,0,0,0,1,0,0
605,NA,0,0,2,0,0,8,1,9,0,0,0,0,0,35,1,0,1,0,0,0,0,1,0,2,2,1,3,0,4,2,0,0,0,80,0,39,0,0,0,108,0,2,0,0,3,0,0,3,0,0
615,NA,0,1,10,0,0,19,0,3,0,0,0,0,0,31,2,0,2,0,1,0,0,3,0,0,1,2,3,0,3,0,0,0,0,39,0,46,0,1,0,129,0,7,1,0,1,0,0,1,3,1
