"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Ambrosia.type","Artemisia","Betula","Cannabaceae","Amaranthaceae.undiff.","Iva.annua.type","Corylus","Cupressaceae","Cyperaceae","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Salsola","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Urtica.type","Alnus","Fraxinus","Poaceae","Euphorbia","Platanus","Tilia","Rosaceae","Acer.rubrum","Tsuga","Juglans.nigra","Campanulaceae","Castanea","Amorpha.type","Apiaceae","Carya","Parthenocissus","Morus","Acer.saccharinum.type","Celtis","Vitis","Cornus","Dalea","Asteraceae.subf..Cichorioideae","Tidestromia.type","Fagus","Caryophyllaceae","Sarcobatus.vermiculatus","Shepherdia.argentea","Acer.negundo","Ephedra","Myrica","Brassicaceae"
1282,23,407,1,1,34,13,58,2,3,1,4,18,25,1,3,4,7,22,38,74,5,23,5,1,1,1,2,5,28,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,332,360,3,1,4,6,75,0,1,0,4,5,4,0,3,5,11,32,59,101,2,11,4,0,1,0,0,0,15,1,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320,696,350,2,0,9,11,77,0,1,1,3,5,5,0,1,4,8,23,45,95,4,16,3,0,0,1,2,0,18,5,3,1,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1340,1071,351,7,0,9,3,87,0,2,0,3,0,7,1,4,13,5,23,33,77,4,18,0,0,0,4,8,2,23,2,12,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1350,1259,303,9,3,2,5,65,0,0,1,2,7,3,0,2,5,6,20,56,75,5,11,2,0,2,1,2,0,8,2,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1355,1352,302,3,0,3,7,64,0,2,0,1,12,1,0,1,6,6,32,46,60,12,16,2,0,0,2,3,2,13,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1360,1445,330,1,1,3,4,58,0,0,0,3,5,9,0,3,1,7,20,38,31,6,110,1,0,0,1,0,0,19,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1365,1538,354,5,1,4,8,54,0,0,0,5,1,8,1,3,7,0,45,56,76,10,16,6,0,0,2,4,0,22,6,9,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1370,1629,281,0,1,4,3,53,0,0,0,0,1,13,0,4,5,3,14,50,81,10,6,2,0,0,1,2,2,13,4,4,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380,1809,359,3,3,0,4,56,0,1,0,2,12,5,0,1,7,11,31,74,80,3,19,2,0,0,2,5,1,21,5,6,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
