"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Cornus.sericea","Corylus","Cupressaceae","Cyperaceae","Dalea","Dryas","Elaeagnus","Equisetum","Ericaceae","Fabaceae.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica","Galium","Huperzia.lucidula","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.annotinum","Lycopodium.clavatum","Myrica","Nuphar","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Poaceae","Polypodiaceae","Populus.balsamifera","Potamogetonaceae","Potentilla","Pteridium","Quercus","Rosaceae.undiff.","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Typha.latifolia","Ulmus"
615,5820,24,0,1,29,45,1,1,0,14,1,70,0,1,0,0,0,3,4,1,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,3,0,0,1,0,2,229,38,5,130,3,0,1,0,0,0,6,0,1,5,0,0,12,0,1,1,0
685,6800,22,0,0,15,19,3,6,0,10,1,50,0,0,0,0,0,3,9,5,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,13,0,3,2,0,0,115,47,23,350,3,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,3
695,6940,20,0,0,38,43,7,8,0,19,5,130,0,0,0,0,0,2,13,10,0,0,0,1,0,0,7,0,0,0,3,2,1,0,0,9,2,2,3,0,7,138,23,12.5,325,9,0,14,0,0,6,10,1,0,5,2,0,0,0,0,0,8
705,7080,23,0,0,23,28,3,10,0,14,2,93,0,0,0,0,1,5,19,7,0,0,0,2,0,0,6,0,0,0,4,2,2,0,0,18,1,2,8,0,1,93,27,11,373,7,3,5,1,1,1,6,0,0,1,4,0,0,0,0,0,4
715,7220,10,0,0,15,20,3,1,1,16,3,107,0,0,0,0,0,1,4,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,9,3,0,3,0,1,90,16.5,13.5,215,4,0,3,0,0,1,5,0,0,1,0,0,0,0,0,0,1
725,7360,13,0,0,15,20,3,5,0,7,1,83,0,0,0,0,0,5,9,3,0,0,0,2,0,0,6,0,0,0,2,1,1,0,0,8,1,0,6,0,3,77,24,14,276,6,0,8,2,0,4,4,0,0,0,0,0,0,0,0,1,2
735,7485,13,0,0,20,41,7,14,0,24,6,187,0,0,0,0,0,6,14,13,0,0,0,1,0,0,4,0,0,0,5,1,2,0,0,13,1,0,3,0,4,86,20,17,327,11,3,5,0,0,2,9,0,1,1,1,0,0,0,0,0,2
750,7608,9,0,0,17,20,3,12,0,21,0,109,0,0,0,0,0,4,7,11,0,0,0,1,0,0,2,0,0,0,3,1,0,0,0,9,0,0,3,0,2,85,17,12,275,5,1,4,0,0,1,4,0,0,2,0,0,1,0,0,0,2
770,7772,21,1,0,18,42,11,16,0,26,1,159,0,0,0,0,0,3,19,14,0,0,0,0,0,1,1,0,0,0,3,1,0,0,0,13,2,0,5,0,2,92,25,12,478,20,2,7,0,0,2,8,0,0,3,1,0,1,2,0,0,2
790,7935,8,0,1,17,41,14,14,0,18,2,122,0,0,0,0,0,2,17,11,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,9,1,0,3,0,3,68,72,25,288,13,6,4,0,0,5,5,1,0,3,1,0,0,0,0,1,2
810,8099,29,0,0,11,39,8,16,0,12,1,134,0,0,0,0,1,7,21,14,0,0,0,3,0,0,0,1,0,0,3,1,2,0,0,19,0,1,3,0,1,113,38,7,274,7,3,10,0,0,4,5,0,0,7,1,0,0,1,0,1,0
825,8499,11,0,0,7,47,10,3,0,15,8,140,0,0,0,0,0,0,13,3,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,10,2,0,1,1,1,75,269,38,307,7,2,11,0,0,1,3,0,0,2,0,0,0,0,0,1,3
835,8802,7,0,0,12,48,7,8,0,7,5,136,0,0,0,0,0,2,11,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,7,0,0,1,0,2,78,211,7,218,7,0,8,0,0,0,0,0,0,5,1,0,0,0,0,0,1
840,8954,12,0,0,14,38,4,5,0,10,7,121,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,115,192,7,199,3,1,8,0,0,1,1,1,0,0,0,0,0,0,0,1,3
845,9106,18,0,0,65,78,6,1,0,17,6,153,0,0,0,0,0,1,3,12,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,7,1,0,2,0,2,148,52,2,261,5,1,6,0,0,0,3,0,0,2,1,1,0,0,0,0,0
850,9258,17,0,0,14,43,5,5,0,10,5,78,0,0,0,0,0,1,4,8,0,0,0,2,0,0,0,0,0,0,2,1,2,0,0,10,0,0,2,0,1,127,48,2,133,4,0,3,0,0,0,1,0,0,2,0,0,0,0,0,2,0
855,9410,17,0,0,18,31,10,5,0,12,3,119,0,0,0,0,0,2,3,8,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,12,0,0,2,3,0,103,24,0,210,2,0,7,0,0,3,1,0,0,2,0,2,0,0,0,0,0
860,9561,28,0,0,19,68,3,5,0,17,4,128,0,0,0,0,0,3,11,7,0,0,0,1,0,1,2,0,0,0,2,1,0,0,0,7,0,0,4,0,1,124,248,17,0,3,0,2,0,0,1,0,0,0,3,2,1,0,0,0,0,2
865,9713,33,0,0,7,49,5,3,0,16,5,55,0,0,0,0,0,1,17,9,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,9,0,0,2,0,2,130,204,14,0,4,1,3,0,0,1,0,0,0,4,2,0,0,0,0,0,1
870,9865,9,0,0,4,17,9,13,0,20,8,56,0,0,0,0,0,0,21,6,0,0,0,1,0,0,1,0,0,0,2,1,0,0,1,7,0,0,0,0,0,211,212,18,0,7,0,5,0,0,1,4,0,0,5,1,0,0,0,0,0,3
875,10017,10,0,0,5,3,19,19,0,26,6,36,0,0,0,0,0,1,17,10,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,16,0,0,0,0,1,257,167,9,0,6,1,4,0,0,2,4,0,0,7,1,0,0,0,0,1,3
880,10169,3,0,0,3,12,15,14,0,29,7,26,1,0,1,0,0,1,13,10,0,0,0,1,0,0,3,0,0,0,2,3,3,0,0,19,1,0,1,0,1,241,149,0,0,2,1,2,0,0,1,9,0,0,4,0,0,0,0,0,1,5
884,10290,1,1,1,2,3,4,10,0,28,2,20,0,1,0,0,0,0,13,11,0,0,0,0,0,0,8,0,0,0,5,0,2,0,0,26,0,0,0,0,2,193,0,0,133,3,0,5,0,0,2,7,1,0,4,0,1,0,0,0,0,5
887,NA,0,0,0,1,3,9,7,0,20,5,30,1,0,0,1,0,0,7,10,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,32,0,0,0,0,0,184,0,0,78,6,0,2,0,0,0,7,1,0,8,0,0,1,0,0,0,5
890,NA,1,0,2,2,4,13,30,0,33,8,18,0,0,0,0,1,2,12,29,0,1,0,5,0,0,5,0,1,0,5,3,4,1,1,41,1,1,0,0,4,222,0,0,246,10,0,12,1,0,5,17,0,0,12,0,2,0,0,1,1,12
894,NA,1,0,1,0,0,9,16,1,48,9,13,0,0,0,0,0,0,13,31,1,1,0,1,0,0,3,0,0,0,4,1,1,0,0,29,0,0,0,0,2,104,0,0,192,4,1,9,0,0,6,8,1,0,11,0,0,0,0,0,0,7
898,NA,1,0,0,2,2,16,11,0,43,12,26,0,0,1,1,0,0,26,38,1,1,0,1,1,0,7,0,0,0,3,0,1,0,0,12,1,0,0,0,2,100,0,0,279,13,1,12,0,0,7,16,1,0,13,2,2,0,0,0,3,9
906,NA,3,0,0,3,6,12,6,0,63,7,29,0,1,0,0,0,3,15,45,0,1,3,2,0,0,4,0,0,0,2,4,1,1,0,8,1,0,0,0,5,72,0,0,197,15,1,13,0,0,7,14,0,0,48,0,4,3,0,0,1,24
