"sample.depths","sample.ages","upland.sum","Carya","Asteraceae.undiff.","Cyperaceae","Quercus","Ambrosia","Fabaceae","Amaranthaceae","Thalictrum","Pinus","Cephalanthus","Casuarina","Polygonaceae","Myrica","Liquidambar","Poaceae","Cupressaceae.Taxaceae","Ericaceae","Betula","Magnolia","Ilex","Fraxinus","Ulmus","Euphorbiaceae","Bumelia","Bursera.simaruba","Alnus","Melastomataceae","Celtis","Salix","Anacardiaceae","Apiaceae"
1,-41,610,6,8,8,6,2,2,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-32,640,0,4,4,2,0,0,616,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-23,554,0,2,2,8,2,0,526,0,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-15,608,0,10,6,6,0,0,566,0,12,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-6,592,0,8,8,0,0,0,560,0,10,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,692,2,22,14,6,2,2,592,0,22,6,8,4,2,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,11,396,6,12,16,2,2,2,322,0,26,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,20,672,2,20,6,8,14,2,500,2,42,2,14,2,50,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
17,28,252,2,0,2,0,2,0,216,0,16,0,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,37,752,0,16,10,2,8,2,470,0,136,0,0,2,92,0,6,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0
21,46,270,0,2,18,10,2,0,110,0,96,0,0,4,18,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
23,180,344,4,6,20,22,2,8,154,0,86,0,0,2,32,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0
25,440,248,2,0,46,12,2,0,100,0,62,0,0,2,12,0,4,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0
27,700,210,2,6,20,6,0,0,116,0,46,0,0,6,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,959,186,2,4,26,2,0,4,92,0,52,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1108,310,0,2,82,6,0,0,98,0,100,0,0,4,2,0,8,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0
33,1256,270,0,4,12,6,0,2,156,0,74,0,0,4,4,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
35,1405,338,0,4,2,4,0,0,200,0,102,2,0,0,14,0,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1553,398,0,10,20,18,0,2,184,0,134,0,0,8,16,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1702,180,0,0,0,4,0,0,88,0,74,0,0,0,6,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1851,166,0,2,4,8,0,2,72,0,50,0,0,4,14,0,2,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0
43,1889,172,0,2,2,4,0,0,102,0,44,0,0,4,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1928,268,2,2,12,8,0,2,122,0,116,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
47,1967,210,0,6,2,8,0,0,102,0,72,0,0,0,8,0,0,0,6,0,0,0,0,2,0,0,0,0,0,2,2,0,0
49,2006,48,0,0,0,2,0,0,22,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2044,172,0,2,10,0,0,0,86,0,68,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2083,312,2,10,10,22,0,4,150,0,100,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
55,2122,270,0,4,2,6,0,0,168,0,76,0,0,2,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0
57,2161,320,0,10,2,12,0,0,150,0,128,0,0,0,10,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2199,364,0,4,6,4,0,2,272,0,62,0,0,4,2,0,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
61,2238,400,2,2,0,18,0,0,288,0,78,0,0,2,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
63,NA,304,0,2,0,4,0,0,256,0,34,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
65,NA,316,0,2,2,10,0,0,246,0,42,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
67,NA,198,0,0,8,4,0,2,142,0,36,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,NA,304,0,10,10,10,0,2,206,0,54,2,0,0,6,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
71,NA,230,0,10,2,8,0,0,160,0,34,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
