"sample.depths","sample.ages","Acer.saccharinum.type","Ambrosia.type","Artemisia","Betula","Cannabaceae","Amaranthaceae.undiff.","Cyperaceae","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Juglans.cinerea","Juglans.undiff.","Ostrya.Carpinus","Pinus.undiff.","Platanus","Quercus","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Brassicaceae","Rosaceae","Carya","Iva.xanthifolia.type","Picea","Celtis","Asteraceae.undiff.","Iva.annua.type","Fabaceae.undiff.","Ranunculaceae.undiff.","Tilia","Populus","Rumex","Amorpha.type","Pinus.subg..Strobus","Apiaceae","Cerealia","Lamiaceae","Cupressaceae","Acer.negundo","Corylus","Sarcobatus.vermiculatus","Fraxinus.nigra.type","Polemoniaceae","Abies","Asteraceae.subf..Cichorioideae","Dalea","Impatiens","Ephedra","Liliaceae","Pinus.subg..Pinus","Caryophyllaceae","Iva.undiff.","Malvaceae","Polygonaceae.undiff.","Larix","Acer.saccharum.type","Liquidambar","Tsuga","Morus","Plantago","Herbs.undiff.","Trees.undiff.","Acer.rubrum","Rhamnaceae.Vitaceae","Shepherdia","Fraxinus.undiff.","Ericaceae"
2,5,0.00323624595469256,0.43042071197411,0.0194174757281553,0.00323624595469256,0.0129449838187702,0.0938511326860841,0.0161812297734628,0.0388349514563107,0.0776699029126214,0.00970873786407767,0.00647249190938511,0.0161812297734628,0.0194174757281553,0.00323624595469256,0.184466019417476,0.00647249190938511,0.00323624595469256,0.00970873786407767,0.0323624595469256,0.00647249190938511,0.00323624595469256,0.00323624595469256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,0.00282485875706215,0.497175141242938,0.0169491525423729,0,0.0112994350282486,0.0621468926553672,0.019774011299435,0.0141242937853107,0.101694915254237,0,0.00564971751412429,0,0.0225988700564972,0,0.169491525423729,0.0169491525423729,0,0.0169491525423729,0.0338983050847458,0,0,0,0.00282485875706215,0.00282485875706215,0.00282485875706215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,25,0.00240384615384615,0.555288461538462,0.00961538461538462,0,0.00240384615384615,0.0793269230769231,0.0120192307692308,0.03125,0.0745192307692308,0.00240384615384615,0,0.00240384615384615,0.00961538461538462,0,0.122596153846154,0.03125,0.00480769230769231,0,0.0216346153846154,0.00240384615384615,0.00240384615384615,0.00240384615384615,0.00240384615384615,0.00240384615384615,0.00240384615384615,0.00240384615384615,0.00961538461538462,0.00240384615384615,0.00240384615384615,0.00240384615384615,0.00240384615384615,0.00240384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,38,0,0.618296529968454,0.0220820189274448,0.00315457413249211,0,0.0473186119873817,0.0220820189274448,0.0157728706624606,0.100946372239748,0,0,0.00315457413249211,0.0189274447949527,0,0.110410094637224,0,0.00315457413249211,0.0126182965299685,0.00315457413249211,0,0.00315457413249211,0,0.00315457413249211,0,0,0.00315457413249211,0,0,0.00315457413249211,0,0.00315457413249211,0.00315457413249211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,50,0.00294985250737463,0.489675516224189,0.0294985250737463,0.0088495575221239,0.00294985250737463,0.0265486725663717,0.0353982300884956,0.0147492625368732,0.0530973451327434,0.00589970501474926,0.00589970501474926,0.00294985250737463,0.0530973451327434,0,0.174041297935103,0.00589970501474926,0.00294985250737463,0.0176991150442478,0.0324483775811209,0,0.00589970501474926,0.0088495575221239,0.00294985250737463,0,0.0117994100294985,0,0,0,0.00294985250737463,0,0,0,0.00294985250737463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,62,0,0.326530612244898,0.0583090379008746,0.0145772594752187,0,0.0466472303206997,0.0991253644314869,0.00583090379008746,0.0962099125364431,0.00291545189504373,0,0.0233236151603499,0.032069970845481,0.0116618075801749,0.166180758017493,0.0116618075801749,0.00583090379008746,0.0349854227405248,0.0233236151603499,0.00583090379008746,0,0.0087463556851312,0.00291545189504373,0,0.00291545189504373,0,0,0,0.00291545189504373,0,0.00291545189504373,0,0,0.00291545189504373,0.00291545189504373,0.00291545189504373,0.00291545189504373,0.00291545189504373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,75,0,0.373493975903614,0.0451807228915663,0.0120481927710843,0,0.0210843373493976,0.0753012048192771,0.0120481927710843,0.0873493975903614,0,0,0.0120481927710843,0.0451807228915663,0.00301204819277108,0.192771084337349,0.0150602409638554,0,0.0240963855421687,0.0180722891566265,0.00602409638554217,0.00602409638554217,0,0.00903614457831325,0,0.0120481927710843,0,0,0.00903614457831325,0.00602409638554217,0,0.00602409638554217,0,0,0.00301204819277108,0,0,0,0.00301204819277108,0.00301204819277108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,87,0.0087463556851312,0.256559766763848,0.0816326530612245,0.00583090379008746,0,0.0262390670553936,0.102040816326531,0.00291545189504373,0.119533527696793,0.00583090379008746,0,0,0.0553935860058309,0.00291545189504373,0.186588921282799,0.00583090379008746,0,0.0612244897959184,0.0174927113702624,0,0,0.00291545189504373,0.0174927113702624,0,0.0204081632653061,0,0,0.00291545189504373,0.00291545189504373,0,0,0,0,0,0.00583090379008746,0,0,0,0,0.00291545189504373,0.00291545189504373,0.00291545189504373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,100,0.00840336134453781,0.0672268907563025,0.092436974789916,0.0140056022408964,0,0.0168067226890756,0.212885154061625,0.00840336134453781,0.126050420168067,0,0.00560224089635854,0.0112044817927171,0.0588235294117647,0.0140056022408964,0.210084033613445,0.0168067226890756,0.00560224089635854,0.0448179271708683,0.0168067226890756,0.00560224089635854,0.00280112044817927,0.00560224089635854,0.0112044817927171,0.00280112044817927,0.0112044817927171,0,0,0.00280112044817927,0.00280112044817927,0.00280112044817927,0.00560224089635854,0,0,0,0.00280112044817927,0,0,0.00280112044817927,0,0,0.00280112044817927,0.00280112044817927,0.00280112044817927,0.00280112044817927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,229,0.00564971751412429,0.192090395480226,0.0621468926553672,0.0169491525423729,0,0.0282485875706215,0.144067796610169,0.0112994350282486,0.166666666666667,0,0.0112994350282486,0.00564971751412429,0.0564971751412429,0.00282485875706215,0.189265536723164,0.00564971751412429,0,0.0649717514124294,0.00847457627118644,0,0,0,0.00282485875706215,0,0.00847457627118644,0,0,0.00847457627118644,0,0,0,0,0,0,0.00282485875706215,0,0,0,0,0,0,0.00282485875706215,0,0,0.00282485875706215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,357,0.0029940119760479,0.254491017964072,0.0568862275449102,0.0119760479041916,0,0.00898203592814371,0.062874251497006,0.0119760479041916,0.137724550898204,0.0029940119760479,0,0.029940119760479,0.0479041916167665,0.0119760479041916,0.203592814371257,0,0.00898203592814371,0.0688622754491018,0.0119760479041916,0,0,0,0.00898203592814371,0.00598802395209581,0.00598802395209581,0,0,0.0029940119760479,0.0149700598802395,0.00598802395209581,0,0.0029940119760479,0,0.0029940119760479,0.0029940119760479,0.00598802395209581,0,0,0,0,0,0.0029940119760479,0,0,0,0.0029940119760479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,461,0,0.25705329153605,0.0752351097178683,0.0125391849529781,0,0.00940438871473354,0.0407523510971787,0.00940438871473354,0.100313479623824,0.00313479623824451,0,0.00626959247648903,0.0470219435736677,0.00626959247648903,0.285266457680251,0.00313479623824451,0.00313479623824451,0.0626959247648903,0.0156739811912226,0.00626959247648903,0,0,0.0125391849529781,0,0.0250783699059561,0,0,0.00626959247648903,0.00313479623824451,0,0,0,0.00313479623824451,0,0,0,0,0,0,0,0,0,0,0,0.00313479623824451,0,0.00313479623824451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,540,0,0.221183800623053,0.0903426791277259,0.00311526479750779,0,0.0249221183800623,0.0373831775700935,0.0186915887850467,0.115264797507788,0.00623052959501558,0,0.00311526479750779,0.059190031152648,0.00311526479750779,0.183800623052959,0.00623052959501558,0,0.0996884735202492,0.0218068535825545,0.00623052959501558,0,0,0.0124610591900312,0,0.0218068535825545,0.00311526479750779,0,0.00311526479750779,0.00311526479750779,0.00623052959501558,0.0124610591900312,0.00311526479750779,0,0,0.0124610591900312,0,0,0.00934579439252336,0,0,0,0.00934579439252336,0,0,0,0,0.00311526479750779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,611,0,0.22189349112426,0.0739644970414201,0.014792899408284,0,0.0118343195266272,0.0650887573964497,0.014792899408284,0.168639053254438,0.0029585798816568,0,0.0118343195266272,0.0414201183431953,0.0029585798816568,0.159763313609467,0.0177514792899408,0.00887573964497041,0.0680473372781065,0.0177514792899408,0.00591715976331361,0,0,0.00591715976331361,0.0029585798816568,0.00887573964497041,0,0,0.00887573964497041,0,0.014792899408284,0.0029585798816568,0,0,0.0029585798816568,0.014792899408284,0.00591715976331361,0,0.00591715976331361,0,0,0,0.0029585798816568,0,0.00887573964497041,0,0,0,0.0029585798816568,0.0029585798816568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,776,0.00625,0.184375,0.08125,0.0125,0,0.03125,0.040625,0,0.209375,0,0,0.00625,0.071875,0.003125,0.196875,0.0125,0.003125,0.053125,0.015625,0.015625,0,0,0.003125,0,0.025,0,0,0.003125,0.003125,0,0,0,0,0,0.003125,0,0,0.003125,0,0,0,0,0,0,0,0,0.009375,0,0.003125,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,855,0.00308641975308642,0.141975308641975,0.080246913580247,0.0123456790123457,0,0.0277777777777778,0.0524691358024691,0.00617283950617284,0.194444444444444,0.00308641975308642,0,0.00617283950617284,0.108024691358025,0.00308641975308642,0.175925925925926,0.00617283950617284,0,0,0.0123456790123457,0.00925925925925926,0,0.00617283950617284,0.00617283950617284,0,0.0154320987654321,0,0.0709876543209877,0,0.00617283950617284,0.00617283950617284,0,0,0,0.00308641975308642,0.0277777777777778,0,0,0,0,0,0,0,0,0,0,0,0.00925925925925926,0,0.00308641975308642,0,0.00308641975308642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,969,0,0.201834862385321,0.0642201834862385,0.018348623853211,0,0.0214067278287462,0.0581039755351682,0.0152905198776758,0.174311926605505,0,0.00305810397553517,0.0152905198776758,0.0948012232415902,0.00611620795107034,0.165137614678899,0.0214067278287462,0,0.0611620795107034,0.018348623853211,0.00305810397553517,0,0.00305810397553517,0.0091743119266055,0,0.0152905198776758,0.00305810397553517,0,0.00305810397553517,0.00305810397553517,0.00611620795107034,0.00305810397553517,0,0,0.00305810397553517,0.00305810397553517,0,0,0,0,0,0,0,0.00305810397553517,0,0.00305810397553517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1120,0.00302114803625378,0.16012084592145,0.0604229607250755,0.0151057401812689,0,0.0211480362537764,0.0694864048338369,0.0241691842900302,0.193353474320242,0.00604229607250755,0,0.0241691842900302,0.0966767371601208,0.00604229607250755,0.157099697885196,0.0151057401812689,0.00302114803625378,0.0634441087613293,0.0120845921450151,0.00302114803625378,0,0,0.00906344410876133,0,0.0181268882175227,0,0,0.00604229607250755,0,0.00604229607250755,0.00604229607250755,0,0,0.00302114803625378,0.00302114803625378,0,0,0.00604229607250755,0,0,0.00302114803625378,0,0,0.00302114803625378,0,0,0,0,0.00302114803625378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
