"sample.depths","sample.ages","upland.sum","Picea.mariana.type","Picea.glauca.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Abies.balsamea","Acer.saccharum","Tsuga.canadensis","Quercus","Ulmus","Fraxinus.pennsylvanica.type","Larix.laricina","Juniperus.communis.Thuja.occidentalis.type","Betula","Salix","Alnus.viridis.subsp..crispa.type","Alnus.incana.type","Ericaceae","Lonicera.canadensis.type","Cyperaceae","Poaceae","Artemisia","Ambrosia.type","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Rosaceae.undiff.","Caryophyllaceae","Ranunculaceae","Onagraceae","Potentilla.palustris.type"
0,-45,312,51,25,39,3,24,17,4,0,1,2,0,0,2,0,19,11,7,1,81,0,16,1,0,3,1,1,3,0,0,0,0
5,115,574,4,0,1,0,0,0,0,0,0,0,0,0,0,0,568,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,275,310,111,0,21,23,0,14,1,0,0,0,0,0,0,0,28,5,12,0,0,0,75,7,0,0,0,0,1,11,0,1,0
20,594,312,95,0,13,4,0,2,0,0,0,1,0,0,0,1,27,2,7,0,1,0,135,3,4,1,0,1,1,0,1,0,13
30,914,319,9,0,3,0,0,0,0,0,0,0,0,0,0,0,36,5,14,1,0,0,203,2,0,0,1,0,16,0,0,0,29
40,1352,318,134,0,26,14,0,5,0,0,0,0,0,0,0,2,19,9,10,1,2,0,86,9,0,0,0,0,1,0,0,0,0
50,1791,374,129,0,10,7,0,0,0,0,0,0,0,0,0,0,40,8,11,2,1,0,155,5,3,0,0,1,2,0,0,0,0
60,2230,305,119,0,28,2,0,1,0,0,0,0,0,0,0,0,23,11,1,14,1,1,93,5,1,0,0,0,2,0,0,0,3
70,2400,433,26,0,1,6,0,1,0,0,0,0,0,0,0,0,16,1,14,1,0,0,326,0,0,0,1,0,0,0,1,0,39
80,2571,336,189,0,41,3,3,4,0,0,0,0,1,1,0,0,20,1,19,1,4,0,25,2,4,2,0,0,9,0,0,0,7
90,2742,301,198,0,28,16,2,1,0,0,0,0,0,0,0,0,13,1,20,1,1,0,17,1,1,0,0,0,0,0,0,0,1
100,2912,317,94,0,15,6,0,1,0,0,0,0,0,0,0,0,9,0,13,2,0,0,169,2,0,2,0,0,1,0,0,0,3
110,3050,430,206,0,9,2,0,0,0,0,0,0,0,0,1,1,27,4,18,1,1,0,150,9,0,0,0,1,0,0,0,0,0
120,3188,324,128,0,26,6,0,2,0,0,0,0,0,0,0,0,21,7,20,2,0,0,98,5,3,1,0,0,0,0,0,0,5
130,3327,353,208,0,8,9,4,0,0,0,0,0,0,0,0,1,43,3,48,0,3,0,11,4,1,1,2,2,0,0,0,0,5
140,3465,314,119,0,23,2,0,0,0,0,0,1,0,0,0,0,24,1,31,3,1,0,97,2,1,1,1,2,0,0,1,1,3
150,3603,344,92,0,5,5,3,0,0,0,0,0,0,0,1,0,58,4,38,1,2,0,116,5,5,2,2,0,0,0,1,0,4
160,3722,332,71,0,18,5,0,1,0,0,0,0,1,0,0,0,50,4,38,5,3,0,119,4,0,1,0,0,1,0,0,0,11
170,3841,326,80,0,15,9,0,0,0,0,0,3,0,0,0,0,41,0,51,2,1,0,118,2,1,1,2,0,0,0,0,0,0
180,3960,383,36,0,3,12,1,1,0,0,0,0,0,0,1,0,81,3,58,4,5,0,148,16,2,1,2,0,0,0,5,0,4
190,4080,315,31,0,7,4,0,0,0,0,0,3,0,0,1,0,39,5,62,0,2,0,130,10,2,3,1,0,1,0,3,0,11
200,4160,327,39,0,7,4,0,1,0,1,0,0,0,0,0,0,52,6,46,0,2,0,141,10,4,0,1,0,1,0,3,0,9
210,4240,305,9,0,5,3,0,1,0,0,0,0,0,0,0,0,54,3,77,1,2,0,112,13,5,0,1,1,0,0,11,0,7
220,4321,319,15,0,2,4,0,0,0,0,0,0,0,0,0,0,45,1,67,1,5,0,142,4,0,1,2,0,0,1,20,0,9
