"sample.depths","sample.ages","Abies.balsamea","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Carya.ovata","cf..Callitriche","Corylus.cornuta","Cyperaceae","Diphasiastrum.tristachyum.type","Dryopteris","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Isoëtes","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Myriophyllum","Nuphar","Ostrya.Carpinus","Papaveraceae","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Platanus.occidentalis","Poaceae","Polygonaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rhamnus.cathartica","Rosaceae","Salix","Selaginella","Sphagnum","Taxus","Thalictrum","Tsuga.canadensis","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule"
10,372,1,1,0,7,116,0,4,6,0,117,0,0,0,0,14,0,0,0,5,0,0,0,1,34,0,0,3,12,1,7,0,0,1,0,146,26,15,2,1,0,4,1,0,0,0,3,0,0,1,1,0,85,0,0,0,0,0,0,3,0,0
20,745,1,0,0,9,116,1,1,3,0,102,0,0,0,0,6,0,0,0,10,0,0,0,1,31,0,0,5,4,0,3,0,0,0,0,129,28,16,7,25,1,3,0,0,0,0,1,0,0,0,2,0,51,0,0,0,0,0,0,7,5,0
30,1117,2,1,0,7,117,0,0,0,1,106,0,0,0,0,3,0,0,0,9,2,0,0,1,20,0,0,1,1,0,4,0,0,0,0,104,21,13,3,29,0,1,0,0,0,0,1,0,0,0,3,0,32,0,0,0,0,0,0,7,2,0
40,1489,0,0,0,10,118,0,0,1,1,102,0,1,0,4,7,0,0,0,7,0,1,0,0,20,0,0,5,5,1,5,0,0,0,0,112,29,10,1,21,0,1,0,0,0,0,5,0,1,0,4,0,28,0,0,0,0,0,0,10,0,0
50,1861,1,0,0,2,121,0,0,1,0,76,0,0,0,0,7,0,0,0,7,0,0,2,0,32,0,0,7,6,0,15,0,0,0,0,137,35,4,2,19,0,6,0,0,0,0,3,0,0,1,2,0,32,0,0,0,0,0,0,8,1,0
60,2234,1,0,0,8,184,0,0,2,0,92,0,0,0,0,7,0,0,0,4,0,2,1,1,48,0,1,1,10,2,12,0,0,0,0,145,39,4,4,12,0,0,0,0,3,0,1,0,0,1,4,0,22,1,0,0,0,0,1,6,0,0
70,2606,1,0,0,6,181,0,0,1,0,58,0,0,0,0,6,0,0,0,6,0,1,1,0,14,0,0,2,12,0,20,0,0,0,0,116,24,3,1,14,0,4,0,0,1,0,0,0,0,1,3,0,19,0,0,0,0,0,1,7,0,0
80,2956,1,0,0,4,160,0,1,0,1,67,0,0,0,1,7,0,0,0,9,0,0,0,0,29,0,0,1,4,0,5,0,1,0,0,70,18,6,3,5,0,6,0,0,0,0,0,0,0,0,4,0,10,0,0,1,0,0,0,12,0,0
90,3239,1,0,0,3,223,0,0,1,0,71,40,0,0,0,4,0,0,0,4,0,1,0,0,7,0,1,0,1,1,11,0,0,0,0,57,17,1,1,3,0,8,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,5,0,0
100,3521,3,0,1,8,312,0,0,1,1,123,20,0,0,0,10,3,0,0,10,1,0,0,0,22,0,1,2,14,0,13,0,0,0,0,139,26,8,1,2,0,8,0,0,0,0,2,0,0,0,6,26,12,0,0,0,0,0,0,10,0,0
110,3804,3,0,0,2,139,0,0,0,0,71,0,0,0,0,6,0,1,0,1,0,0,0,0,11,0,0,2,6,1,14,0,0,0,0,117,15,6,0,1,0,6,0,0,0,0,3,0,0,0,4,0,7,0,0,0,0,0,0,16,0,0
120,4087,7,0,0,9,233,0,0,3,1,156,0,0,0,0,6,0,0,0,16,1,1,0,0,16,0,0,4,15,0,8,0,0,0,0,138,35,6,6,10,0,3,0,0,1,0,1,0,0,0,4,0,13,0,1,0,0,1,0,46,0,0
130,4390,5,1,0,8,309,1,1,0,3,216,0,1,0,0,8,0,0,0,18,0,0,0,1,17,1,0,2,20,0,11,0,0,1,0,87,28,3,4,1,0,21,0,1,0,3,0,0,0,0,9,0,6,0,0,0,0,0,0,41,0,0
140,4751,1,0,0,14,304,0,1,0,1,169,0,0,0,0,5,0,1,1,9,2,0,0,0,24,0,0,5,10,0,24,1,2,0,0,103,16,7,1,0,0,10,0,0,0,0,3,0,0,0,5,0,10,0,1,0,0,0,1,12,0,1
150,5113,1,0,0,10,302,1,1,3,1,210,0,0,0,0,15,0,0,0,2,1,0,0,0,26,0,0,2,4,0,10,0,2,0,0,115,28,4,2,3,0,6,0,1,0,0,1,0,0,2,7,0,2,0,0,0,1,0,0,15,2,0
160,5475,0,0,0,4,256,1,3,2,1,200,0,0,0,0,13,0,0,0,1,0,0,0,0,3,0,0,3,3,2,10,0,0,0,0,77,14,4,2,0,0,6,0,0,0,0,0,0,0,0,14,0,7,0,0,0,0,0,0,1,0,0
170,5836,0,0,0,3,257,1,0,1,3,315,0,0,0,0,9,0,0,1,3,0,0,0,0,1,1,0,3,9,0,3,0,0,0,0,52,7,1,2,1,0,4,0,0,0,0,0,0,0,0,8,0,2,1,0,0,1,0,0,3,0,0
175,6017,0,0,0,1,272,0,1,0,0,187,4,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,11,2,1,5,0,0,3,0,0,1,0,1,1,0,0,2,16,0,0,0,0,0,1,0,1,0,0
180,NA,0,0,0,4,395,1,0,1,1,167,0,0,0,0,3,0,0,0,5,0,0,0,0,1,0,0,1,21,0,2,0,0,0,0,12,14,1,2,1,0,0,0,0,0,1,1,1,0,0,5,0,4,0,0,0,1,0,0,4,0,0
190,NA,0,0,0,22,298,1,1,6,2,143,0,0,1,0,5,0,0,0,3,0,0,0,0,1,0,0,1,5,0,4,0,0,0,1,62,9,1,6,0,0,10,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,0
