"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.undiff.","Alnus","Arceuthobium","Betula","Carya","Castanea","Cornus","Corylus","Ericaceae","Fagus","Fraxinus.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.subg..Pinus.undiff.","Pinus.subg..Strobus.undiff.","Pinus.undiff.","Populus","Quercus","Rhus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Vitaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Cannabaceae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Epilobium","Eupatorium.type","Poaceae","Rosaceae","Rumex","Equisetum","Lycopodiaceae","Osmunda","Polypodiophyta.undiff.","Pteridium.type","cf..Sphagnum","Typha.latifolia","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..degraded.","Indeterminable..hidden.","Indeterminable.undiff."
12,247,10,0,35,12,0,136,0,0,0,0,2,3,1,0,1,4,2,0,0,0,124,5,8,8,16,14,0,6,0,0,0,0,2,0,1,0,12,0,0,1,0,0,0,2,0,0,0,2,3,1,0,0,2,2,18,0,7,1,3,0,16,1
13,271,0,0,14,13,0,369,0,0,0,2,0,1,0,0,0,0,1,2,0,0,46,3,4,4,5,2,0,6,0,0,0,0,1,1,0,0,7,0,0,0,0,0,0,3,0,0,5,0,0,0,3,3,2,3,23,0,0,13,9,0,6,3
14,295,2,0,0,27,0,351,0,0,0,0,1,2,3,3,0,2,0,0,0,0,58,1,0,8,0,6,0,0,0,1,0,0,0,1,3,0,9,0,0,3,0,0,0,1,0,0,0,6,5,0,1,1,0,0,31,0,2,7,11,0,16,0
15,319,1,15,1,14,0,52,0,0,0,4,0,6,4,0,4,11,0,0,0,6,100,7,22,18,57,46,0,16,0,1,0,0,2,3,0,0,15,1,0,5,0,0,0,2,0,0,2,2,0,0,3,0,4,0,479,0,5,24,11,1,4,5
16,344,1,0,4,164,0,69,0,2,1,0,16,1,2,0,2,1,2,4,0,0,26,0,4,0,8,4,5,5,0,1,0,0,3,1,3,0,9,0,0,3,0,0,0,22,0,0,6,6,1,0,1,0,0,3,51,0,0,17,4,0,10,0
17,368,2,0,5,77,0,273,0,1,0,0,2,1,5,5,0,1,0,2,0,0,42,4,9,4,9,0,1,6,0,2,0,0,5,0,1,0,18,0,0,2,2,0,0,15,0,0,11,11,3,0,1,4,5,0,90,0,2,10,1,8,4,8
18,392,2,0,4,141,0,185,0,0,0,0,12,5,1,0,1,0,1,1,0,0,32,1,3,2,7,6,0,6,0,6,0,0,2,0,3,0,4,0,0,1,0,0,0,35,0,0,9,1,5,0,0,0,0,0,74,0,3,19,11,1,6,3
19,417,2,0,1,181,0,67,0,0,0,1,116,3,2,1,1,1,1,5,0,0,26,0,9,0,16,7,0,12,0,3,0,0,5,1,1,0,8,0,0,1,0,0,0,5,0,0,11,11,2,22,0,1,0,0,0,0,3,23,18,3,5,1
20,441,1,0,1,47,0,69,0,3,0,0,21,5,5,1,4,0,0,8,0,0,42,1,5,2,9,5,0,12,0,1,0,0,5,1,2,0,0,0,1,2,1,0,0,26,0,1,12,49,5,0,1,0,0,5,371,0,2,33,9,1,8,7
21,465,1,0,5,55,0,97,0,1,0,1,18,9,2,2,0,1,0,0,0,0,70,6,9,10,16,10,4,9,0,0,0,0,11,2,4,0,5,0,0,4,0,0,0,16,0,0,5,5,1,39,1,1,0,2,450,0,4,22,5,0,0,0
22,489,3,0,9,37,0,71,0,2,0,0,5,6,4,1,3,3,0,4,0,7,88,2,38,2,38,0,0,9,0,2,0,0,10,0,0,0,3,0,0,0,1,0,0,9,0,4,14,7,0,4,2,1,0,2,517,0,2,35,15,4,4,6
23,514,8,0,11,35,0,81,0,3,0,1,5,4,1,1,0,0,0,7,0,3,103,6,19,12,36,22,0,7,0,1,0,0,11,1,4,0,0,0,0,4,0,0,0,5,0,4,3,3,0,8,2,0,0,0,496,0,1,8,5,3,1,1
